target,year,horizon,origin,target_rows,target_positive,target_areas,unrestricted_rows,unrestricted_positive,unrestricted_areas,unrestricted_areas_ge2,unrestricted_validation_capacity,restricted_rows,restricted_positive,restricted_areas,restricted_areas_ge2,restricted_validation_capacity
2018-01,2018,1,2017-12,650,149,650,2773,452,1070,669,853,2251,327,643,591,775
2018-01,2018,3,2017-10,650,149,650,2735,436,1042,659,843,2251,327,643,591,775
2018-01,2018,6,2017-07,650,149,650,2393,312,943,420,672,2003,246,594,395,644
2018-01,2018,12,2017-01,650,149,650,1953,194,654,269,521,1868,183,594,260,509
2018-02,2018,1,2018-01,6,1,6,3166,590,1077,721,906,0,0,0,0,0
2018-02,2018,3,2017-11,6,1,6,2773,452,1070,669,853,0,0,0,0,0
2018-02,2018,6,2017-08,6,1,6,2439,347,977,432,684,0,0,0,0,0
2018-02,2018,12,2017-02,6,1,6,1974,205,675,269,521,0,0,0,0,0
2018-03,2018,1,2018-02,42,28,42,3172,591,1083,721,906,45,28,28,17,17
2018-03,2018,3,2017-12,42,28,42,2773,452,1070,669,853,45,28,28,17,17
2018-03,2018,6,2017-09,42,28,42,2718,435,1027,657,841,45,28,28,17,17
2018-03,2018,12,2017-03,42,28,42,2006,214,707,269,521,20,12,20,0,0
2018-04,2018,1,2018-03,36,14,36,3214,619,1097,732,917,12,0,12,0,0
2018-04,2018,3,2018-01,36,14,36,3166,590,1077,721,906,12,0,12,0,0
2018-04,2018,6,2017-10,36,14,36,2735,436,1042,659,843,12,0,12,0,0
2018-04,2018,12,2017-04,36,14,36,2014,215,715,269,521,12,0,12,0,0
2018-05,2018,1,2018-04,55,17,55,3250,633,1121,744,929,0,0,0,0,0
2018-05,2018,3,2018-02,55,17,55,3172,591,1083,721,906,0,0,0,0,0
2018-05,2018,6,2017-11,55,17,55,2773,452,1070,669,853,0,0,0,0,0
2018-05,2018,12,2017-05,55,17,55,2107,285,735,342,594,0,0,0,0,0
2018-06,2018,1,2018-05,14,5,14,3305,650,1176,744,929,14,2,14,0,0
2018-06,2018,3,2018-03,14,5,14,3214,619,1097,732,917,14,2,14,0,0
2018-06,2018,6,2017-12,14,5,14,2773,452,1070,669,853,14,2,14,0,0
2018-06,2018,12,2017-06,14,5,14,2263,290,891,342,594,0,0,0,0,0
2018-07,2018,1,2018-06,108,26,108,3319,655,1176,758,943,267,97,108,81,81
2018-07,2018,3,2018-04,108,26,108,3250,633,1121,744,929,267,97,108,81,81
2018-07,2018,6,2018-01,108,26,108,3166,590,1077,721,906,259,97,108,80,80
2018-07,2018,12,2017-07,108,26,108,2393,312,943,420,672,186,57,108,78,78
2018-08,2018,1,2018-07,183,96,183,3427,681,1176,785,970,75,51,53,15,15
2018-08,2018,3,2018-05,183,96,183,3305,650,1176,744,929,75,51,53,15,15
2018-08,2018,6,2018-02,183,96,183,3172,591,1083,721,906,57,38,50,7,7
2018-08,2018,12,2017-08,183,96,183,2439,347,977,432,684,57,38,50,7,7
2018-09,2018,1,2018-08,646,75,646,3610,777,1306,823,1008,2242,163,546,537,722
2018-09,2018,3,2018-06,646,75,646,3319,655,1176,758,943,2242,163,546,537,722
2018-09,2018,6,2018-03,646,75,646,3214,619,1097,732,917,2242,163,546,537,722
2018-09,2018,12,2017-09,646,75,646,2718,435,1027,657,841,1992,128,539,490,674
2018-10,2018,1,2018-09,52,43,52,3995,844,1406,832,1021,15,0,13,2,2
2018-10,2018,3,2018-07,52,43,52,3427,681,1176,785,970,15,0,13,2,2
2018-10,2018,6,2018-04,52,43,52,3250,633,1121,744,929,15,0,13,2,2
2018-10,2018,12,2017-10,52,43,52,2735,436,1042,659,843,15,0,13,2,2
2018-11,2018,1,2018-10,28,6,28,4047,887,1445,843,1032,5,0,5,0,0
2018-11,2018,3,2018-08,28,6,28,3610,777,1306,823,1008,5,0,5,0,0
2018-11,2018,6,2018-05,28,6,28,3305,650,1176,744,929,5,0,5,0,0
2018-11,2018,12,2017-11,28,6,28,2773,452,1070,669,853,5,0,5,0,0
2018-12,2018,1,2018-11,343,316,343,4075,893,1468,848,1037,4,0,4,0,0
2018-12,2018,3,2018-09,343,316,343,3995,844,1406,832,1021,4,0,4,0,0
2018-12,2018,6,2018-06,343,316,343,3319,655,1176,758,943,4,0,4,0,0
2018-12,2018,12,2017-12,343,316,343,2773,452,1070,669,853,4,0,4,0,0
2019-01,2019,1,2018-12,631,106,631,4418,1209,1807,852,1041,2457,273,579,509,698
2019-01,2019,3,2018-10,631,106,631,4047,887,1445,843,1032,2457,273,579,509,698
2019-01,2019,6,2018-07,631,106,631,3427,681,1176,785,970,2210,217,509,502,687
2019-01,2019,12,2018-01,631,106,631,3166,590,1077,721,906,2137,206,509,502,687
2019-02,2019,1,2019-01,60,46,60,4790,1296,1859,922,1114,0,0,0,0,0
2019-02,2019,3,2018-11,60,46,60,4075,893,1468,848,1037,0,0,0,0,0
2019-02,2019,6,2018-08,60,46,60,3610,777,1306,823,1008,0,0,0,0,0
2019-02,2019,12,2018-02,60,46,60,3172,591,1083,721,906,0,0,0,0,0
2019-03,2019,1,2019-02,0,0,0,4850,1342,1919,922,1114,0,0,0,0,0
2019-03,2019,3,2018-12,0,0,0,4418,1209,1807,852,1041,0,0,0,0,0
2019-03,2019,6,2018-09,0,0,0,3995,844,1406,832,1021,0,0,0,0,0
2019-03,2019,12,2018-03,0,0,0,3214,619,1097,732,917,0,0,0,0,0
2019-04,2019,1,2019-03,39,29,39,4850,1342,1919,922,1114,0,0,0,0,0
2019-04,2019,3,2019-01,39,29,39,4790,1296,1859,922,1114,0,0,0,0,0
2019-04,2019,6,2018-10,39,29,39,4047,887,1445,843,1032,0,0,0,0,0
2019-04,2019,12,2018-04,39,29,39,3250,633,1121,744,929,0,0,0,0,0
2019-05,2019,1,2019-04,120,72,120,4889,1371,1958,922,1114,102,48,79,16,16
2019-05,2019,3,2019-02,120,72,120,4850,1342,1919,922,1114,102,48,79,16,16
2019-05,2019,6,2018-11,120,72,120,4075,893,1468,848,1037,102,48,79,16,16
2019-05,2019,12,2018-05,120,72,120,3305,650,1176,744,929,75,27,68,7,7
2019-06,2019,1,2019-05,240,115,240,5009,1443,1999,985,1177,61,46,61,0,0
2019-06,2019,3,2019-03,240,115,240,4850,1342,1919,922,1114,61,46,61,0,0
2019-06,2019,6,2018-12,240,115,240,4418,1209,1807,852,1041,1,0,1,0,0
2019-06,2019,12,2018-06,240,115,240,3319,655,1176,758,943,0,0,0,0,0
2019-07,2019,1,2019-06,355,195,355,5249,1558,2178,1046,1238,534,196,216,101,101
