column,all_missing_start,all_missing_end,consecutive_months
gini,2016-01,2024-12,108
fews_proj_med_ha,2010-01,2012-03,27
fews_proj_near_ha,2010-01,2012-03,27
Food_CPI,2023-07,2024-12,18
Food_food_inflation,2023-07,2024-12,18
fews_proj_med,2010-01,2011-03,15
fews_proj_med_adjusted,2010-01,2011-03,15
fews_proj_near,2010-01,2011-03,15
CC,2024-01,2024-12,12
CPI,2024-01,2024-12,12
GDP,2024-01,2024-12,12
WFP_Price,2019-01,2019-06,6
WFP_Price_std,2019-01,2019-06,6
fews_ha,2010-01,2010-06,6
fews_ha,2015-11,2016-01,3
fews_ha,2016-03,2016-05,3
fews_ha,2016-07,2016-09,3
fews_ha,2016-11,2017-01,3
fews_ha,2017-03,2017-05,3
fews_ha,2017-07,2017-09,3
fews_ha,2017-11,2018-01,3
fews_ha,2018-03,2018-05,3
fews_ha,2018-07,2018-09,3
fews_ha,2018-11,2019-01,3
fews_ha,2019-03,2019-05,3
fews_ha,2019-07,2019-09,3
fews_ha,2019-11,2020-01,3
fews_ha,2020-03,2020-05,3
fews_ha,2020-07,2020-09,3
fews_ha,2020-11,2021-01,3
fews_ha,2021-03,2021-05,3
fews_ha,2021-07,2021-09,3
fews_ha,2021-11,2022-01,3
fews_ha,2022-03,2022-05,3
fews_ha,2022-07,2022-09,3
fews_ha,2022-11,2023-01,3
fews_ha,2023-03,2023-05,3
fews_ha,2023-07,2023-09,3
fews_ha,2023-11,2024-01,3
fews_ha,2024-03,2024-05,3
fews_ha,2024-07,2024-09,3
fews_ipc,2015-11,2016-01,3
fews_ipc,2016-03,2016-05,3
fews_ipc,2016-07,2016-09,3
fews_ipc,2016-11,2017-01,3
fews_ipc,2017-03,2017-05,3
fews_ipc,2017-07,2017-09,3
fews_ipc,2017-11,2018-01,3
fews_ipc,2018-03,2018-05,3
fews_ipc,2018-07,2018-09,3
fews_ipc,2018-11,2019-01,3
fews_ipc,2019-03,2019-05,3
fews_ipc,2019-07,2019-09,3
fews_ipc,2019-11,2020-01,3
fews_ipc,2020-03,2020-05,3
fews_ipc,2020-07,2020-09,3
fews_ipc,2020-11,2021-01,3
fews_ipc,2021-03,2021-05,3
fews_ipc,2021-07,2021-09,3
fews_ipc,2021-11,2022-01,3
fews_ipc,2022-03,2022-05,3
fews_ipc,2022-07,2022-09,3
fews_ipc,2022-11,2023-01,3
fews_ipc,2023-03,2023-05,3
fews_ipc,2023-07,2023-09,3
fews_ipc,2023-11,2024-01,3
fews_ipc,2024-03,2024-05,3
fews_ipc,2024-07,2024-09,3
fews_ipc_adjusted,2015-11,2016-01,3
fews_ipc_adjusted,2016-03,2016-05,3
fews_ipc_adjusted,2016-07,2016-09,3
fews_ipc_adjusted,2016-11,2017-01,3
fews_ipc_adjusted,2017-03,2017-05,3
fews_ipc_adjusted,2017-07,2017-09,3
