month,column,effective_missing_n,effective_missing_rate
2010-01,unit_name,0,0.0
2010-01,ADMIN0,0,0.0
2010-01,ADMIN1,0,0.0
2010-01,ADMIN2,0,0.0
2010-01,ADMIN3,0,0.0
2010-01,FEWSNET_admin_code,0,0.0
2010-01,ISO,0,0.0
2010-01,lat,0,0.0
2010-01,lon,0,0.0
2010-01,date,0,0.0
2010-01,month,0,0.0
2010-01,distance_to_nearest_acled,0,0.0
2010-01,event_count_battles,0,0.0
2010-01,event_count_explosions,0,0.0
2010-01,event_count_violence,0,0.0
2010-01,sum_fatalities_battles,0,0.0
2010-01,sum_fatalities_explosions,0,0.0
2010-01,sum_fatalities_violence,0,0.0
2010-01,event_count_battles_w5,0,0.0
2010-01,event_count_explosions_w5,0,0.0
2010-01,event_count_violence_w5,0,0.0
2010-01,sum_fatalities_battles_w5,0,0.0
2010-01,sum_fatalities_explosions_w5,0,0.0
2010-01,sum_fatalities_violence_w5,0,0.0
2010-01,event_count_battles_w10,0,0.0
2010-01,event_count_explosions_w10,0,0.0
2010-01,event_count_violence_w10,0,0.0
2010-01,sum_fatalities_battles_w10,0,0.0
2010-01,sum_fatalities_explosions_w10,0,0.0
2010-01,sum_fatalities_violence_w10,0,0.0
2010-01,AEZ_10000,0,0.0
2010-01,AEZ_12000,0,0.0
2010-01,AEZ_15000,0,0.0
2010-01,AEZ_17000,0,0.0
2010-01,AEZ_19000,0,0.0
2010-01,AEZ_25000,0,0.0
2010-01,AEZ_31000,0,0.0
2010-01,AEZ_32000,0,0.0
2010-01,AEZ_33000,0,0.0
2010-01,AEZ_34000,0,0.0
2010-01,AEZ_36000,0,0.0
2010-01,AEZ_38000,0,0.0
2010-01,AEZ_4000,0,0.0
2010-01,AEZ_40000,0,0.0
2010-01,AEZ_43000,0,0.0
2010-01,AEZ_7000,0,0.0
2010-01,AEZ_9000,0,0.0
2010-01,crop,0,0.0
2010-01,range,0,0.0
2010-01,distance_to_river,0,0.0
2010-01,nightlight,0,0.0
2010-01,nightlight_sd,0,0.0
2010-01,elevation,0,0.0
2010-01,EVI,0,0.0
2010-01,market_distance,0,0.0
2010-01,FAO_price,0,0.0
2010-01,Rainf_f_tavg_mean,0,0.0
2010-01,Tair_f_tavg_mean,0,0.0
2010-01,gpp_mean,0,0.0
2010-01,sg_cec_5-15cm,0,0.0
2010-01,sg_cfvo_5-15cm,0,0.0
2010-01,sg_nitrogen_5-15cm,0,0.0
2010-01,sg_phh2o_5-15cm,0,0.0
2010-01,sg_soc_5-15cm,0,0.0
2010-01,market_access,0,0.0
2010-01,ruggedness,0,0.0
2010-01,slope,0,0.0
2010-01,CPI,0,0.0
2010-01,GDP,0,0.0
2010-01,CC,0,0.0
2010-01,gini,0,0.0
2010-01,WFP_Price,0,0.0
2010-01,WFP_Price_std,0,0.0
2010-01,fews_ipc,8,0.007692307692307693
2010-01,fews_ha,1040,1.0
2010-01,fews_proj_near,1040,1.0
2010-01,fews_proj_near_ha,1040,1.0
2010-01,fews_proj_med,1040,1.0
2010-01,fews_proj_med_ha,1040,1.0
2010-01,pop,0,0.0
2010-01,fews_ipc_adjusted,8,0.007692307692307693
2010-01,fews_proj_med_adjusted,1040,1.0
2010-01,ISO3,0,0.0
2010-01,Food_CPI,0,0.0
2010-01,Food_food_inflation,0,0.0
2010-01,Tair_zscore,16,0.015384615384615385
2010-01,Rainf_zscore,16,0.015384615384615385
2010-01,fews_ipc_crisis,8,0.007692307692307693
2010-02,unit_name,0,0.0
2010-02,ADMIN0,0,0.0
2010-02,ADMIN1,0,0.0
2010-02,ADMIN2,0,0.0
2010-02,ADMIN3,0,0.0
2010-02,FEWSNET_admin_code,0,0.0
2010-02,ISO,0,0.0
2010-02,lat,0,0.0
2010-02,lon,0,0.0
2010-02,date,0,0.0
2010-02,month,0,0.0
2010-02,distance_to_nearest_acled,0,0.0
2010-02,event_count_battles,0,0.0
2010-02,event_count_explosions,0,0.0
2010-02,event_count_violence,0,0.0
2010-02,sum_fatalities_battles,0,0.0
2010-02,sum_fatalities_explosions,0,0.0
2010-02,sum_fatalities_violence,0,0.0
2010-02,event_count_battles_w5,0,0.0
2010-02,event_count_explosions_w5,0,0.0
2010-02,event_count_violence_w5,0,0.0
2010-02,sum_fatalities_battles_w5,0,0.0
2010-02,sum_fatalities_explosions_w5,0,0.0
2010-02,sum_fatalities_violence_w5,0,0.0
2010-02,event_count_battles_w10,0,0.0
2010-02,event_count_explosions_w10,0,0.0
2010-02,event_count_violence_w10,0,0.0
2010-02,sum_fatalities_battles_w10,0,0.0
2010-02,sum_fatalities_explosions_w10,0,0.0
2010-02,sum_fatalities_violence_w10,0,0.0
2010-02,AEZ_10000,0,0.0
2010-02,AEZ_12000,0,0.0
2010-02,AEZ_15000,0,0.0
2010-02,AEZ_17000,0,0.0
2010-02,AEZ_19000,0,0.0
2010-02,AEZ_25000,0,0.0
2010-02,AEZ_31000,0,0.0
2010-02,AEZ_32000,0,0.0
2010-02,AEZ_33000,0,0.0
2010-02,AEZ_34000,0,0.0
2010-02,AEZ_36000,0,0.0
2010-02,AEZ_38000,0,0.0
2010-02,AEZ_4000,0,0.0
2010-02,AEZ_40000,0,0.0
2010-02,AEZ_43000,0,0.0
2010-02,AEZ_7000,0,0.0
2010-02,AEZ_9000,0,0.0
2010-02,crop,0,0.0
2010-02,range,0,0.0
2010-02,distance_to_river,0,0.0
2010-02,nightlight,0,0.0
2010-02,nightlight_sd,0,0.0
2010-02,elevation,0,0.0
2010-02,EVI,0,0.0
2010-02,market_distance,0,0.0
2010-02,FAO_price,0,0.0
2010-02,Rainf_f_tavg_mean,0,0.0
2010-02,Tair_f_tavg_mean,0,0.0
2010-02,gpp_mean,0,0.0
2010-02,sg_cec_5-15cm,0,0.0
2010-02,sg_cfvo_5-15cm,0,0.0
2010-02,sg_nitrogen_5-15cm,0,0.0
2010-02,sg_phh2o_5-15cm,0,0.0
2010-02,sg_soc_5-15cm,0,0.0
2010-02,market_access,0,0.0
2010-02,ruggedness,0,0.0
2010-02,slope,0,0.0
2010-02,CPI,0,0.0
2010-02,GDP,0,0.0
2010-02,CC,0,0.0
2010-02,gini,0,0.0
2010-02,WFP_Price,0,0.0
2010-02,WFP_Price_std,0,0.0
2010-02,fews_ipc,1040,1.0
2010-02,fews_ha,1040,1.0
2010-02,fews_proj_near,1040,1.0
2010-02,fews_proj_near_ha,1040,1.0
2010-02,fews_proj_med,1040,1.0
