column,feature_family,finite_n,raw_null_n,inf_n,mean,std,min,p01,p05,p25,p50,p75,p95,p99,max,zero_rate_finite,negative_rate_finite,unique_finite
FEWSNET_admin_code,identifier_geography,187200,0,0,1631.5,300.22280307066677,1112.0,1122.0,1163.9500000000007,1371.75,1631.5,1891.25,2099.0499999999884,2141.0,2151.0,0.0,0.0,1040
lat,terrain_access,187200,0,0,9.035135129292684,2.4282891335840744,3.751332469871392,4.396768781246572,5.648450171908662,7.139027023472571,8.795623858189206,10.564884463269617,13.78448119651155,14.317571375200714,14.53364067068823,0.0,0.0,1040
lon,terrain_access,187200,0,0,38.67560091441335,2.2112685950302082,33.27664690728813,34.438059215779084,35.34776173603169,37.296405118439296,38.441540478385534,39.65881070650177,42.923226865617686,44.65267248129988,47.34476916556246,0.0,0.0,1040
month,time,187200,0,0,6.5,3.4520617497973767,1.0,1.0,1.0,3.75,6.5,9.25,12.0,12.0,12.0,0.0,0.0,12
distance_to_nearest_acled,conflict,187200,0,0,174.05928505988177,125.01218695108848,0.0374078887015422,2.8499903128724635,19.474374214515482,73.29032531157226,145.03142474480504,253.4618411378032,427.206364885294,485.680580921141,499.9867523224244,0.0,0.0,93921
event_count_battles,conflict,187200,0,0,0.7355715811965812,0.9580474676642465,0.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,25.0,0.45395833333333335,0.0,18
event_count_explosions,conflict,187200,0,0,0.09146367521367521,0.3512347140483818,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,13.0,0.9231303418803419,0.0,8
event_count_violence,conflict,187200,0,0,0.6226602564102565,0.9636679944167496,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,16.0,0.5115705128205128,0.0,14
sum_fatalities_battles,conflict,187200,0,0,4.968450854700855,13.9413771930241,0.0,0.0,0.0,0.0,0.0,4.0,22.0,68.0,519.0,0.5709455128205129,0.0,109
sum_fatalities_explosions,conflict,187200,0,0,0.2230929487179487,1.773880283389145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,160.0,0.9629700854700854,0.0,37
sum_fatalities_violence,conflict,187200,0,0,2.5161858974358973,19.84351935184498,0.0,0.0,0.0,0.0,0.0,1.0,10.0,39.0,882.0,0.6758974358974359,0.0,84
event_count_battles_w5,conflict,187200,0,0,1.4405128205128206,3.095672756955637,0.0,0.0,0.0,0.0,1.0,1.0,5.0,17.0,46.0,0.40433760683760683,0.0,37
event_count_explosions_w5,conflict,187200,0,0,0.14848824786324785,0.5543716099831175,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,14.0,0.8969391025641026,0.0,11
event_count_violence_w5,conflict,187200,0,0,0.9831036324786325,1.5610955120351202,0.0,0.0,0.0,0.0,1.0,1.0,4.0,7.0,18.0,0.44455662393162393,0.0,17
sum_fatalities_battles_w5,conflict,187200,0,0,7.977740384615385,21.75392481994294,0.0,0.0,0.0,0.0,0.0,7.0,33.0,104.0,611.0,0.5097702991452991,0.0,142
sum_fatalities_explosions_w5,conflict,187200,0,0,0.5474946581196581,4.168079951267209,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,160.0,0.9432959401709402,0.0,41
