split_design,candidate,feature_set,split,date_min,date_max,feature_count_before_imputer,validation_selected_threshold,validation_f1_at_selection,n,positive_n,prevalence,threshold,precision,recall,f1,balanced_accuracy,average_precision,roc_auc,brier,tp,fp,fn,tn
blocked_time,unrestricted_with_admin_id,with_admin_id,train,2010-01,2018-10,76,0.25,0.5823035096391498,34219,5631,0.16455770186153892,0.25,0.9827225130890053,1.0,0.9912859783469765,0.9982685042675248,1.0,1.0,0.0063491072211344585,5631,99,0,28489
blocked_time,unrestricted_with_admin_id,with_admin_id,validation,2019-02,2020-10,76,0.25,0.5823035096391498,6240,907,0.1453525641025641,0.25,0.5277777777777778,0.649393605292172,0.5823035096391498,0.7752874645624558,0.5974830973007526,0.8797237396245755,0.08979729166666667,589,527,318,4806
blocked_time,unrestricted_with_admin_id,with_admin_id,test,2021-02,2024-10,76,0.25,0.5823035096391498,11441,3244,0.2835416484573027,0.25,0.5412979351032449,0.6787916152897657,0.6022975929978118,0.7255736775973045,0.6224914467956775,0.8108481577347701,0.1635936631413338,2202,1866,1042,6331
blocked_time,unrestricted_without_admin_id,without_admin_id,train,2010-01,2018-10,75,0.26,0.5821121778676099,34219,5631,0.16455770186153892,0.26,0.9859919453685869,1.0,0.9929465702697937,0.998600811529313,0.9999999999999999,1.0,0.006231652006195389,5631,80,0,28508
blocked_time,unrestricted_without_admin_id,without_admin_id,validation,2019-02,2020-10,75,0.26,0.5821121778676099,6240,907,0.1453525641025641,0.26,0.5373134328358209,0.6350606394707828,0.5821121778676099,0.7710274133037394,0.6092606793066269,0.8829852444609101,0.08919283653846154,576,496,331,4837
blocked_time,unrestricted_without_admin_id,without_admin_id,test,2021-02,2024-10,75,0.26,0.5821121778676099,11441,3244,0.2835416484573027,0.26,0.5468710731339532,0.6707768187422934,0.6025197286446075,0.7254091486660107,0.6336204514905277,0.8237166893785537,0.16118915304606243,2176,1803,1068,6394
blocked_time,regularized_without_admin_id,without_admin_id,train,2010-01,2018-10,75,0.2,0.5686365751512331,34219,5631,0.16455770186153892,0.2,0.584247691472026,0.9550701473983306,0.7249932596387166,0.9106013952326759,0.9040306227568505,0.9754635554141874,0.057429467053420814,5378,3827,253,24761
blocked_time,regularized_without_admin_id,without_admin_id,validation,2019-02,2020-10,75,0.2,0.5686365751512331,6240,907,0.1453525641025641,0.2,0.4919484702093398,0.6736493936052922,0.5686365751512331,0.7776647493059275,0.5956403232528441,0.8752060923322592,0.09346044296390302,611,631,296,4702
blocked_time,regularized_without_admin_id,without_admin_id,test,2021-02,2024-10,75,0.2,0.5686365751512331,11441,3244,0.2835416484573027,0.2,0.5191900164822227,0.6797163995067818,0.5887064477372848,0.7153004347174021,0.6281853935746015,0.8101213535311933,0.17197339745428664,2205,2042,1039,6155
random_row_60_20_20,unrestricted_without_admin_id,without_admin_id,train,2010-01,2024-10,75,0.36,0.8324898785425101,31140,5869,0.18847141939627488,0.36,0.9993189170781542,1.0,0.999659342531085,0.9999208579003601,1.0,1.0,0.007693342967244701,5869,4,0,25267
random_row_60_20_20,unrestricted_without_admin_id,without_admin_id,validation,2010-01,2024-10,75,0.36,0.8324898785425101,10380,1956,0.1884393063583815,0.36,0.8241482965931863,0.841002044989775,0.8324898785425101,0.8996676891615543,0.9145367774082283,0.9741085699248617,0.053175028901734096,1645,351,311,8073
random_row_60_20_20,unrestricted_without_admin_id,without_admin_id,test,2010-01,2024-10,75,0.36,0.8324898785425101,10380,1957,0.18853564547206167,0.36,0.8188188188188188,0.8359734287174246,0.827307206068268,0.8964979336392537,0.9128158939351582,0.9737033201848772,0.05371007707129094,1636,362,321,8061
