column,feature_family,field_role,production_loader_action,lightweight_probe_action
unit_name,identifier_geography,identifier_or_time_metadata,dropped_after_ISO_encoding,excluded_to_avoid_obvious_target_or_identifier_leakage
ADMIN0,identifier_geography,identifier_or_time_metadata,dropped_immediately_by_loader,excluded_to_avoid_obvious_target_or_identifier_leakage
ADMIN1,identifier_geography,identifier_or_time_metadata,dropped_immediately_by_loader,excluded_to_avoid_obvious_target_or_identifier_leakage
ADMIN2,identifier_geography,identifier_or_time_metadata,dropped_immediately_by_loader,excluded_to_avoid_obvious_target_or_identifier_leakage
ADMIN3,identifier_geography,identifier_or_time_metadata,dropped_immediately_by_loader,excluded_to_avoid_obvious_target_or_identifier_leakage
FEWSNET_admin_code,identifier_geography,identifier_or_time_metadata,retained_for_grouping_and_current_feature_matrix,included_as_assembled_row_covariate
ISO,identifier_geography,identifier_or_time_metadata,encoded_to_ISO_encoded_then_dropped,excluded_to_avoid_obvious_target_or_identifier_leakage
lat,terrain_access,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,included_as_assembled_row_covariate
lon,terrain_access,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,included_as_assembled_row_covariate
date,time,identifier_or_time_metadata,parsed_to_datetime_and_used_for_dummies_splits_lags,excluded_to_avoid_obvious_target_or_identifier_leakage
month,time,assembled_covariate,retained_by_loader_then_dropped_inside_model_fit,included_as_assembled_row_covariate
distance_to_nearest_acled,conflict,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,included_as_assembled_row_covariate
event_count_battles,conflict,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,included_as_assembled_row_covariate
event_count_explosions,conflict,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,included_as_assembled_row_covariate
event_count_violence,conflict,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,included_as_assembled_row_covariate
sum_fatalities_battles,conflict,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,included_as_assembled_row_covariate
sum_fatalities_explosions,conflict,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,included_as_assembled_row_covariate
sum_fatalities_violence,conflict,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,included_as_assembled_row_covariate
event_count_battles_w5,conflict,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,included_as_assembled_row_covariate
event_count_explosions_w5,conflict,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,included_as_assembled_row_covariate
event_count_violence_w5,conflict,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,included_as_assembled_row_covariate
sum_fatalities_battles_w5,conflict,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,included_as_assembled_row_covariate
sum_fatalities_explosions_w5,conflict,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,included_as_assembled_row_covariate
sum_fatalities_violence_w5,conflict,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,included_as_assembled_row_covariate
event_count_battles_w10,conflict,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,included_as_assembled_row_covariate
event_count_explosions_w10,conflict,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,included_as_assembled_row_covariate
event_count_violence_w10,conflict,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,included_as_assembled_row_covariate
sum_fatalities_battles_w10,conflict,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,included_as_assembled_row_covariate
sum_fatalities_explosions_w10,conflict,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,included_as_assembled_row_covariate
sum_fatalities_violence_w10,conflict,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,included_as_assembled_row_covariate
AEZ_10000,aez_dummy,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,included_as_assembled_row_covariate
AEZ_12000,aez_dummy,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,included_as_assembled_row_covariate
AEZ_15000,aez_dummy,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,included_as_assembled_row_covariate
AEZ_17000,aez_dummy,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,included_as_assembled_row_covariate
AEZ_19000,aez_dummy,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,included_as_assembled_row_covariate
AEZ_25000,aez_dummy,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,included_as_assembled_row_covariate
AEZ_31000,aez_dummy,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,included_as_assembled_row_covariate
AEZ_32000,aez_dummy,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,included_as_assembled_row_covariate
AEZ_33000,aez_dummy,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,included_as_assembled_row_covariate
AEZ_34000,aez_dummy,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,included_as_assembled_row_covariate
AEZ_36000,aez_dummy,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,included_as_assembled_row_covariate
AEZ_38000,aez_dummy,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,included_as_assembled_row_covariate
AEZ_4000,aez_dummy,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,included_as_assembled_row_covariate
AEZ_40000,aez_dummy,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,included_as_assembled_row_covariate
AEZ_43000,aez_dummy,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,included_as_assembled_row_covariate
AEZ_7000,aez_dummy,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,included_as_assembled_row_covariate
AEZ_9000,aez_dummy,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,included_as_assembled_row_covariate
crop,agriculture_population,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,included_as_assembled_row_covariate
range,agriculture_population,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,included_as_assembled_row_covariate
distance_to_river,terrain_access,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,included_as_assembled_row_covariate
nightlight,remote_sensing,assembled_covariate,retained_then_subject_to_feature_engineering_lagging_imputation,included_as_assembled_row_covariate
