scope,forecasting_horizon,partition_id,admin_codes,n,positive_n,prevalence,precision,recall,f1,balanced_accuracy,tp,fp,fn,tn,low_support_lt100,low_positive_support_lt10
1,4,0,321,1284,443,0.34501557632398755,0.4797843665768194,0.4018058690744921,0.43734643734643736,0.586158582575296,178,193,265,648,False,False
1,4,1,2,7,3,0.42857142857142855,1.0,1.0,1.0,1.0,3,0,0,4,True,True
1,4,2,936,6071,1665,0.27425465326964255,0.743920972644377,0.587987987987988,0.6568265682656826,0.7557506894093367,979,337,686,4069,False,False
1,4,5,561,2244,197,0.08778966131907308,0.595,0.6040609137055838,0.5994962216624685,0.7822454055582144,119,81,78,1966,False,False
1,4,9,262,787,315,0.40025412960609913,0.8195876288659794,0.5047619047619047,0.6247544204322201,0.7153046811945116,159,35,156,437,False,False
1,4,11,158,632,338,0.5348101265822784,0.8328530259365994,0.8550295857988166,0.8437956204379562,0.8288753371170954,289,58,49,236,False,False
1,4,12,104,416,283,0.6802884615384616,0.9064327485380117,0.5477031802120141,0.6828193832599119,0.7137012141661574,155,16,128,117,False,False
2,8,0,321,1284,443,0.34501557632398755,0.5761589403973509,0.3927765237020316,0.4671140939597315,0.62028838075708,174,128,269,713,False,False
2,8,1,2,7,3,0.42857142857142855,1.0,1.0,1.0,1.0,3,0,0,4,True,True
2,8,2,936,6071,1665,0.27425465326964255,0.7640984908657665,0.5777777777777777,0.6580027359781122,0.75518484894336,962,297,703,4109,False,False
2,8,5,561,2244,197,0.08778966131907308,0.5217391304347826,0.4873096446700508,0.5039370078740157,0.7221599517927684,96,88,101,1959,False,False
2,8,9,262,787,315,0.40025412960609913,0.8313953488372093,0.45396825396825397,0.5872689938398358,0.6962637880010761,143,29,172,443,False,False
2,8,11,158,632,338,0.5348101265822784,0.7664041994750657,0.863905325443787,0.8122392211404729,0.7805921185042064,292,89,46,205,False,False
2,8,12,104,416,283,0.6802884615384616,0.9166666666666666,0.5053003533568905,0.6514806378132119,0.7037779962273174,143,13,140,120,False,False
3,12,0,321,1284,443,0.34501557632398755,0.36,0.2234762979683973,0.2757660167130919,0.5071008124800369,99,176,344,665,False,False
3,12,1,2,7,3,0.42857142857142855,1.0,1.0,1.0,1.0,3,0,0,4,True,True
3,12,2,936,6071,1665,0.27425465326964255,0.7407079646017699,0.5027027027027027,0.5989266547406082,0.7181012378697353,837,293,828,4113,False,False
3,12,5,561,2244,197,0.08778966131907308,0.42857142857142855,0.5482233502538071,0.48106904231625836,0.7389382506032103,108,144,89,1903,False,False
3,12,9,262,787,315,0.40025412960609913,0.8700564971751412,0.4888888888888889,0.6260162601626016,0.7200800376647835,154,23,161,449,False,False
3,12,11,158,632,338,0.5348101265822784,0.6778042959427207,0.8402366863905325,0.750330250990753,0.6905265064605723,284,135,54,159,False,False
3,12,12,104,416,283,0.6802884615384616,0.904,0.3992932862190813,0.553921568627451,0.6545338611546534,113,12,170,121,False,False
