year,labeled_rows,positive_n,positive_rate
2010,4134,1021,0.24697629414610547
2011,4140,1058,0.25555555555555554
2012,4140,893,0.21570048309178744
2013,4140,816,0.19710144927536233
2014,4145,176,0.04246079613992763
2015,4160,515,0.12379807692307693
2016,3120,467,0.14967948717948718
2017,3120,393,0.12596153846153846
2018,3120,292,0.09358974358974359
2019,3120,546,0.175
2020,3120,361,0.11570512820512821
2021,2081,476,0.22873618452666988
2022,3120,1173,0.37596153846153846
2023,3120,844,0.2705128205128205
2024,3120,751,0.2407051282051282
