FEWSNET_admin_code,partition_id
0,1011
1,1011
2,00011
3,00001
4,1011
5,11
6,1011
7,11
8,0111
9,00011
10,0111
11,0111
12,0111
13,00001
14,0111
15,00011
16,0111
17,00001
18,0111
19,11
20,11
21,0111
22,0111
23,0111
24,0111
25,0111
26,0110
27,0110
28,0110
29,0110
30,0111
31,0110
32,0111
33,0111
34,0111
35,0111
36,001
37,0111
38,0111
39,0111
40,0111
41,001
42,001
43,11
44,001
45,0110
46,001
47,001
48,001
49,0111
50,00011
51,0111
52,0111
53,00001
54,1011
55,0110
56,001
57,001
58,001
59,10000
60,0111
61,0111
62,0111
63,0111
64,0111
65,0111
66,0111
67,0111
68,0111
69,0111
70,11
71,0111
72,00011
73,0111
74,0111
75,0111
76,001
77,0111
78,0111
79,0111
80,0111
81,0111
82,0111
83,0111
84,0111
85,0111
86,0111
87,0111
88,0111
89,0111
90,0111
91,0111
92,0111
93,0111
94,0111
95,0111
96,0111
97,0111
98,0110
99,0110
100,0110
101,0110
102,0110
103,0110
104,11
105,0110
106,0110
107,0111
108,0111
109,0111
110,0111
111,0111
112,0111
113,0111
114,0111
115,0111
116,0111
117,0111
118,0111
119,0111
120,0111
121,0111
122,0111
123,0111
124,0111
125,0110
126,0110
127,0110
128,0111
129,0110
130,0111
131,0111
132,0111
133,0111
134,0111
135,0111
136,0111
137,0111
138,0111
139,0111
140,0111
141,0111
142,0111
143,0111
144,0111
145,0111
146,0111
147,0111
148,0111
149,0111
150,0111
151,0111
152,0111
153,0111
154,0111
155,0111
156,0111
157,0111
158,0111
159,0111
160,0111
161,0111
162,0111
163,0111
164,0111
165,0111
166,11
167,0111
168,0111
169,0111
170,0111
171,0111
172,11
173,11
174,11
175,11
176,11
177,11
178,11
179,11
180,11
181,11
182,11
183,11
184,11
185,11
186,11
187,11
188,11
189,11
190,11
191,11
192,0111
193,11
194,11
195,11
196,11
197,1011
198,0111
199,11
200,11
201,11
202,11
203,11
204,11
205,11
206,11
207,1011
208,11
209,00000
210,00000
211,11
212,0111
213,0111
214,11
215,11
217,0111
218,0111
219,0111
220,001
221,0111
222,0111
223,11
224,11
225,0111
226,11
227,0111
228,11
229,11
230,0111
231,11
232,11
233,11
234,11
235,11
236,1011
237,0111
238,11
239,11
240,0111
241,1011
242,11
243,11
244,11
245,1011
246,0111
247,11
248,0111
249,0111
250,0111
251,0111
252,11
253,0111
254,11
255,0111
256,11
257,0111
258,0111
259,0111
260,0111
261,0111
262,0111
263,0111
264,1011
265,1011
266,1011
267,11
268,11
269,1011
270,1011
271,11
272,1011
273,1011
274,1011
275,1011
276,1011
277,11
278,11
279,11
280,11
281,11
282,11
283,11
284,11
285,11
286,11
287,11
288,11
289,11
290,11
291,11
292,11
293,11
294,11
295,11
296,1011
297,1011
298,11
299,11
300,11
301,11
302,11
303,11
304,1011
305,11
306,11
307,1010
308,11
309,11
310,11
311,1010
312,11
313,11
314,11
315,11
316,11
317,11
318,11
319,1011
320,11
321,1011
322,11
323,11
324,11
325,11
326,11
327,11
328,11
329,11
330,11
331,11
332,11
333,11
334,1010
335,11
336,1010
337,1011
338,11
339,11
340,11
341,11
342,1010
343,11
344,11
345,11
346,11
347,1001
348,11
349,11
350,11
351,1001
352,1011
353,1001
354,1001
355,1001
356,1001
357,11
358,11
359,1001
360,0111
361,1001
362,00000
363,00000
364,00000
365,1001
366,1001
367,0111
368,1001
369,1001
370,1001
371,1001
372,1001
373,1001
374,0110
375,1001
376,1001
377,1001
378,1001
379,1001
380,1001
381,1001
382,1001
383,11
384,1001
385,1001
386,1010
387,1001
388,1001
389,1001
390,1001
391,1010
392,1010
393,1010
394,1010
395,1011
396,1010
397,1010
398,1010
399,1010
400,1010
401,1010
402,1010
403,1010
404,1010
405,1010
406,1010
407,1010
408,00000
409,1011
410,1011
411,1011
412,1011
413,00000
414,1011
415,1011
416,1011
417,1011
418,1011
419,1011
420,1011
421,1011
422,1011
423,1011
424,1011
425,1011
426,1011
427,1011
428,1011
429,1011
430,1011
431,1011
432,1011
433,1011
434,1011
435,1011
436,1011
437,1011
438,1011
439,1011
440,1011
441,1011
442,1011
443,1011
444,1011
445,1011
446,1011
447,1011
448,1011
449,1011
450,1011
451,1011
452,1011
453,1011
454,1011
455,1011
456,1011
457,1011
458,1011
459,1011
460,1011
461,1011
462,00000
463,00011
464,1011
465,0111
466,00001
467,11
468,11
469,10001
470,11
471,1011
472,1011
473,1011
474,1011
475,1011
476,1011
477,1011
478,1011
479,1011
480,1011
481,1011
482,1011
483,1011
484,1011
485,1011
486,1011
487,1011
488,0111
489,1011
490,1011
491,1011
492,1011
493,1011
494,1011
495,1011
496,1011
497,1011
498,1011
499,1011
500,1011
501,1011
502,1011
503,0111
504,1011
505,1011
506,1011
507,1011
508,1011
509,1011
510,1011
511,1011
512,1011
513,1011
514,1011
515,1011
516,11
517,1011
518,1011
519,11
520,1011
521,0111
522,1011
523,1011
524,1011
525,1011
526,1011
527,1011
528,1011
529,1011
530,11
531,1011
532,1011
533,1011
534,001
535,1011
536,001
537,1011
538,1011
539,1011
540,11
541,11
542,00000
543,1011
544,11
545,11
546,11
547,1011
548,11
549,11
550,11
551,11
552,11
553,1011
554,11
555,11
556,11
557,11
558,11
559,11
560,11
561,11
562,11
563,11
564,11
565,11
566,11
567,1011
568,11
569,11
570,11
571,11
572,11
573,11
574,11
575,11
576,1011
577,11
578,11
579,11
580,11
581,11
582,11
583,1011
584,11
585,11
586,11
587,11
588,11
589,11
590,11
591,11
592,11
593,11
594,11
595,11
596,11
597,1011
598,11
599,11
600,11
601,11
602,11
603,11
604,11
605,11
606,11
607,11
608,11
609,11
610,11
611,11
612,11
613,11
614,11
615,11
616,11
617,11
618,11
619,11
620,11
621,11
622,11
623,11
624,11
625,1011
626,11
627,11
628,11
629,11
630,11
631,11
632,11
633,11
634,11
635,11
636,10001
637,11
638,11
639,11
640,11
641,11
642,11
643,11
644,11
645,11
646,11
647,11
648,11
649,11
650,11
651,11
652,1011
653,11
654,11
655,11
656,11
657,11
658,11
659,11
660,11
661,11
662,11
663,11
664,1001
665,11
666,11
667,11
668,11
669,11
670,11
671,11
672,11
673,11
674,11
675,11
676,11
677,11
678,11
679,11
680,11
681,11
682,11
683,11
684,11
685,11
686,11
687,11
688,11
689,11
690,11
691,11
692,1011
693,11
694,11
695,11
696,11
697,11
698,11
699,11
700,11
701,11
702,11
703,11
704,11
705,11
706,11
707,1011
708,11
709,11
710,11
711,11
712,11
713,11
714,11
715,11
716,11
717,11
718,11
719,11
720,11
721,11
722,11
723,00000
724,11
725,11
726,11
727,11
728,0111
729,11
730,11
731,11
732,11
733,11
734,11
735,11
736,11
737,11
738,11
739,11
740,11
741,11
742,11
743,11
744,11
745,11
746,11
747,11
748,11
749,11
750,11
751,11
752,11
753,11
754,11
755,11
756,11
757,11
758,11
759,11
760,11
761,11
762,11
763,11
764,11
765,11
766,11
767,11
768,11
769,11
770,11
771,11
772,11
773,11
774,11
775,11
776,11
777,11
778,11
779,11
780,11
781,11
782,11
783,11
784,11
785,11
786,11
787,11
788,11
789,11
790,11
791,11
792,11
793,11
794,11
795,11
796,11
797,11
798,11
799,11
800,11
801,11
802,11
803,11
804,11
805,11
806,11
807,11
808,11
809,11
810,11
811,11
812,11
813,11
814,11
815,11
816,11
817,11
818,11
819,11
820,11
821,11
822,11
823,11
824,11
825,11
826,11
827,11
828,11
829,11
830,11
831,11
832,11
833,11
834,11
835,11
836,11
837,11
838,11
839,11
840,11
841,11
842,11
843,11
844,11
845,11
846,11
847,11
848,11
849,11
850,11
851,11
852,11
853,11
854,11
855,11
856,11
857,11
858,11
859,11
860,11
861,11
862,11
863,11
864,11
865,11
866,11
867,11
868,11
869,11
870,11
871,11
872,11
873,11
874,11
875,11
876,11
877,11
878,11
879,11
880,11
881,11
882,11
883,11
884,11
885,11
886,11
887,11
888,11
889,11
890,11
891,11
892,11
893,11
894,11
895,11
896,11
897,11
898,11
899,11
900,11
901,11
902,11
903,11
904,11
905,11
906,11
907,11
908,11
909,11
910,11
911,11
912,11
913,11
914,11
915,11
916,11
917,11
918,11
919,11
920,11
921,11
922,11
923,11
924,11
925,11
926,11
927,11
928,11
929,11
930,11
931,11
932,11
933,11
934,11
935,11
936,11
937,11
938,11
939,11
940,11
941,11
942,11
943,11
944,11
945,11
946,11
947,11
948,11
949,11
950,11
951,11
952,11
953,11
954,11
955,11
956,11
957,11
958,11
959,11
960,11
961,11
962,11
963,11
964,11
965,11
966,11
967,11
968,11
969,11
970,11
971,11
972,11
973,11
974,11
975,11
976,11
977,11
978,11
979,11
980,11
981,11
982,11
983,11
984,11
985,11
986,11
987,11
988,11
989,11
990,11
991,11
992,11
993,11
994,11
995,11
996,11
997,11
998,11
999,11
1000,11
1001,11
1002,11
1003,11
1004,11
1005,11
1006,11
1007,11
1008,11
1009,11
1010,11
1011,11
1012,11
1013,11
1014,11
1015,11
1112,11
1113,11
1114,11
1115,11
1116,11
1117,11
1118,11
1119,11
1120,11
1121,1011
1122,1011
1123,11
1124,11
1125,11
1126,11
1127,11
1128,11
1129,11
1130,11
1131,11
1132,11
1133,11
1134,11
1135,11
1136,1011
1137,11
1139,11
1140,11
1141,11
1142,11
1143,11
1144,11
1145,11
1146,11
1147,11
1148,11
1149,11
1150,0111
1151,11
1152,11
1153,11
1154,11
1155,11
1156,1011
1157,11
1158,11
1159,11
1160,11
1161,11
1162,11
1163,11
1164,11
1165,1011
1166,00000
1167,11
1168,11
1169,11
1170,11
1171,11
1172,11
1173,11
1174,11
1175,11
1176,11
1177,11
1178,1011
1179,11
1180,11
1181,11
1182,11
1183,11
1184,1011
1185,11
1186,11
1187,11
1188,11
1189,11
1190,11
1191,11
1192,11
1193,11
1194,11
1195,1011
1196,11
1197,11
1198,11
1200,11
1201,11
1202,11
1203,11
1204,11
1205,11
1206,11
1207,11
1208,11
1209,11
1210,11
1211,11
1212,11
1213,11
1214,11
1215,11
1216,11
1217,11
1218,11
1219,11
1220,11
1221,11
1222,11
1223,00000
1224,11
1225,11
1226,11
1227,11
1228,11
1229,11
1230,11
1231,11
1232,11
1233,11
1234,11
1235,1010
1236,11
1237,11
1238,11
1239,11
1240,11
1241,11
1242,11
1243,11
1244,11
1245,11
1246,11
1247,11
1248,11
1249,00000
1250,11
1251,11
1252,11
1253,11
1254,11
1255,11
1256,11
1257,11
1258,11
1259,11
1260,00000
1261,11
1262,11
1263,1011
1264,11
1265,11
1266,0111
1267,1001
1268,11
1269,11
1270,11
1271,11
1272,1011
1273,11
1274,0111
1275,11
1276,11
1277,11
1278,11
1279,11
1280,1011
1281,11
1282,11
1283,11
1284,11
1285,11
1286,11
1287,11
