name,f1(1),f1_base(1),weight,weight_share,f1_base_is_zero,assigned_nodes,distinct_partitions
GeoRF-A_2015_07_fs3,0.0520833333333333,0.0249554367201426,0.7639698787239726,0.713627,False,4859,6
GeoRF-A_2016_02_fs3,0.0659840728100113,0.0549199084668192,0.1953136637070778,0.182443,False,5009,6
GeoRF-A_2015_01_fs1,0.2044728434504792,0.1872909698996655,0.1091399395003636,0.101948,False,4859,6
GeoRF-A_2015_07_fs1,0.2439807383627608,0.2435897435897435,0.0021208915691377506,0.001981,False,5009,4
GeoRF-A_2014_01_fs1,0.2441860465116279,0.2441860465116279,0.0,0.0,False,4860,1
GeoRF-A_2014_01_fs2,0.0833333333333333,0.0833333333333333,0.0,0.0,False,4860,1
GeoRF-A_2014_01_fs3,0.0780487804878048,0.0780487804878048,0.0,0.0,False,4860,1
GeoRF-A_2014_04_fs1,0.1338028169014084,0.1338028169014084,0.0,0.0,False,4860,1
GeoRF-A_2014_04_fs2,0.0454545454545454,0.0454545454545454,0.0,0.0,False,4860,1
GeoRF-A_2014_04_fs3,0.0797101449275362,0.0797101449275362,0.0,0.0,False,4860,1
GeoRF-A_2014_07_fs1,0.1329113924050633,0.1446540880503144,0.0,0.0,False,4860,5
GeoRF-A_2014_07_fs2,0.0136054421768707,0.0136054421768707,0.0,0.0,False,4860,1
GeoRF-A_2014_07_fs3,0.0670731707317073,0.0670731707317073,0.0,0.0,False,4860,1
GeoRF-A_2014_10_fs1,0.1073170731707316,0.1073170731707316,0.0,0.0,False,4859,1
GeoRF-A_2014_10_fs2,0.0469973890339425,0.0469973890339425,0.0,0.0,False,4859,1
GeoRF-A_2014_10_fs3,0.0157068062827225,0.0157068062827225,0.0,0.0,False,4859,1
GeoRF-A_2015_01_fs2,0.2272727272727272,0.2507836990595611,0.0,0.0,False,4859,7
GeoRF-A_2015_01_fs3,0.0176211453744493,0.0176211453744493,0.0,0.0,False,4859,1
GeoRF-A_2015_04_fs1,0.215,0.215,0.0,0.0,False,5009,1
GeoRF-A_2015_04_fs2,0.2689075630252101,0.2689075630252101,0.0,0.0,False,4859,1
GeoRF-A_2015_04_fs3,0.0057636887608069,0.0057636887608069,0.0,0.0,False,4859,1
GeoRF-A_2015_07_fs2,0.1590909090909091,0.1729200652528548,0.0,0.0,False,5009,7
GeoRF-A_2015_10_fs1,0.3026905829596412,0.3026905829596412,0.0,0.0,False,5009,1
GeoRF-A_2015_10_fs2,0.1153342070773263,0.1153342070773263,0.0,0.0,False,5009,1
GeoRF-A_2015_10_fs3,0.1014304291287386,0.1016949152542372,0.0,0.0,False,4859,3
GeoRF-A_2016_02_fs1,0.5223880597014926,0.5223880597014926,0.0,0.0,False,5009,1
GeoRF-A_2016_02_fs2,0.1137855579868709,0.1137855579868709,0.0,0.0,False,5009,1
GeoRF-A_2016_06_fs1,0.6235632183908045,0.6235632183908045,0.0,0.0,False,5008,1
GeoRF-A_2016_06_fs2,0.4233183856502242,0.4313725490196079,0.0,0.0,False,5008,6
GeoRF-A_2016_06_fs3,0.026097271648873,0.026097271648873,0.0,0.0,False,5008,1
GeoRF-A_2016_10_fs1,0.4845890410958904,0.4959481361426256,0.0,0.0,False,5159,3
GeoRF-A_2016_10_fs2,0.4223484848484849,0.4223484848484849,0.0,0.0,False,5005,1
GeoRF-A_2016_10_fs3,0.4354136429608127,0.4354136429608127,0.0,0.0,False,5005,1
