name,f1(1),f1_base(1),weight,weight_share,f1_base_is_zero,assigned_nodes,distinct_partitions
GeoRF-ABCDE_2016_02_fs3,0.0023501762632197,0.0,7.764597552212354,0.889907,True,5009,7
GeoRF-ABCDE_2017_02_fs2,0.0888429752066115,0.0465608465608465,0.6914708639367939,0.07925,False,5015,5
GeoRF-ABCDE_2017_02_fs3,0.0214822771213748,0.0172228202368137,0.22533653464922132,0.025826,False,4861,5
GeoRF-ABCDE_2018_10_fs2,0.4249578414839797,0.4142973192526401,0.043775021794484004,0.005017,False,5365,8
GeoRF-ABCDE_2016_02_fs1,0.2738336713995943,0.2738336713995943,0.0,0.0,False,5009,1
GeoRF-ABCDE_2016_02_fs2,0.009367681498829,0.009367681498829,0.0,0.0,False,5009,1
GeoRF-ABCDE_2016_06_fs1,0.4208566108007449,0.4208566108007449,0.0,0.0,False,5008,1
GeoRF-ABCDE_2016_06_fs2,0.2354188759278897,0.2354188759278897,0.0,0.0,False,5008,1
GeoRF-ABCDE_2016_06_fs3,0.014336917562724,0.014336917562724,0.0,0.0,False,5008,1
GeoRF-ABCDE_2016_10_fs1,0.5427927927927928,0.5427927927927928,0.0,0.0,False,5159,1
GeoRF-ABCDE_2016_10_fs2,0.4300441826215023,0.4300441826215023,0.0,0.0,False,5005,1
GeoRF-ABCDE_2016_10_fs3,0.1876106194690265,0.1876106194690265,0.0,0.0,False,5005,4
GeoRF-ABCDE_2017_02_fs1,0.2378686964795432,0.3288650580875782,0.0,0.0,False,5015,4
GeoRF-ABCDE_2017_06_fs1,0.4228395061728395,0.4228395061728395,0.0,0.0,False,5358,1
GeoRF-ABCDE_2017_06_fs2,0.3572542901716068,0.3573085846867749,0.0,0.0,False,5159,10
GeoRF-ABCDE_2017_06_fs3,0.1251149954001839,0.1251149954001839,0.0,0.0,False,5159,1
GeoRF-ABCDE_2017_10_fs1,0.5791433891992551,0.5791433891992551,0.0,0.0,False,5361,1
GeoRF-ABCDE_2017_10_fs2,0.4393592677345537,0.4617117117117116,0.0,0.0,False,5359,9
GeoRF-ABCDE_2017_10_fs3,0.3952380952380952,0.3952380952380952,0.0,0.0,False,5159,1
GeoRF-ABCDE_2018_02_fs1,0.6242868785656072,0.6242868785656072,0.0,0.0,False,5363,1
GeoRF-ABCDE_2018_02_fs2,0.4790528233151183,0.5035971223021583,0.0,0.0,False,5361,5
GeoRF-ABCDE_2018_02_fs3,0.4318869828456104,0.4318869828456104,0.0,0.0,False,5359,1
GeoRF-ABCDE_2018_06_fs1,0.5398089171974523,0.5398089171974523,0.0,0.0,False,5364,1
GeoRF-ABCDE_2018_06_fs2,0.4908759124087591,0.4908759124087591,0.0,0.0,False,5363,1
GeoRF-ABCDE_2018_06_fs3,0.451417004048583,0.47,0.0,0.0,False,5361,9
GeoRF-ABCDE_2018_10_fs1,0.5259146341463415,0.5259146341463415,0.0,0.0,False,5365,1
GeoRF-ABCDE_2018_10_fs3,0.3699731903485255,0.3767857142857143,0.0,0.0,False,5364,8
