name,f1(1),f1_base(1),weight,weight_share,f1_base_is_zero,assigned_nodes,distinct_partitions
GeoRF-ABCE_2016_02_fs3,0.0116959064327485,0.0023501762632197,1.6141604713882876,0.488638,False,5009,6
GeoRF-ABCE_2016_06_fs3,0.0307692307692307,0.014336917562724,0.7804891907150919,0.23627,False,5008,4
GeoRF-ABCE_2015_10_fs2,0.0193103448275862,0.0138312586445366,0.33928122723227183,0.102707,False,5009,6
GeoRF-ABCE_2016_10_fs3,0.0604914933837429,0.0458015267175572,0.2937001447773451,0.088909,False,5005,4
GeoRF-ABCE_2016_02_fs2,0.0278099652375434,0.0232558139534883,0.18351274216410918,0.055553,False,5009,6
GeoRF-ABCE_2016_06_fs2,0.1587651598676956,0.1468298109010011,0.09224014707242834,0.027923,False,5008,5
GeoRF-ABCE_2014_01_fs1,0.0530973451327433,0.0530973451327433,0.0,0.0,False,4860,1
GeoRF-ABCE_2014_01_fs2,0.0,0.0,0.0,0.0,True,4860,1
GeoRF-ABCE_2014_01_fs3,0.0655737704918032,0.0655737704918032,0.0,0.0,False,4860,1
GeoRF-ABCE_2014_04_fs1,0.0386100386100386,0.0386100386100386,0.0,0.0,False,4860,1
GeoRF-ABCE_2014_04_fs2,0.0,0.0,0.0,0.0,True,4860,1
GeoRF-ABCE_2014_04_fs3,0.0,0.0,0.0,0.0,True,4860,1
GeoRF-ABCE_2014_07_fs1,0.0068259385665529,0.0068259385665529,0.0,0.0,False,4860,1
GeoRF-ABCE_2014_07_fs2,0.0,0.0,0.0,0.0,True,4860,1
GeoRF-ABCE_2014_07_fs3,0.0,0.0,0.0,0.0,True,4860,1
GeoRF-ABCE_2014_10_fs1,0.0053475935828877,0.0053475935828877,0.0,0.0,False,4859,1
GeoRF-ABCE_2014_10_fs2,0.0,0.0,0.0,0.0,True,4859,1
GeoRF-ABCE_2014_10_fs3,0.0,0.0,0.0,0.0,True,4859,5
GeoRF-ABCE_2015_01_fs1,0.017094017094017,0.017094017094017,0.0,0.0,False,4859,1
GeoRF-ABCE_2015_01_fs2,0.0,0.0,0.0,0.0,True,4859,6
GeoRF-ABCE_2015_01_fs3,0.0,0.0,0.0,0.0,True,4859,1
GeoRF-ABCE_2015_04_fs1,0.0989010989010989,0.1138211382113821,0.0,0.0,False,5009,8
GeoRF-ABCE_2015_04_fs2,0.054054054054054,0.0544959128065395,0.0,0.0,False,4859,6
GeoRF-ABCE_2015_04_fs3,0.0,0.0,0.0,0.0,True,4859,5
GeoRF-ABCE_2015_07_fs1,0.0109090909090909,0.0109090909090909,0.0,0.0,False,5009,1
GeoRF-ABCE_2015_07_fs2,0.0736842105263158,0.0736842105263158,0.0,0.0,False,5009,1
GeoRF-ABCE_2015_07_fs3,0.0,0.0,0.0,0.0,True,4859,1
GeoRF-ABCE_2015_10_fs1,0.1797468354430379,0.1797468354430379,0.0,0.0,False,5009,1
GeoRF-ABCE_2015_10_fs3,0.0,0.0,0.0,0.0,True,4859,3
GeoRF-ABCE_2016_02_fs1,0.298,0.298,0.0,0.0,False,5009,1
GeoRF-ABCE_2016_06_fs1,0.3841698841698842,0.3841698841698842,0.0,0.0,False,5008,1
GeoRF-ABCE_2016_10_fs1,0.5214521452145214,0.5214521452145214,0.0,0.0,False,5159,1
GeoRF-ABCE_2016_10_fs2,0.4037267080745341,0.4037267080745341,0.0,0.0,False,5005,1
