FEWSNET_admin_code,partition_id,assignment_source,graph_support,donor_code,donor_distance_km
0,0,pooled_valid_unsplit,never_in_graph,,
1,0,pooled_valid_unsplit,never_in_graph,,
2,0,pooled_valid_unsplit,never_in_graph,,
3,0,pooled_valid_unsplit,never_in_graph,,
4,0,pooled_valid_unsplit,never_in_graph,,
5,0,pooled_valid_unsplit,never_in_graph,,
6,0,pooled_valid_unsplit,never_in_graph,,
7,0,pooled_valid_unsplit,never_in_graph,,
8,0,pooled_valid_unsplit,never_in_graph,,
9,0,pooled_valid_unsplit,never_in_graph,,
10,0,pooled_valid_unsplit,never_in_graph,,
11,0,pooled_valid_unsplit,never_in_graph,,
12,0,pooled_valid_unsplit,never_in_graph,,
13,0,pooled_valid_unsplit,never_in_graph,,
14,0,pooled_valid_unsplit,never_in_graph,,
15,0,pooled_valid_unsplit,never_in_graph,,
16,0,pooled_valid_unsplit,never_in_graph,,
17,0,pooled_valid_unsplit,never_in_graph,,
18,0,pooled_valid_unsplit,never_in_graph,,
19,0,pooled_valid_unsplit,never_in_graph,,
20,0,pooled_valid_unsplit,never_in_graph,,
21,0,pooled_valid_unsplit,never_in_graph,,
22,0,pooled_valid_unsplit,never_in_graph,,
23,0,pooled_valid_unsplit,never_in_graph,,
24,0,pooled_valid_unsplit,never_in_graph,,
25,0,pooled_valid_unsplit,never_in_graph,,
26,0,pooled_valid_unsplit,never_in_graph,,
27,0,pooled_valid_unsplit,never_in_graph,,
28,0,pooled_valid_unsplit,never_in_graph,,
29,0,pooled_valid_unsplit,never_in_graph,,
30,0,pooled_valid_unsplit,never_in_graph,,
31,0,pooled_valid_unsplit,never_in_graph,,
32,0,pooled_valid_unsplit,never_in_graph,,
33,0,pooled_valid_unsplit,never_in_graph,,
34,0,pooled_valid_unsplit,never_in_graph,,
35,0,pooled_valid_unsplit,never_in_graph,,
36,0,pooled_valid_unsplit,never_in_graph,,
37,0,pooled_valid_unsplit,never_in_graph,,
38,0,pooled_valid_unsplit,never_in_graph,,
39,0,pooled_valid_unsplit,never_in_graph,,
40,0,pooled_valid_unsplit,never_in_graph,,
41,0,pooled_valid_unsplit,never_in_graph,,
42,0,pooled_valid_unsplit,never_in_graph,,
43,0,pooled_valid_unsplit,never_in_graph,,
44,0,pooled_valid_unsplit,never_in_graph,,
45,0,pooled_valid_unsplit,never_in_graph,,
46,0,pooled_valid_unsplit,never_in_graph,,
47,0,pooled_valid_unsplit,never_in_graph,,
48,0,pooled_valid_unsplit,never_in_graph,,
49,0,pooled_valid_unsplit,never_in_graph,,
50,0,pooled_valid_unsplit,never_in_graph,,
51,0,pooled_valid_unsplit,never_in_graph,,
52,0,pooled_valid_unsplit,never_in_graph,,
53,0,pooled_valid_unsplit,never_in_graph,,
54,0,pooled_valid_unsplit,never_in_graph,,
55,0,pooled_valid_unsplit,never_in_graph,,
56,0,pooled_valid_unsplit,never_in_graph,,
57,0,pooled_valid_unsplit,never_in_graph,,
58,0,pooled_valid_unsplit,never_in_graph,,
59,0,pooled_valid_unsplit,never_in_graph,,
60,0,pooled_valid_unsplit,never_in_graph,,
61,0,pooled_valid_unsplit,never_in_graph,,
62,0,pooled_valid_unsplit,never_in_graph,,
63,0,pooled_valid_unsplit,never_in_graph,,
64,0,pooled_valid_unsplit,never_in_graph,,
65,0,pooled_valid_unsplit,never_in_graph,,
66,0,pooled_valid_unsplit,never_in_graph,,
67,0,pooled_valid_unsplit,never_in_graph,,
68,0,pooled_valid_unsplit,never_in_graph,,
69,0,pooled_valid_unsplit,never_in_graph,,
70,0,pooled_valid_unsplit,never_in_graph,,
71,0,pooled_valid_unsplit,never_in_graph,,
72,0,pooled_valid_unsplit,never_in_graph,,
73,0,pooled_valid_unsplit,never_in_graph,,
74,0,pooled_valid_unsplit,never_in_graph,,
75,0,pooled_valid_unsplit,never_in_graph,,
76,0,pooled_valid_unsplit,never_in_graph,,
77,0,pooled_valid_unsplit,never_in_graph,,
78,0,pooled_valid_unsplit,never_in_graph,,
79,0,pooled_valid_unsplit,never_in_graph,,
80,0,pooled_valid_unsplit,never_in_graph,,
81,0,pooled_valid_unsplit,never_in_graph,,
82,0,pooled_valid_unsplit,never_in_graph,,
83,0,pooled_valid_unsplit,never_in_graph,,
84,0,pooled_valid_unsplit,never_in_graph,,
85,0,pooled_valid_unsplit,never_in_graph,,
86,0,pooled_valid_unsplit,never_in_graph,,
87,0,pooled_valid_unsplit,never_in_graph,,
88,0,pooled_valid_unsplit,never_in_graph,,
89,0,pooled_valid_unsplit,never_in_graph,,
90,0,pooled_valid_unsplit,never_in_graph,,
91,0,pooled_valid_unsplit,never_in_graph,,
92,0,pooled_valid_unsplit,never_in_graph,,
93,0,pooled_valid_unsplit,never_in_graph,,
94,0,pooled_valid_unsplit,never_in_graph,,
95,0,pooled_valid_unsplit,never_in_graph,,
96,0,pooled_valid_unsplit,never_in_graph,,
97,0,pooled_valid_unsplit,never_in_graph,,
98,0,pooled_valid_unsplit,never_in_graph,,
99,0,pooled_valid_unsplit,never_in_graph,,
100,0,pooled_valid_unsplit,never_in_graph,,
