name,f1(1),f1_base(1),weight,weight_share,f1_base_is_zero,assigned_nodes,distinct_partitions
GeoRF-ABDE_2016_02_fs3,0.0023501762632197,0.0,7.764597552212354,0.957717,True,5009,5
GeoRF-ABDE_2017_02_fs2,0.1804073714839961,0.1567460317460317,0.16905136281342292,0.020851,False,5015,8
GeoRF-ABDE_2016_10_fs1,0.5727069351230425,0.544611819235226,0.11398093359808956,0.014059,False,5159,6
GeoRF-ABDE_2017_02_fs3,0.0445859872611464,0.0425079702444208,0.04990065845345759,0.006155,False,4861,2
GeoRF-ABDE_2017_06_fs2,0.3542770628311885,0.3520227111426544,0.009868702296008558,0.001217,False,5159,6
GeoRF-ABDE_2016_02_fs1,0.3067729083665338,0.3218163869693978,0.0,0.0,False,5009,5
GeoRF-ABDE_2016_02_fs2,0.0703745743473325,0.0747451868629671,0.0,0.0,False,5009,6
GeoRF-ABDE_2016_06_fs1,0.4011194029850746,0.4011194029850746,0.0,0.0,False,5008,1
GeoRF-ABDE_2016_06_fs2,0.333000997008973,0.333000997008973,0.0,0.0,False,5008,1
GeoRF-ABDE_2016_06_fs3,0.0983981693363844,0.0983981693363844,0.0,0.0,False,5008,1
GeoRF-ABDE_2016_10_fs2,0.4742268041237113,0.4742268041237113,0.0,0.0,False,5005,1
GeoRF-ABDE_2016_10_fs3,0.2121739130434782,0.2152777777777778,0.0,0.0,False,5005,4
GeoRF-ABDE_2017_02_fs1,0.2759259259259259,0.3410301953818827,0.0,0.0,False,5015,5
GeoRF-ABDE_2017_06_fs1,0.4361702127659574,0.4361702127659574,0.0,0.0,False,5358,1
GeoRF-ABDE_2017_06_fs3,0.215034965034965,0.215034965034965,0.0,0.0,False,5159,1
GeoRF-ABDE_2017_10_fs1,0.5668534827862289,0.5668534827862289,0.0,0.0,False,5361,1
GeoRF-ABDE_2017_10_fs2,0.4739039665970772,0.4739039665970772,0.0,0.0,False,5359,1
GeoRF-ABDE_2017_10_fs3,0.4401805869074492,0.4593088071348941,0.0,0.0,False,5159,4
GeoRF-ABDE_2018_02_fs1,0.6250999200639488,0.6459627329192548,0.0,0.0,False,5363,3
GeoRF-ABDE_2018_02_fs2,0.5177489177489177,0.5177489177489177,0.0,0.0,False,5361,1
GeoRF-ABDE_2018_02_fs3,0.3699059561128526,0.4057377049180328,0.0,0.0,False,5359,6
GeoRF-ABDE_2018_06_fs1,0.5112179487179487,0.5707831325301205,0.0,0.0,False,5364,8
GeoRF-ABDE_2018_06_fs2,0.4664179104477611,0.4664179104477611,0.0,0.0,False,5363,1
GeoRF-ABDE_2018_06_fs3,0.4959276018099547,0.4959276018099547,0.0,0.0,False,5361,1
GeoRF-ABDE_2018_10_fs1,0.5253595760787283,0.5253595760787283,0.0,0.0,False,5365,1
GeoRF-ABDE_2018_10_fs2,0.4250200481154771,0.4250200481154771,0.0,0.0,False,5365,1
GeoRF-ABDE_2018_10_fs3,0.3897254207263064,0.3897254207263064,0.0,0.0,False,5364,1
