FEWSNET_admin_code,partition_id,assignment_source,graph_support,donor_code,donor_distance_km
0,7,spectral_core,in_fitted_core,,
1,7,spectral_core,in_fitted_core,,
2,5,spectral_core,in_fitted_core,,
3,7,spectral_core,in_fitted_core,,
4,7,spectral_core,in_fitted_core,,
5,5,spectral_core,in_fitted_core,,
6,7,spectral_core,in_fitted_core,,
7,7,spectral_core,in_fitted_core,,
8,5,spectral_core,in_fitted_core,,
9,7,spectral_core,in_fitted_core,,
10,0,spectral_core,in_fitted_core,,
11,5,spectral_core,in_fitted_core,,
12,4,spectral_core,in_fitted_core,,
13,7,spectral_core,in_fitted_core,,
14,5,spectral_core,in_fitted_core,,
15,5,spectral_core,in_fitted_core,,
16,5,spectral_core,in_fitted_core,,
17,7,spectral_core,in_fitted_core,,
18,5,spectral_core,in_fitted_core,,
19,5,spectral_core,in_fitted_core,,
20,5,spectral_core,in_fitted_core,,
21,7,spectral_core,in_fitted_core,,
22,5,spectral_core,in_fitted_core,,
23,5,spectral_core,in_fitted_core,,
24,5,spectral_core,in_fitted_core,,
25,5,spectral_core,in_fitted_core,,
26,5,spectral_core,in_fitted_core,,
27,0,spectral_core,in_fitted_core,,
28,0,spectral_core,in_fitted_core,,
29,4,spectral_core,in_fitted_core,,
30,7,spectral_core,in_fitted_core,,
31,5,spectral_core,in_fitted_core,,
32,7,spectral_core,in_fitted_core,,
33,0,spectral_core,in_fitted_core,,
34,5,spectral_core,in_fitted_core,,
35,0,spectral_core,in_fitted_core,,
36,5,spectral_core,in_fitted_core,,
37,5,spectral_core,in_fitted_core,,
38,0,spectral_core,in_fitted_core,,
39,7,spectral_core,in_fitted_core,,
40,5,spectral_core,in_fitted_core,,
41,5,spectral_core,in_fitted_core,,
42,5,spectral_core,in_fitted_core,,
43,7,spectral_core,in_fitted_core,,
44,5,spectral_core,in_fitted_core,,
45,5,spectral_core,in_fitted_core,,
46,5,spectral_core,in_fitted_core,,
47,5,spectral_core,in_fitted_core,,
48,5,spectral_core,in_fitted_core,,
49,5,spectral_core,in_fitted_core,,
50,0,spectral_core,in_fitted_core,,
51,5,spectral_core,in_fitted_core,,
52,5,spectral_core,in_fitted_core,,
53,7,spectral_core,in_fitted_core,,
54,7,spectral_core,in_fitted_core,,
55,5,spectral_core,in_fitted_core,,
56,5,spectral_core,in_fitted_core,,
57,5,spectral_core,in_fitted_core,,
58,5,spectral_core,in_fitted_core,,
59,7,spectral_core,in_fitted_core,,
60,5,spectral_core,in_fitted_core,,
61,5,spectral_core,in_fitted_core,,
62,5,spectral_core,in_fitted_core,,
63,5,spectral_core,in_fitted_core,,
64,5,spectral_core,in_fitted_core,,
65,5,spectral_core,in_fitted_core,,
66,5,spectral_core,in_fitted_core,,
67,5,spectral_core,in_fitted_core,,
68,5,spectral_core,in_fitted_core,,
69,5,spectral_core,in_fitted_core,,
70,5,spectral_core,in_fitted_core,,
71,0,spectral_core,in_fitted_core,,
72,0,spectral_core,in_fitted_core,,
73,5,spectral_core,in_fitted_core,,
74,5,spectral_core,in_fitted_core,,
75,5,spectral_core,in_fitted_core,,
76,5,spectral_core,in_fitted_core,,
77,5,spectral_core,in_fitted_core,,
78,5,spectral_core,in_fitted_core,,
79,17,spectral_core,in_fitted_core,,
80,17,spectral_core,in_fitted_core,,
81,17,spectral_core,in_fitted_core,,
82,17,spectral_core,in_fitted_core,,
83,17,spectral_core,in_fitted_core,,
84,17,spectral_core,in_fitted_core,,
85,17,spectral_core,in_fitted_core,,
86,17,spectral_core,in_fitted_core,,
87,17,spectral_core,in_fitted_core,,
88,17,spectral_core,in_fitted_core,,
89,17,spectral_core,in_fitted_core,,
90,17,spectral_core,in_fitted_core,,
91,17,spectral_core,in_fitted_core,,
92,17,spectral_core,in_fitted_core,,
93,17,spectral_core,in_fitted_core,,
94,17,spectral_core,in_fitted_core,,
95,17,spectral_core,in_fitted_core,,
96,17,spectral_core,in_fitted_core,,
97,17,spectral_core,in_fitted_core,,
98,17,spectral_core,in_fitted_core,,
99,17,spectral_core,in_fitted_core,,
100,17,spectral_core,in_fitted_core,,
101,17,spectral_core,in_fitted_core,,
102,17,spectral_core,in_fitted_core,,
103,17,spectral_core,in_fitted_core,,
104,17,spectral_core,in_fitted_core,,
105,17,spectral_core,in_fitted_core,,
106,17,spectral_core,in_fitted_core,,
107,17,spectral_core,in_fitted_core,,
108,17,spectral_core,in_fitted_core,,
109,17,spectral_core,in_fitted_core,,
110,17,spectral_core,in_fitted_core,,
111,17,spectral_core,in_fitted_core,,
112,17,spectral_core,in_fitted_core,,
113,17,spectral_core,in_fitted_core,,
114,17,spectral_core,in_fitted_core,,
115,17,spectral_core,in_fitted_core,,
116,17,spectral_core,in_fitted_core,,
117,17,spectral_core,in_fitted_core,,
118,17,spectral_core,in_fitted_core,,
119,17,spectral_core,in_fitted_core,,
120,17,spectral_core,in_fitted_core,,
121,17,spectral_core,in_fitted_core,,
122,17,spectral_core,in_fitted_core,,
123,17,spectral_core,in_fitted_core,,
124,17,spectral_core,in_fitted_core,,
125,17,spectral_core,in_fitted_core,,
126,17,spectral_core,in_fitted_core,,
127,17,spectral_core,in_fitted_core,,
128,17,spectral_core,in_fitted_core,,
129,17,spectral_core,in_fitted_core,,
130,17,spectral_core,in_fitted_core,,
131,17,spectral_core,in_fitted_core,,
132,17,spectral_core,in_fitted_core,,
133,17,spectral_core,in_fitted_core,,
134,17,spectral_core,in_fitted_core,,
135,17,spectral_core,in_fitted_core,,
136,17,spectral_core,in_fitted_core,,
137,17,spectral_core,in_fitted_core,,
138,17,spectral_core,in_fitted_core,,
139,17,spectral_core,in_fitted_core,,
140,17,spectral_core,in_fitted_core,,
141,17,spectral_core,in_fitted_core,,
142,17,spectral_core,in_fitted_core,,
143,17,spectral_core,in_fitted_core,,
144,17,spectral_core,in_fitted_core,,
145,17,spectral_core,in_fitted_core,,
146,17,spectral_core,in_fitted_core,,
147,17,spectral_core,in_fitted_core,,
148,17,spectral_core,in_fitted_core,,
149,17,spectral_core,in_fitted_core,,
150,17,spectral_core,in_fitted_core,,
151,17,spectral_core,in_fitted_core,,
152,17,spectral_core,in_fitted_core,,
153,17,spectral_core,in_fitted_core,,
154,17,spectral_core,in_fitted_core,,
155,17,spectral_core,in_fitted_core,,
156,17,spectral_core,in_fitted_core,,
157,17,spectral_core,in_fitted_core,,
158,17,spectral_core,in_fitted_core,,
159,17,spectral_core,in_fitted_core,,
160,17,spectral_core,in_fitted_core,,
161,17,spectral_core,in_fitted_core,,
162,17,spectral_core,in_fitted_core,,
163,17,spectral_core,in_fitted_core,,
164,17,spectral_core,in_fitted_core,,
165,17,spectral_core,in_fitted_core,,
166,17,spectral_core,in_fitted_core,,
167,7,spectral_core,in_fitted_core,,
168,17,spectral_core,in_fitted_core,,
169,17,spectral_core,in_fitted_core,,
170,17,spectral_core,in_fitted_core,,
171,17,spectral_core,in_fitted_core,,
172,5,spectral_core,in_fitted_core,,
