name,f1(1),f1_base(1),weight,weight_share,f1_base_is_zero,assigned_nodes,distinct_partitions
GeoRF-B_2014_01_fs2,0.1085271317829457,0.0,11.709634759215781,0.243007,True,4860,14
GeoRF-B_2014_10_fs1,0.0212201591511936,0.0,9.98415445560308,0.207199,True,4859,7
GeoRF-B_2015_01_fs1,0.0174672489082969,0.0,9.785703516879241,0.203081,True,4859,5
GeoRF-B_2014_07_fs1,0.0068027210884353,0.0,8.831902936255426,0.183287,True,4860,6
GeoRF-B_2016_02_fs3,0.0116959064327485,0.0023501762632197,1.6141604713882876,0.033498,False,5009,7
GeoRF-B_2016_02_fs2,0.0323699421965318,0.009367681498829,1.26345825761212,0.02622,False,5009,4
GeoRF-B_2016_02_fs1,0.0482204362801377,0.0163360560093348,1.1153590915346747,0.023147,False,5009,6
GeoRF-B_2015_04_fs2,0.0169971671388102,0.005813953488372,1.0840982457838724,0.022498,False,4859,7
GeoRF-B_2015_10_fs1,0.0382513661202185,0.0138312586445366,1.042322481437414,0.021631,False,5009,5
GeoRF-B_2016_06_fs1,0.0780711825487945,0.0470035252643948,0.5405415912308227,0.011218,False,5008,5
GeoRF-B_2014_04_fs3,0.0428571428571428,0.0303030303030303,0.35965557207686905,0.007464,False,4860,11
GeoRF-B_2015_07_fs1,0.0638297872340425,0.0465116279069767,0.3348475408942111,0.006949,False,5009,7
GeoRF-B_2016_06_fs2,0.0849598163030998,0.0718424101969872,0.18193697643722206,0.003776,False,5008,5
GeoRF-B_2016_10_fs1,0.4112426035502958,0.380503144654088,0.12858229154744671,0.002668,False,5159,7
GeoRF-B_2016_06_fs3,0.0515826494724501,0.0470035252643948,0.0977793168612453,0.002029,False,5008,7
GeoRF-B_2015_10_fs2,0.0462585034013605,0.0435967302452316,0.062050138807654864,0.001288,False,5009,6
GeoRF-B_2015_04_fs1,0.1574803149606299,0.150943396226415,0.05012438718256895,0.00104,False,5009,9
GeoRF-B_2014_01_fs1,0.0,0.0,0.0,0.0,True,4860,1
GeoRF-B_2014_01_fs3,0.0641025641025641,0.0641025641025641,0.0,0.0,False,4860,1
GeoRF-B_2014_04_fs1,0.0,0.0,0.0,0.0,True,4860,1
GeoRF-B_2014_04_fs2,0.0,0.0,0.0,0.0,True,4860,7
GeoRF-B_2014_07_fs2,0.0,0.0,0.0,0.0,True,4860,1
GeoRF-B_2014_07_fs3,0.0134228187919463,0.0134228187919463,0.0,0.0,False,4860,1
GeoRF-B_2014_10_fs2,0.0,0.0,0.0,0.0,True,4859,1
GeoRF-B_2014_10_fs3,0.0053191489361702,0.0053191489361702,0.0,0.0,False,4859,7
GeoRF-B_2015_01_fs2,0.0,0.0,0.0,0.0,True,4859,7
GeoRF-B_2015_01_fs3,0.0,0.0,0.0,0.0,True,4859,1
GeoRF-B_2015_04_fs3,0.0,0.0,0.0,0.0,True,4859,5
GeoRF-B_2015_07_fs2,0.2272727272727272,0.2272727272727272,0.0,0.0,False,5009,7
GeoRF-B_2015_07_fs3,0.0,0.0,0.0,0.0,True,4859,4
GeoRF-B_2015_10_fs3,0.0,0.0,0.0,0.0,True,4859,3
GeoRF-B_2016_10_fs2,0.0269749518304431,0.0269749518304431,0.0,0.0,False,5005,1
GeoRF-B_2016_10_fs3,0.0493358633776091,0.0494296577946768,0.0,0.0,False,5005,4
