name,f1(1),f1_base(1),weight,weight_share,f1_base_is_zero,assigned_nodes,distinct_partitions
GeoRF-C_2014_01_fs2,0.0826446280991735,0.0,11.408564449645485,0.131221,True,4860,12
GeoRF-C_2015_01_fs2,0.0347826086956521,0.0,10.492273717771328,0.120682,True,4859,3
GeoRF-C_2014_10_fs2,0.0316622691292876,0.0,10.395054359697204,0.119563,True,4859,7
GeoRF-C_2014_04_fs1,0.0308880308880308,0.0,10.369498160511823,0.119269,True,4860,6
GeoRF-C_2014_10_fs1,0.021108179419525,0.0,9.97874903703617,0.114775,True,4859,5
GeoRF-C_2015_01_fs1,0.0088888888888888,0.0,9.101484967063591,0.104685,True,4859,4
GeoRF-C_2015_07_fs1,0.0072992700729927,0.0,8.902854672227722,0.1024,True,5009,6
GeoRF-C_2014_07_fs1,0.0068259385665529,0.0,8.835333471352225,0.101624,True,4860,6
GeoRF-C_2015_10_fs1,0.0301783264746227,0.0055555555555555,1.7173975933025054,0.019753,False,5009,6
GeoRF-C_2016_06_fs2,0.0119617224880382,0.0024038461538461,1.614268839703782,0.018567,False,5008,6
GeoRF-C_2016_06_fs1,0.0467836257309941,0.0190703218116805,0.9260588193103652,0.010651,False,5008,5
GeoRF-C_2016_10_fs3,0.0420650095602294,0.0193423597678916,0.8003622628705918,0.009206,False,5005,9
GeoRF-C_2016_02_fs3,0.0046948356807511,0.0023501762632197,0.6943257310793909,0.007986,False,5009,6
GeoRF-C_2014_04_fs3,0.0597014925373134,0.0377358490566037,0.4818380868927399,0.005542,False,4860,12
GeoRF-C_2015_04_fs1,0.0172910662824207,0.0115942028985507,0.40546510810816283,0.004664,False,5009,6
GeoRF-C_2015_10_fs2,0.0301369863013698,0.0220385674931129,0.3212746074601762,0.003695,False,5009,6
GeoRF-C_2016_10_fs2,0.1508078994614003,0.1211009174311926,0.2537672657358703,0.002919,False,5005,3
GeoRF-C_2016_02_fs1,0.1538461538461538,0.1339187705817782,0.1619971838741927,0.001863,False,5009,7
GeoRF-C_2016_02_fs2,0.030127462340672,0.0278422273781902,0.08123673766614381,0.000934,False,5009,4
GeoRF-C_2014_01_fs1,0.0,0.0,0.0,0.0,True,4860,1
GeoRF-C_2014_01_fs3,0.0428571428571428,0.0428571428571428,0.0,0.0,False,4860,1
GeoRF-C_2014_04_fs2,0.0,0.0,0.0,0.0,True,4860,1
GeoRF-C_2014_07_fs2,0.0,0.0,0.0,0.0,True,4860,1
GeoRF-C_2014_07_fs3,0.0068259385665529,0.0068259385665529,0.0,0.0,False,4860,1
GeoRF-C_2014_10_fs3,0.0106666666666666,0.0106666666666666,0.0,0.0,False,4859,8
GeoRF-C_2015_01_fs3,0.0,0.0,0.0,0.0,True,4859,1
GeoRF-C_2015_04_fs2,0.0,0.0,0.0,0.0,True,4859,4
GeoRF-C_2015_04_fs3,0.0,0.0,0.0,0.0,True,4859,1
GeoRF-C_2015_07_fs2,0.09375,0.094240837696335,0.0,0.0,False,5009,6
GeoRF-C_2015_07_fs3,0.0,0.0,0.0,0.0,True,4859,1
GeoRF-C_2015_10_fs3,0.0,0.0,0.0,0.0,True,4859,5
GeoRF-C_2016_06_fs3,0.1131221719457013,0.1156462585034013,0.0,0.0,False,5008,8
GeoRF-C_2016_10_fs1,0.0749063670411984,0.075187969924812,0.0,0.0,False,5159,7
