FEWSNET_admin_code,partition_id,assignment_source,graph_support,donor_code,donor_distance_km
0,12,spectral_core,in_fitted_core,,
1,12,spectral_core,in_fitted_core,,
2,3,spectral_core,in_fitted_core,,
3,3,spectral_core,in_fitted_core,,
4,12,spectral_core,in_fitted_core,,
5,12,spectral_core,in_fitted_core,,
6,3,spectral_core,in_fitted_core,,
7,12,spectral_core,in_fitted_core,,
8,3,spectral_core,in_fitted_core,,
9,3,spectral_core,in_fitted_core,,
10,3,spectral_core,in_fitted_core,,
11,3,spectral_core,in_fitted_core,,
12,11,spectral_core,in_fitted_core,,
13,3,spectral_core,in_fitted_core,,
14,3,spectral_core,in_fitted_core,,
15,3,spectral_core,in_fitted_core,,
16,3,spectral_core,in_fitted_core,,
17,3,spectral_core,in_fitted_core,,
18,3,spectral_core,in_fitted_core,,
19,12,spectral_core,in_fitted_core,,
20,12,spectral_core,in_fitted_core,,
21,12,spectral_core,in_fitted_core,,
22,3,spectral_core,in_fitted_core,,
23,11,spectral_core,in_fitted_core,,
24,3,spectral_core,in_fitted_core,,
25,3,spectral_core,in_fitted_core,,
26,11,spectral_core,in_fitted_core,,
27,0,spectral_core,in_fitted_core,,
28,0,spectral_core,in_fitted_core,,
29,11,spectral_core,in_fitted_core,,
30,12,spectral_core,in_fitted_core,,
31,3,spectral_core,in_fitted_core,,
32,3,spectral_core,in_fitted_core,,
33,3,spectral_core,in_fitted_core,,
34,3,spectral_core,in_fitted_core,,
35,3,spectral_core,in_fitted_core,,
36,3,spectral_core,in_fitted_core,,
37,11,spectral_core,in_fitted_core,,
38,3,spectral_core,in_fitted_core,,
39,3,spectral_core,in_fitted_core,,
40,3,spectral_core,in_fitted_core,,
41,3,spectral_core,in_fitted_core,,
42,3,spectral_core,in_fitted_core,,
43,12,spectral_core,in_fitted_core,,
44,3,spectral_core,in_fitted_core,,
45,3,spectral_core,in_fitted_core,,
46,3,spectral_core,in_fitted_core,,
47,3,spectral_core,in_fitted_core,,
48,3,spectral_core,in_fitted_core,,
49,3,spectral_core,in_fitted_core,,
50,3,spectral_core,in_fitted_core,,
51,3,spectral_core,in_fitted_core,,
52,3,spectral_core,in_fitted_core,,
53,3,spectral_core,in_fitted_core,,
54,12,spectral_core,in_fitted_core,,
55,3,spectral_core,in_fitted_core,,
56,3,spectral_core,in_fitted_core,,
57,3,spectral_core,in_fitted_core,,
58,3,spectral_core,in_fitted_core,,
59,12,spectral_core,in_fitted_core,,
60,3,spectral_core,in_fitted_core,,
61,3,spectral_core,in_fitted_core,,
62,3,spectral_core,in_fitted_core,,
63,3,spectral_core,in_fitted_core,,
64,3,spectral_core,in_fitted_core,,
65,3,spectral_core,in_fitted_core,,
66,3,spectral_core,in_fitted_core,,
67,3,spectral_core,in_fitted_core,,
68,3,spectral_core,in_fitted_core,,
69,3,spectral_core,in_fitted_core,,
70,12,spectral_core,in_fitted_core,,
71,3,spectral_core,in_fitted_core,,
72,3,spectral_core,in_fitted_core,,
73,3,spectral_core,in_fitted_core,,
74,3,spectral_core,in_fitted_core,,
75,3,spectral_core,in_fitted_core,,
76,3,spectral_core,in_fitted_core,,
77,3,spectral_core,in_fitted_core,,
78,3,spectral_core,in_fitted_core,,
79,15,spectral_core,in_fitted_core,,
80,15,spectral_core,in_fitted_core,,
81,15,spectral_core,in_fitted_core,,
82,15,spectral_core,in_fitted_core,,
83,15,spectral_core,in_fitted_core,,
84,15,spectral_core,in_fitted_core,,
85,15,spectral_core,in_fitted_core,,
86,15,spectral_core,in_fitted_core,,
87,15,spectral_core,in_fitted_core,,
88,15,spectral_core,in_fitted_core,,
89,15,spectral_core,in_fitted_core,,
90,15,spectral_core,in_fitted_core,,
91,15,spectral_core,in_fitted_core,,
92,15,spectral_core,in_fitted_core,,
93,15,spectral_core,in_fitted_core,,
94,15,spectral_core,in_fitted_core,,
