FEWSNET_admin_code,partition_id,assignment_source,graph_support,donor_code,donor_distance_km
0,3,spectral_core,in_fitted_core,,
1,3,spectral_core,in_fitted_core,,
2,9,spectral_core,in_fitted_core,,
3,3,spectral_core,in_fitted_core,,
4,3,spectral_core,in_fitted_core,,
5,3,spectral_core,in_fitted_core,,
6,3,spectral_core,in_fitted_core,,
7,3,spectral_core,in_fitted_core,,
8,1,spectral_core,in_fitted_core,,
9,3,spectral_core,in_fitted_core,,
10,9,spectral_core,in_fitted_core,,
11,9,spectral_core,in_fitted_core,,
12,1,spectral_core,in_fitted_core,,
13,3,spectral_core,in_fitted_core,,
14,3,spectral_core,in_fitted_core,,
15,3,spectral_core,in_fitted_core,,
16,8,spectral_core,in_fitted_core,,
17,3,spectral_core,in_fitted_core,,
18,3,spectral_core,in_fitted_core,,
19,3,spectral_core,in_fitted_core,,
20,3,spectral_core,in_fitted_core,,
21,3,spectral_core,in_fitted_core,,
22,8,spectral_core,in_fitted_core,,
23,1,spectral_core,in_fitted_core,,
24,1,spectral_core,in_fitted_core,,
25,3,spectral_core,in_fitted_core,,
26,1,spectral_core,in_fitted_core,,
27,1,spectral_core,in_fitted_core,,
28,1,spectral_core,in_fitted_core,,
29,1,spectral_core,in_fitted_core,,
30,3,spectral_core,in_fitted_core,,
31,1,spectral_core,in_fitted_core,,
32,3,spectral_core,in_fitted_core,,
33,9,spectral_core,in_fitted_core,,
34,1,spectral_core,in_fitted_core,,
35,9,spectral_core,in_fitted_core,,
36,3,spectral_core,in_fitted_core,,
37,1,spectral_core,in_fitted_core,,
38,9,spectral_core,in_fitted_core,,
39,3,spectral_core,in_fitted_core,,
40,3,spectral_core,in_fitted_core,,
41,8,spectral_core,in_fitted_core,,
42,3,spectral_core,in_fitted_core,,
43,3,spectral_core,in_fitted_core,,
44,3,spectral_core,in_fitted_core,,
45,1,spectral_core,in_fitted_core,,
46,1,spectral_core,in_fitted_core,,
47,1,spectral_core,in_fitted_core,,
48,1,spectral_core,in_fitted_core,,
49,8,spectral_core,in_fitted_core,,
50,3,spectral_core,in_fitted_core,,
51,8,spectral_core,in_fitted_core,,
52,3,spectral_core,in_fitted_core,,
53,3,spectral_core,in_fitted_core,,
54,3,spectral_core,in_fitted_core,,
55,9,spectral_core,in_fitted_core,,
56,9,spectral_core,in_fitted_core,,
57,3,spectral_core,in_fitted_core,,
58,3,spectral_core,in_fitted_core,,
59,3,spectral_core,in_fitted_core,,
60,3,spectral_core,in_fitted_core,,
61,3,spectral_core,in_fitted_core,,
62,3,spectral_core,in_fitted_core,,
63,8,spectral_core,in_fitted_core,,
64,1,spectral_core,in_fitted_core,,
65,3,spectral_core,in_fitted_core,,
66,3,spectral_core,in_fitted_core,,
67,3,spectral_core,in_fitted_core,,
68,1,spectral_core,in_fitted_core,,
69,3,spectral_core,in_fitted_core,,
70,3,spectral_core,in_fitted_core,,
71,9,spectral_core,in_fitted_core,,
72,9,spectral_core,in_fitted_core,,
73,3,spectral_core,in_fitted_core,,
74,8,spectral_core,in_fitted_core,,
75,8,spectral_core,in_fitted_core,,
76,1,spectral_core,in_fitted_core,,
77,3,spectral_core,in_fitted_core,,
78,3,spectral_core,in_fitted_core,,
79,10,spectral_core,in_fitted_core,,
80,10,spectral_core,in_fitted_core,,
81,10,spectral_core,in_fitted_core,,
82,10,spectral_core,in_fitted_core,,
83,10,spectral_core,in_fitted_core,,
84,10,spectral_core,in_fitted_core,,
85,10,spectral_core,in_fitted_core,,
86,10,spectral_core,in_fitted_core,,
87,10,spectral_core,in_fitted_core,,
88,10,spectral_core,in_fitted_core,,
89,10,spectral_core,in_fitted_core,,
90,10,spectral_core,in_fitted_core,,
91,10,spectral_core,in_fitted_core,,
92,10,spectral_core,in_fitted_core,,
93,10,spectral_core,in_fitted_core,,
94,10,spectral_core,in_fitted_core,,
95,10,spectral_core,in_fitted_core,,
96,10,spectral_core,in_fitted_core,,
97,10,spectral_core,in_fitted_core,,
98,10,spectral_core,in_fitted_core,,
99,10,spectral_core,in_fitted_core,,
100,10,spectral_core,in_fitted_core,,
101,10,spectral_core,in_fitted_core,,
102,10,spectral_core,in_fitted_core,,
103,10,spectral_core,in_fitted_core,,
104,3,spectral_core,in_fitted_core,,
105,10,spectral_core,in_fitted_core,,
106,10,spectral_core,in_fitted_core,,
107,10,spectral_core,in_fitted_core,,
108,10,spectral_core,in_fitted_core,,
109,10,spectral_core,in_fitted_core,,
110,10,spectral_core,in_fitted_core,,
111,10,spectral_core,in_fitted_core,,
112,10,spectral_core,in_fitted_core,,
113,10,spectral_core,in_fitted_core,,
114,10,spectral_core,in_fitted_core,,
115,10,spectral_core,in_fitted_core,,
116,10,spectral_core,in_fitted_core,,
117,10,spectral_core,in_fitted_core,,
118,10,spectral_core,in_fitted_core,,
119,10,spectral_core,in_fitted_core,,
120,10,spectral_core,in_fitted_core,,
121,10,spectral_core,in_fitted_core,,
122,10,spectral_core,in_fitted_core,,
123,10,spectral_core,in_fitted_core,,
124,10,spectral_core,in_fitted_core,,
125,10,spectral_core,in_fitted_core,,
126,10,spectral_core,in_fitted_core,,
127,10,spectral_core,in_fitted_core,,
128,10,spectral_core,in_fitted_core,,
129,10,spectral_core,in_fitted_core,,
130,10,spectral_core,in_fitted_core,,
131,10,spectral_core,in_fitted_core,,
132,10,spectral_core,in_fitted_core,,
133,10,spectral_core,in_fitted_core,,
134,10,spectral_core,in_fitted_core,,
135,10,spectral_core,in_fitted_core,,
136,10,spectral_core,in_fitted_core,,
137,10,spectral_core,in_fitted_core,,
138,10,spectral_core,in_fitted_core,,
139,10,spectral_core,in_fitted_core,,
140,10,spectral_core,in_fitted_core,,
141,10,spectral_core,in_fitted_core,,
142,10,spectral_core,in_fitted_core,,
143,10,spectral_core,in_fitted_core,,
144,10,spectral_core,in_fitted_core,,
145,10,spectral_core,in_fitted_core,,
146,10,spectral_core,in_fitted_core,,
147,10,spectral_core,in_fitted_core,,
148,10,spectral_core,in_fitted_core,,
149,10,spectral_core,in_fitted_core,,
150,10,spectral_core,in_fitted_core,,
151,10,spectral_core,in_fitted_core,,
152,10,spectral_core,in_fitted_core,,
153,10,spectral_core,in_fitted_core,,
154,10,spectral_core,in_fitted_core,,
155,10,spectral_core,in_fitted_core,,
156,10,spectral_core,in_fitted_core,,
157,10,spectral_core,in_fitted_core,,
158,10,spectral_core,in_fitted_core,,
159,10,spectral_core,in_fitted_core,,
160,10,spectral_core,in_fitted_core,,
161,10,spectral_core,in_fitted_core,,
162,10,spectral_core,in_fitted_core,,
163,10,spectral_core,in_fitted_core,,
164,10,spectral_core,in_fitted_core,,
165,10,spectral_core,in_fitted_core,,
166,3,spectral_core,in_fitted_core,,
167,10,spectral_core,in_fitted_core,,
168,10,spectral_core,in_fitted_core,,
169,10,spectral_core,in_fitted_core,,
170,5,spectral_core,in_fitted_core,,
171,5,spectral_core,in_fitted_core,,
172,12,spectral_core,in_fitted_core,,
173,12,spectral_core,in_fitted_core,,
174,12,spectral_core,in_fitted_core,,
175,12,spectral_core,in_fitted_core,,
176,12,spectral_core,in_fitted_core,,
177,12,spectral_core,in_fitted_core,,
178,12,spectral_core,in_fitted_core,,
179,0,spectral_core,in_fitted_core,,
180,0,spectral_core,in_fitted_core,,
181,0,spectral_core,in_fitted_core,,
182,0,spectral_core,in_fitted_core,,
183,9,spectral_core,in_fitted_core,,
184,0,spectral_core,in_fitted_core,,
185,12,spectral_core,in_fitted_core,,
186,9,spectral_core,in_fitted_core,,
187,9,spectral_core,in_fitted_core,,
188,12,spectral_core,in_fitted_core,,
189,12,spectral_core,in_fitted_core,,
190,12,spectral_core,in_fitted_core,,
191,9,spectral_core,in_fitted_core,,
192,9,spectral_core,in_fitted_core,,
193,12,spectral_core,in_fitted_core,,
194,12,spectral_core,in_fitted_core,,
195,12,spectral_core,in_fitted_core,,
196,12,spectral_core,in_fitted_core,,
197,12,spectral_core,in_fitted_core,,
198,12,spectral_core,in_fitted_core,,
199,12,spectral_core,in_fitted_core,,
200,12,spectral_core,in_fitted_core,,
201,12,spectral_core,in_fitted_core,,
202,12,spectral_core,in_fitted_core,,
203,12,spectral_core,in_fitted_core,,
204,12,spectral_core,in_fitted_core,,
205,12,spectral_core,in_fitted_core,,
206,12,spectral_core,in_fitted_core,,
207,12,spectral_core,in_fitted_core,,
208,12,spectral_core,in_fitted_core,,
209,12,spectral_core,in_fitted_core,,
210,13,spectral_core,in_fitted_core,,
