FEWSNET_admin_code,partition_id,assignment_source,graph_support,donor_code,donor_distance_km
0,9,spectral_core,in_fitted_core,,
1,9,spectral_core,in_fitted_core,,
2,2,spectral_core,in_fitted_core,,
3,9,spectral_core,in_fitted_core,,
4,9,spectral_core,in_fitted_core,,
5,9,spectral_core,in_fitted_core,,
6,9,spectral_core,in_fitted_core,,
7,9,spectral_core,in_fitted_core,,
8,0,spectral_core,in_fitted_core,,
9,9,spectral_core,in_fitted_core,,
10,9,spectral_core,in_fitted_core,,
11,2,spectral_core,in_fitted_core,,
12,12,spectral_core,in_fitted_core,,
13,9,spectral_core,in_fitted_core,,
14,0,spectral_core,in_fitted_core,,
15,9,spectral_core,in_fitted_core,,
16,0,spectral_core,in_fitted_core,,
17,9,spectral_core,in_fitted_core,,
18,9,spectral_core,in_fitted_core,,
19,9,spectral_core,in_fitted_core,,
20,9,spectral_core,in_fitted_core,,
21,9,spectral_core,in_fitted_core,,
22,0,spectral_core,in_fitted_core,,
23,12,spectral_core,in_fitted_core,,
24,0,spectral_core,in_fitted_core,,
25,9,spectral_core,in_fitted_core,,
26,12,spectral_core,in_fitted_core,,
27,2,spectral_core,in_fitted_core,,
28,12,spectral_core,in_fitted_core,,
29,12,spectral_core,in_fitted_core,,
30,9,spectral_core,in_fitted_core,,
31,0,spectral_core,in_fitted_core,,
32,9,spectral_core,in_fitted_core,,
33,0,spectral_core,in_fitted_core,,
34,12,spectral_core,in_fitted_core,,
35,2,spectral_core,in_fitted_core,,
36,0,spectral_core,in_fitted_core,,
37,12,spectral_core,in_fitted_core,,
38,0,spectral_core,in_fitted_core,,
39,9,spectral_core,in_fitted_core,,
40,9,spectral_core,in_fitted_core,,
41,0,spectral_core,in_fitted_core,,
42,9,spectral_core,in_fitted_core,,
43,9,spectral_core,in_fitted_core,,
44,0,spectral_core,in_fitted_core,,
45,0,spectral_core,in_fitted_core,,
46,0,spectral_core,in_fitted_core,,
47,0,spectral_core,in_fitted_core,,
