name,f1(1),f1_base(1),weight,weight_share,f1_base_is_zero,assigned_nodes,distinct_partitions
GeoRF-reference_2017_02_fs2,0.2734731084776663,0.2258064516129032,0.2550714771586182,0.387419,False,5015,5
GeoRF-reference_2017_02_fs1,0.1627450980392157,0.1381381381381381,0.19289741383849957,0.292985,False,5015,5
GeoRF-reference_2018_06_fs1,0.4738617200674536,0.4512099921935987,0.09113450466255078,0.138421,False,5364,7
GeoRF-reference_2016_06_fs3,0.2608695652173913,0.2505091649694501,0.054444707968352546,0.082694,False,5008,6
GeoRF-reference_2018_10_fs1,0.4782264449722881,0.4665090622537431,0.047015301460576794,0.07141,False,5365,6
GeoRF-reference_2018_10_fs2,0.4172413793103449,0.4129141886151231,0.017823030540844498,0.027071,False,5365,7
GeoRF-reference_2016_02_fs1,0.3172413793103448,0.3172413793103448,0.0,0.0,False,5009,1
GeoRF-reference_2016_02_fs2,0.2527805864509606,0.2655935613682093,0.0,0.0,False,5009,2
GeoRF-reference_2016_02_fs3,0.1926701570680628,0.2105263157894736,0.0,0.0,False,5009,6
GeoRF-reference_2016_06_fs1,0.4300899427636958,0.4300899427636958,0.0,0.0,False,5008,1
GeoRF-reference_2016_06_fs2,0.3716651333946642,0.3716651333946642,0.0,0.0,False,5008,1
GeoRF-reference_2016_10_fs1,0.5118881118881119,0.5118881118881119,0.0,0.0,False,5159,1
GeoRF-reference_2016_10_fs2,0.4922644163150493,0.4922644163150493,0.0,0.0,False,5005,1
GeoRF-reference_2016_10_fs3,0.0288288288288288,0.0288288288288288,0.0,0.0,False,5005,1
GeoRF-reference_2017_02_fs3,0.0021551724137931,0.0021598272138228,0.0,0.0,False,4861,2
GeoRF-reference_2017_06_fs1,0.366023166023166,0.3745143745143744,0.0,0.0,False,5358,13
GeoRF-reference_2017_06_fs2,0.3663663663663664,0.3795731707317073,0.0,0.0,False,5159,7
GeoRF-reference_2017_06_fs3,0.2751235584843493,0.2751235584843493,0.0,0.0,False,5159,1
GeoRF-reference_2017_10_fs1,0.4485596707818929,0.4596273291925465,0.0,0.0,False,5361,3
GeoRF-reference_2017_10_fs2,0.443701226309922,0.4544456641053787,0.0,0.0,False,5359,3
GeoRF-reference_2017_10_fs3,0.3557046979865771,0.3734533183352081,0.0,0.0,False,5159,6
GeoRF-reference_2018_02_fs1,0.4976671850699845,0.4976671850699845,0.0,0.0,False,5363,1
GeoRF-reference_2018_02_fs2,0.4489795918367347,0.4801864801864801,0.0,0.0,False,5361,3
GeoRF-reference_2018_02_fs3,0.3591836734693877,0.3591836734693877,0.0,0.0,False,5359,1
GeoRF-reference_2018_06_fs2,0.4648742411101474,0.47010647010647,0.0,0.0,False,5363,7
GeoRF-reference_2018_06_fs3,0.4046242774566473,0.412573673870334,0.0,0.0,False,5361,9
GeoRF-reference_2018_10_fs3,0.3758865248226951,0.3929515418502202,0.0,0.0,False,5364,7
