name,arm,variant,year,month,forecasting_scope,horizon_months,target_month,map_roles,status,reason,real_fitting_rows,real_validation_rows,labeled_target_rows,n_terminal_partitions,f1(1),f1_base(1),seconds
GeoRF-A_2014_01_fs1,A,GeoRF-A,2014,1,1,4,2014-01,['calibration'],completed,,43732,14576,4860,1,0.24418604651162792,0.24418604651162792,16.85
GeoRF-A_2014_01_fs2,A,GeoRF-A,2014,1,2,8,2014-01,['calibration'],completed,,43729,14576,4860,1,0.08333333333333333,0.08333333333333333,16.82
GeoRF-A_2014_01_fs3,A,GeoRF-A,2014,1,3,12,2014-01,['calibration'],completed,,38867,14572,4860,1,0.07804878048780488,0.07804878048780488,15.84
GeoRF-A_2014_04_fs1,A,GeoRF-A,2014,4,1,4,2014-04,['calibration'],completed,,43733,14578,4860,1,0.13380281690140844,0.13380281690140844,16.74
GeoRF-A_2014_04_fs2,A,GeoRF-A,2014,4,2,8,2014-04,['calibration'],completed,,43732,14576,4860,1,0.045454545454545456,0.045454545454545456,17.1
GeoRF-A_2014_04_fs3,A,GeoRF-A,2014,4,3,12,2014-04,['calibration'],completed,,38869,14576,4860,1,0.07971014492753624,0.07971014492753624,15.31
GeoRF-A_2014_07_fs1,A,GeoRF-A,2014,7,1,4,2014-07,['calibration'],completed,,43735,14579,4860,5,0.1329113924050633,0.14465408805031446,27.38
GeoRF-A_2014_07_fs2,A,GeoRF-A,2014,7,2,8,2014-07,['calibration'],completed,,43733,14578,4860,1,0.013605442176870748,0.013605442176870748,16.9
GeoRF-A_2014_07_fs3,A,GeoRF-A,2014,7,3,12,2014-07,['calibration'],completed,,38872,14576,4860,1,0.06707317073170731,0.06707317073170731,17.51
GeoRF-A_2014_10_fs1,A,GeoRF-A,2014,10,1,4,2014-10,['calibration'],completed,,43727,14576,5009,1,0.10731707317073169,0.10731707317073169,19.54
GeoRF-A_2014_10_fs2,A,GeoRF-A,2014,10,2,8,2014-10,['calibration'],completed,,43726,14576,5009,1,0.04699738903394255,0.04699738903394255,17.28
GeoRF-A_2014_10_fs3,A,GeoRF-A,2014,10,3,12,2014-10,['calibration'],completed,,38867,14573,5009,1,0.015706806282722512,0.015706806282722512,16.2
GeoRF-A_2015_01_fs1,A,GeoRF-A,2015,1,1,4,2015-01,['calibration'],completed,,43728,14576,5009,6,0.20447284345047922,0.18729096989966554,29.16
GeoRF-A_2015_01_fs2,A,GeoRF-A,2015,1,2,8,2015-01,['calibration'],completed,,43727,14576,5009,7,0.22727272727272727,0.25078369905956116,29.78
GeoRF-A_2015_01_fs3,A,GeoRF-A,2015,1,3,12,2015-01,['calibration'],completed,,38868,14575,5009,1,0.01762114537444934,0.01762114537444934,16.38
GeoRF-A_2015_04_fs1,A,GeoRF-A,2015,4,1,4,2015-04,['calibration'],completed,,43879,14576,5009,1,0.21500000000000002,0.21500000000000002,17.9
GeoRF-A_2015_04_fs2,A,GeoRF-A,2015,4,2,8,2015-04,['calibration'],completed,,43728,14576,5009,1,0.2689075630252101,0.2689075630252101,18.01
GeoRF-A_2015_04_fs3,A,GeoRF-A,2015,4,3,12,2015-04,['calibration'],completed,,38868,14576,5009,1,0.005763688760806916,0.005763688760806916,15.99
GeoRF-A_2015_07_fs1,A,GeoRF-A,2015,7,1,4,2015-07,['calibration'],completed,,43880,14726,5009,4,0.24398073836276082,0.24358974358974356,26.66
GeoRF-A_2015_07_fs2,A,GeoRF-A,2015,7,2,8,2015-07,['calibration'],completed,,43879,14576,5009,7,0.1590909090909091,0.17292006525285483,29.9
GeoRF-A_2015_07_fs3,A,GeoRF-A,2015,7,3,12,2015-07,['calibration'],completed,,38869,14576,5009,6,0.052083333333333336,0.024955436720142603,27.81
GeoRF-A_2015_10_fs1,A,GeoRF-A,2015,10,1,4,2015-10,['calibration'],completed,,44030,14727,5009,1,0.30269058295964124,0.30269058295964124,18.23
GeoRF-A_2015_10_fs2,A,GeoRF-A,2015,10,2,8,2015-10,['calibration'],completed,,43880,14726,5009,1,0.11533420707732632,0.11533420707732632,17.6
GeoRF-A_2015_10_fs3,A,GeoRF-A,2015,10,3,12,2015-10,['calibration'],completed,,38870,14576,5009,3,0.10143042912873862,0.10169491525423728,25.61
GeoRF-A_2016_02_fs1,A,GeoRF-A,2016,2,1,4,2016-02,"['calibration', 'selection']",completed,,39322,14727,5163,1,0.5223880597014926,0.5223880597014926,19.07
GeoRF-A_2016_02_fs2,A,GeoRF-A,2016,2,2,8,2016-02,"['calibration', 'selection']",completed,,44030,14727,5163,1,0.1137855579868709,0.1137855579868709,18.8
GeoRF-A_2016_02_fs3,A,GeoRF-A,2016,2,3,12,2016-02,"['calibration', 'selection']",completed,,43880,14726,5163,6,0.06598407281001138,0.054919908466819226,29.11
GeoRF-A_2016_06_fs1,A,GeoRF-A,2016,6,1,4,2016-06,"['calibration', 'selection']",completed,,39468,14726,5162,1,0.6235632183908045,0.6235632183908045,17.67
GeoRF-A_2016_06_fs2,A,GeoRF-A,2016,6,2,8,2016-06,"['calibration', 'selection']",completed,,39319,14726,5162,6,0.4233183856502242,0.4313725490196079,30.61
GeoRF-A_2016_06_fs3,A,GeoRF-A,2016,6,3,12,2016-06,"['calibration', 'selection']",completed,,44028,14726,5162,1,0.02609727164887307,0.02609727164887307,20.94
GeoRF-A_2016_10_fs1,A,GeoRF-A,2016,10,1,4,2016-10,"['calibration', 'selection']",completed,,39598,14866,5359,3,0.4845890410958904,0.4959481361426256,21.32
GeoRF-A_2016_10_fs2,A,GeoRF-A,2016,10,2,8,2016-10,"['calibration', 'selection']",completed,,39444,14717,5359,1,0.4223484848484849,0.4223484848484849,17.47
GeoRF-A_2016_10_fs3,A,GeoRF-A,2016,10,3,12,2016-10,"['calibration', 'selection']",completed,,39295,14717,5359,1,0.43541364296081275,0.43541364296081275,17.74
