name,arm,variant,year,month,forecasting_scope,horizon_months,target_month,map_roles,status,reason,real_fitting_rows,real_validation_rows,labeled_target_rows,n_terminal_partitions,f1(1),f1_base(1),seconds
GeoRF-ABCD_2014_01_fs1,ABCD,GeoRF-ABCD,2014,1,1,4,2014-01,['calibration'],completed,,43732,14576,4860,1,0.035398230088495575,0.035398230088495575,28.28
GeoRF-ABCD_2014_01_fs2,ABCD,GeoRF-ABCD,2014,1,2,8,2014-01,['calibration'],completed,,43729,14576,4860,1,0.0,0.0,25.81
GeoRF-ABCD_2014_01_fs3,ABCD,GeoRF-ABCD,2014,1,3,12,2014-01,['calibration'],completed,,38867,14572,4860,1,0.0,0.0,21.54
GeoRF-ABCD_2014_04_fs1,ABCD,GeoRF-ABCD,2014,4,1,4,2014-04,['calibration'],completed,,43733,14578,4860,1,0.00784313725490196,0.00784313725490196,27.6
GeoRF-ABCD_2014_04_fs2,ABCD,GeoRF-ABCD,2014,4,2,8,2014-04,['calibration'],completed,,43732,14576,4860,1,0.0,0.0,25.98
GeoRF-ABCD_2014_04_fs3,ABCD,GeoRF-ABCD,2014,4,3,12,2014-04,['calibration'],completed,,38869,14576,4860,1,0.00784313725490196,0.00784313725490196,22.03
GeoRF-ABCD_2014_07_fs1,ABCD,GeoRF-ABCD,2014,7,1,4,2014-07,['calibration'],completed,,43735,14579,4860,1,0.006825938566552901,0.006825938566552901,28.03
GeoRF-ABCD_2014_07_fs2,ABCD,GeoRF-ABCD,2014,7,2,8,2014-07,['calibration'],completed,,43733,14578,4860,1,0.0,0.0,27.67
GeoRF-ABCD_2014_07_fs3,ABCD,GeoRF-ABCD,2014,7,3,12,2014-07,['calibration'],completed,,38872,14576,4860,1,0.006825938566552901,0.006825938566552901,22.86
GeoRF-ABCD_2014_10_fs1,ABCD,GeoRF-ABCD,2014,10,1,4,2014-10,['calibration'],completed,,43727,14576,5009,1,0.010666666666666666,0.010666666666666666,30.29
GeoRF-ABCD_2014_10_fs2,ABCD,GeoRF-ABCD,2014,10,2,8,2014-10,['calibration'],completed,,43726,14576,5009,3,0.015915119363395226,0.0053475935828877,36.97
GeoRF-ABCD_2014_10_fs3,ABCD,GeoRF-ABCD,2014,10,3,12,2014-10,['calibration'],completed,,38867,14573,5009,1,0.0,0.0,23.98
GeoRF-ABCD_2015_01_fs1,ABCD,GeoRF-ABCD,2015,1,1,4,2015-01,['calibration'],completed,,43728,14576,5009,1,0.07114624505928854,0.07114624505928854,28.95
GeoRF-ABCD_2015_01_fs2,ABCD,GeoRF-ABCD,2015,1,2,8,2015-01,['calibration'],completed,,43727,14576,5009,8,0.0,0.0,44.44
GeoRF-ABCD_2015_01_fs3,ABCD,GeoRF-ABCD,2015,1,3,12,2015-01,['calibration'],completed,,38868,14575,5009,1,0.0,0.0,24.52
GeoRF-ABCD_2015_04_fs1,ABCD,GeoRF-ABCD,2015,4,1,4,2015-04,['calibration'],completed,,43879,14576,5009,1,0.034090909090909095,0.034090909090909095,29.98
GeoRF-ABCD_2015_04_fs2,ABCD,GeoRF-ABCD,2015,4,2,8,2015-04,['calibration'],completed,,43728,14576,5009,6,0.09399477806788513,0.09921671018276763,46.4
GeoRF-ABCD_2015_04_fs3,ABCD,GeoRF-ABCD,2015,4,3,12,2015-04,['calibration'],completed,,38868,14576,5009,6,0.0,0.0,37.26
GeoRF-ABCD_2015_07_fs1,ABCD,GeoRF-ABCD,2015,7,1,4,2015-07,['calibration'],completed,,43880,14726,5009,1,0.05,0.05,31.05
GeoRF-ABCD_2015_07_fs2,ABCD,GeoRF-ABCD,2015,7,2,8,2015-07,['calibration'],completed,,43879,14576,5009,7,0.02867383512544803,0.025134649910233394,44.87
GeoRF-ABCD_2015_07_fs3,ABCD,GeoRF-ABCD,2015,7,3,12,2015-07,['calibration'],completed,,38869,14576,5009,6,0.003656307129798903,0.0,39.02
GeoRF-ABCD_2015_10_fs1,ABCD,GeoRF-ABCD,2015,10,1,4,2015-10,['calibration'],completed,,44030,14727,5009,7,0.15661103979460847,0.14709677419354839,47.42
GeoRF-ABCD_2015_10_fs2,ABCD,GeoRF-ABCD,2015,10,2,8,2015-10,['calibration'],completed,,43880,14726,5009,1,0.019310344827586208,0.019310344827586208,29.98
GeoRF-ABCD_2015_10_fs3,ABCD,GeoRF-ABCD,2015,10,3,12,2015-10,['calibration'],completed,,38870,14576,5009,9,0.0,0.0,48.76
GeoRF-ABCD_2016_02_fs1,ABCD,GeoRF-ABCD,2016,2,1,4,2016-02,"['calibration', 'selection']",completed,,39322,14727,5163,1,0.11946902654867257,0.11946902654867257,29.04
GeoRF-ABCD_2016_02_fs2,ABCD,GeoRF-ABCD,2016,2,2,8,2016-02,"['calibration', 'selection']",completed,,44030,14727,5163,1,0.0,0.0,31.08
GeoRF-ABCD_2016_02_fs3,ABCD,GeoRF-ABCD,2016,2,3,12,2016-02,"['calibration', 'selection']",completed,,43880,14726,5163,1,0.0,0.0,31.51
GeoRF-ABCD_2016_06_fs1,ABCD,GeoRF-ABCD,2016,6,1,4,2016-06,"['calibration', 'selection']",completed,,39468,14726,5162,1,0.4438549955791335,0.4438549955791335,27.9
GeoRF-ABCD_2016_06_fs2,ABCD,GeoRF-ABCD,2016,6,2,8,2016-06,"['calibration', 'selection']",completed,,39319,14726,5162,4,0.09578107183580387,0.09371428571428572,41.14
GeoRF-ABCD_2016_06_fs3,ABCD,GeoRF-ABCD,2016,6,3,12,2016-06,"['calibration', 'selection']",completed,,44028,14726,5162,1,0.0,0.0,30.45
GeoRF-ABCD_2016_10_fs1,ABCD,GeoRF-ABCD,2016,10,1,4,2016-10,"['calibration', 'selection']",completed,,39598,14866,5359,1,0.5770308123249299,0.5770308123249299,28.25
GeoRF-ABCD_2016_10_fs2,ABCD,GeoRF-ABCD,2016,10,2,8,2016-10,"['calibration', 'selection']",completed,,39444,14717,5359,1,0.1595744680851064,0.1595744680851064,28.28
GeoRF-ABCD_2016_10_fs3,ABCD,GeoRF-ABCD,2016,10,3,12,2016-10,"['calibration', 'selection']",completed,,39295,14717,5359,1,0.053130929791271354,0.053130929791271354,27.51
