name,arm,variant,year,month,forecasting_scope,horizon_months,target_month,map_roles,status,reason,real_fitting_rows,real_validation_rows,labeled_target_rows,n_terminal_partitions,f1(1),f1_base(1),seconds
GeoRF-ABCD_2016_02_fs1,ABCD,GeoRF-ABCD,2016,2,1,4,2016-02,"['calibration', 'selection']",completed,,39322,14727,5163,1,0.11946902654867257,0.11946902654867257,29.04
GeoRF-ABCD_2016_02_fs2,ABCD,GeoRF-ABCD,2016,2,2,8,2016-02,"['calibration', 'selection']",completed,,44030,14727,5163,1,0.0,0.0,31.08
GeoRF-ABCD_2016_02_fs3,ABCD,GeoRF-ABCD,2016,2,3,12,2016-02,"['calibration', 'selection']",completed,,43880,14726,5163,1,0.0,0.0,31.51
GeoRF-ABCD_2016_06_fs1,ABCD,GeoRF-ABCD,2016,6,1,4,2016-06,"['calibration', 'selection']",completed,,39468,14726,5162,1,0.4438549955791335,0.4438549955791335,27.9
GeoRF-ABCD_2016_06_fs2,ABCD,GeoRF-ABCD,2016,6,2,8,2016-06,"['calibration', 'selection']",completed,,39319,14726,5162,4,0.09578107183580387,0.09371428571428572,41.14
GeoRF-ABCD_2016_06_fs3,ABCD,GeoRF-ABCD,2016,6,3,12,2016-06,"['calibration', 'selection']",completed,,44028,14726,5162,1,0.0,0.0,30.45
GeoRF-ABCD_2016_10_fs1,ABCD,GeoRF-ABCD,2016,10,1,4,2016-10,"['calibration', 'selection']",completed,,39598,14866,5359,1,0.5770308123249299,0.5770308123249299,28.25
GeoRF-ABCD_2016_10_fs2,ABCD,GeoRF-ABCD,2016,10,2,8,2016-10,"['calibration', 'selection']",completed,,39444,14717,5359,1,0.1595744680851064,0.1595744680851064,28.28
GeoRF-ABCD_2016_10_fs3,ABCD,GeoRF-ABCD,2016,10,3,12,2016-10,"['calibration', 'selection']",completed,,39295,14717,5359,1,0.053130929791271354,0.053130929791271354,27.51
GeoRF-ABCD_2017_02_fs1,ABCD,GeoRF-ABCD,2017,2,1,4,2017-02,['selection'],completed,,39027,9876,5216,1,0.38994800693240905,0.38994800693240905,27.18
GeoRF-ABCD_2017_02_fs2,ABCD,GeoRF-ABCD,2017,2,2,8,2017-02,['selection'],completed,,39022,14578,5216,1,0.11573604060913704,0.11573604060913704,29.09
GeoRF-ABCD_2017_02_fs3,ABCD,GeoRF-ABCD,2017,2,3,12,2017-02,['selection'],completed,,38868,14573,5216,5,0.004338394793926247,0.004338394793926247,41.58
GeoRF-ABCD_2017_06_fs1,ABCD,GeoRF-ABCD,2017,6,1,4,2017-06,['selection'],completed,,40249,10164,5362,1,0.44060150375939844,0.44060150375939844,29.36
GeoRF-ABCD_2017_06_fs2,ABCD,GeoRF-ABCD,2017,6,2,8,2017-06,['selection'],completed,,39747,10164,5362,4,0.3219284603421462,0.3129151291512915,40.4
GeoRF-ABCD_2017_06_fs3,ABCD,GeoRF-ABCD,2017,6,3,12,2017-06,['selection'],completed,,39598,14866,5362,1,0.042105263157894736,0.042105263157894736,28.47
GeoRF-ABCD_2017_10_fs1,ABCD,GeoRF-ABCD,2017,10,1,4,2017-10,['selection'],completed,,40411,10363,5364,7,0.5881355932203389,0.6214511041009464,44.78
GeoRF-ABCD_2017_10_fs2,ABCD,GeoRF-ABCD,2017,10,2,8,2017-10,['selection'],completed,,40250,10164,5364,8,0.4826862539349422,0.4891774891774892,45.0
GeoRF-ABCD_2017_10_fs3,ABCD,GeoRF-ABCD,2017,10,3,12,2017-10,['selection'],completed,,39747,10164,5364,8,0.13755158184319122,0.15130674002751032,44.35
GeoRF-ABCD_2018_02_fs1,ABCD,GeoRF-ABCD,2018,2,1,4,2018-02,['selection'],completed,,35910,10365,5364,1,0.631911532385466,0.631911532385466,27.04
GeoRF-ABCD_2018_02_fs2,ABCD,GeoRF-ABCD,2018,2,2,8,2018-02,['selection'],completed,,40411,10363,5364,1,0.4911347517730496,0.4911347517730496,30.35
GeoRF-ABCD_2018_02_fs3,ABCD,GeoRF-ABCD,2018,2,3,12,2018-02,['selection'],completed,,40250,10164,5364,8,0.12303980699638119,0.13652694610778443,42.71
GeoRF-ABCD_2018_06_fs1,ABCD,GeoRF-ABCD,2018,6,1,4,2018-06,['selection'],completed,,36112,10522,5364,3,0.5397096498719044,0.5741475019825535,33.82
GeoRF-ABCD_2018_06_fs2,ABCD,GeoRF-ABCD,2018,6,2,8,2018-06,['selection'],completed,,35910,10365,5364,1,0.4722483537158984,0.4722483537158984,27.03
GeoRF-ABCD_2018_06_fs3,ABCD,GeoRF-ABCD,2018,6,3,12,2018-06,['selection'],completed,,40411,10363,5364,10,0.46214355948869223,0.43548387096774194,47.53
GeoRF-ABCD_2018_10_fs1,ABCD,GeoRF-ABCD,2018,10,1,4,2018-10,['selection'],completed,,36472,10524,5365,1,0.5164247517188694,0.5164247517188694,28.43
GeoRF-ABCD_2018_10_fs2,ABCD,GeoRF-ABCD,2018,10,2,8,2018-10,['selection'],completed,,36115,10523,5365,1,0.4416203335980937,0.4416203335980937,27.61
GeoRF-ABCD_2018_10_fs3,ABCD,GeoRF-ABCD,2018,10,3,12,2018-10,['selection'],completed,,35914,10366,5365,1,0.3933855526544822,0.3933855526544822,27.89
