name,arm,variant,year,month,forecasting_scope,horizon_months,target_month,map_roles,status,reason,real_fitting_rows,real_validation_rows,labeled_target_rows,n_terminal_partitions,f1(1),f1_base(1),seconds
GeoRF-ABCDE_2016_02_fs1,ABCDE,GeoRF-ABCDE,2016,2,1,4,2016-02,"['calibration', 'selection']",completed,,39322,14727,5163,1,0.2738336713995943,0.2738336713995943,25.2
GeoRF-ABCDE_2016_02_fs2,ABCDE,GeoRF-ABCDE,2016,2,2,8,2016-02,"['calibration', 'selection']",completed,,44030,14727,5163,1,0.009367681498829038,0.009367681498829038,29.28
GeoRF-ABCDE_2016_02_fs3,ABCDE,GeoRF-ABCDE,2016,2,3,12,2016-02,"['calibration', 'selection']",completed,,43880,14726,5163,7,0.002350176263219741,0.0,43.86
GeoRF-ABCDE_2016_06_fs1,ABCDE,GeoRF-ABCDE,2016,6,1,4,2016-06,"['calibration', 'selection']",completed,,39468,14726,5162,1,0.42085661080074493,0.42085661080074493,26.93
GeoRF-ABCDE_2016_06_fs2,ABCDE,GeoRF-ABCDE,2016,6,2,8,2016-06,"['calibration', 'selection']",completed,,39319,14726,5162,1,0.2354188759278897,0.2354188759278897,27.67
GeoRF-ABCDE_2016_06_fs3,ABCDE,GeoRF-ABCDE,2016,6,3,12,2016-06,"['calibration', 'selection']",completed,,44028,14726,5162,1,0.014336917562724014,0.014336917562724014,29.57
GeoRF-ABCDE_2016_10_fs1,ABCDE,GeoRF-ABCDE,2016,10,1,4,2016-10,"['calibration', 'selection']",completed,,39598,14866,5359,1,0.5427927927927928,0.5427927927927928,27.54
GeoRF-ABCDE_2016_10_fs2,ABCDE,GeoRF-ABCDE,2016,10,2,8,2016-10,"['calibration', 'selection']",completed,,39444,14717,5359,1,0.4300441826215023,0.4300441826215023,26.41
GeoRF-ABCDE_2016_10_fs3,ABCDE,GeoRF-ABCDE,2016,10,3,12,2016-10,"['calibration', 'selection']",completed,,39295,14717,5359,4,0.18761061946902655,0.18761061946902655,38.31
GeoRF-ABCDE_2017_02_fs1,ABCDE,GeoRF-ABCDE,2017,2,1,4,2017-02,['selection'],completed,,39027,9876,5216,4,0.23786869647954326,0.3288650580875782,37.9
GeoRF-ABCDE_2017_02_fs2,ABCDE,GeoRF-ABCDE,2017,2,2,8,2017-02,['selection'],completed,,39022,14578,5216,5,0.08884297520661158,0.04656084656084656,38.23
GeoRF-ABCDE_2017_02_fs3,ABCDE,GeoRF-ABCDE,2017,2,3,12,2017-02,['selection'],completed,,38868,14573,5216,5,0.021482277121374866,0.017222820236813777,40.32
GeoRF-ABCDE_2017_06_fs1,ABCDE,GeoRF-ABCDE,2017,6,1,4,2017-06,['selection'],completed,,40249,10164,5362,1,0.42283950617283955,0.42283950617283955,28.03
GeoRF-ABCDE_2017_06_fs2,ABCDE,GeoRF-ABCDE,2017,6,2,8,2017-06,['selection'],completed,,39747,10164,5362,10,0.3572542901716068,0.35730858468677495,44.91
GeoRF-ABCDE_2017_06_fs3,ABCDE,GeoRF-ABCDE,2017,6,3,12,2017-06,['selection'],completed,,39598,14866,5362,1,0.12511499540018398,0.12511499540018398,26.79
GeoRF-ABCDE_2017_10_fs1,ABCDE,GeoRF-ABCDE,2017,10,1,4,2017-10,['selection'],completed,,40411,10363,5364,1,0.5791433891992551,0.5791433891992551,28.69
GeoRF-ABCDE_2017_10_fs2,ABCDE,GeoRF-ABCDE,2017,10,2,8,2017-10,['selection'],completed,,40250,10164,5364,9,0.4393592677345537,0.46171171171171166,44.2
GeoRF-ABCDE_2017_10_fs3,ABCDE,GeoRF-ABCDE,2017,10,3,12,2017-10,['selection'],completed,,39747,10164,5364,1,0.3952380952380952,0.3952380952380952,26.95
GeoRF-ABCDE_2018_02_fs1,ABCDE,GeoRF-ABCDE,2018,2,1,4,2018-02,['selection'],completed,,35910,10365,5364,1,0.6242868785656072,0.6242868785656072,25.75
GeoRF-ABCDE_2018_02_fs2,ABCDE,GeoRF-ABCDE,2018,2,2,8,2018-02,['selection'],completed,,40411,10363,5364,5,0.47905282331511834,0.5035971223021583,40.89
GeoRF-ABCDE_2018_02_fs3,ABCDE,GeoRF-ABCDE,2018,2,3,12,2018-02,['selection'],completed,,40250,10164,5364,1,0.43188698284561045,0.43188698284561045,28.14
GeoRF-ABCDE_2018_06_fs1,ABCDE,GeoRF-ABCDE,2018,6,1,4,2018-06,['selection'],completed,,36112,10522,5364,1,0.5398089171974523,0.5398089171974523,26.32
GeoRF-ABCDE_2018_06_fs2,ABCDE,GeoRF-ABCDE,2018,6,2,8,2018-06,['selection'],completed,,35910,10365,5364,1,0.49087591240875916,0.49087591240875916,26.76
GeoRF-ABCDE_2018_06_fs3,ABCDE,GeoRF-ABCDE,2018,6,3,12,2018-06,['selection'],completed,,40411,10363,5364,9,0.451417004048583,0.47000000000000003,47.76
GeoRF-ABCDE_2018_10_fs1,ABCDE,GeoRF-ABCDE,2018,10,1,4,2018-10,['selection'],completed,,36472,10524,5365,1,0.5259146341463415,0.5259146341463415,28.09
GeoRF-ABCDE_2018_10_fs2,ABCDE,GeoRF-ABCDE,2018,10,2,8,2018-10,['selection'],completed,,36115,10523,5365,8,0.42495784148397975,0.4142973192526401,42.4
GeoRF-ABCDE_2018_10_fs3,ABCDE,GeoRF-ABCDE,2018,10,3,12,2018-10,['selection'],completed,,35914,10366,5365,8,0.3699731903485255,0.3767857142857143,40.5
