name,arm,variant,year,month,forecasting_scope,horizon_months,target_month,map_roles,status,reason,real_fitting_rows,real_validation_rows,labeled_target_rows,n_terminal_partitions,f1(1),f1_base(1),seconds
GeoRF-ABCE_2014_01_fs1,ABCE,GeoRF-ABCE,2014,1,1,4,2014-01,['calibration'],completed,,43732,14576,4860,1,0.05309734513274337,0.05309734513274337,26.54
GeoRF-ABCE_2014_01_fs2,ABCE,GeoRF-ABCE,2014,1,2,8,2014-01,['calibration'],completed,,43729,14576,4860,1,0.0,0.0,24.84
GeoRF-ABCE_2014_01_fs3,ABCE,GeoRF-ABCE,2014,1,3,12,2014-01,['calibration'],completed,,38867,14572,4860,1,0.06557377049180328,0.06557377049180328,22.31
GeoRF-ABCE_2014_04_fs1,ABCE,GeoRF-ABCE,2014,4,1,4,2014-04,['calibration'],completed,,43733,14578,4860,1,0.03861003861003861,0.03861003861003861,27.06
GeoRF-ABCE_2014_04_fs2,ABCE,GeoRF-ABCE,2014,4,2,8,2014-04,['calibration'],completed,,43732,14576,4860,1,0.0,0.0,25.64
GeoRF-ABCE_2014_04_fs3,ABCE,GeoRF-ABCE,2014,4,3,12,2014-04,['calibration'],completed,,38869,14576,4860,1,0.0,0.0,21.5
GeoRF-ABCE_2014_07_fs1,ABCE,GeoRF-ABCE,2014,7,1,4,2014-07,['calibration'],completed,,43735,14579,4860,1,0.006825938566552901,0.006825938566552901,27.18
GeoRF-ABCE_2014_07_fs2,ABCE,GeoRF-ABCE,2014,7,2,8,2014-07,['calibration'],completed,,43733,14578,4860,1,0.0,0.0,25.78
GeoRF-ABCE_2014_07_fs3,ABCE,GeoRF-ABCE,2014,7,3,12,2014-07,['calibration'],completed,,38872,14576,4860,1,0.0,0.0,21.5
GeoRF-ABCE_2014_10_fs1,ABCE,GeoRF-ABCE,2014,10,1,4,2014-10,['calibration'],completed,,43727,14576,5009,1,0.0053475935828877,0.0053475935828877,27.65
GeoRF-ABCE_2014_10_fs2,ABCE,GeoRF-ABCE,2014,10,2,8,2014-10,['calibration'],completed,,43726,14576,5009,1,0.0,0.0,25.82
GeoRF-ABCE_2014_10_fs3,ABCE,GeoRF-ABCE,2014,10,3,12,2014-10,['calibration'],completed,,38867,14573,5009,5,0.0,0.0,34.38
GeoRF-ABCE_2015_01_fs1,ABCE,GeoRF-ABCE,2015,1,1,4,2015-01,['calibration'],completed,,43728,14576,5009,1,0.017094017094017096,0.017094017094017096,27.01
GeoRF-ABCE_2015_01_fs2,ABCE,GeoRF-ABCE,2015,1,2,8,2015-01,['calibration'],completed,,43727,14576,5009,6,0.0,0.0,40.93
GeoRF-ABCE_2015_01_fs3,ABCE,GeoRF-ABCE,2015,1,3,12,2015-01,['calibration'],completed,,38868,14575,5009,1,0.0,0.0,22.87
GeoRF-ABCE_2015_04_fs1,ABCE,GeoRF-ABCE,2015,4,1,4,2015-04,['calibration'],completed,,43879,14576,5009,8,0.09890109890109891,0.11382113821138212,44.71
GeoRF-ABCE_2015_04_fs2,ABCE,GeoRF-ABCE,2015,4,2,8,2015-04,['calibration'],completed,,43728,14576,5009,6,0.05405405405405404,0.0544959128065395,41.57
GeoRF-ABCE_2015_04_fs3,ABCE,GeoRF-ABCE,2015,4,3,12,2015-04,['calibration'],completed,,38868,14576,5009,5,0.0,0.0,35.97
GeoRF-ABCE_2015_07_fs1,ABCE,GeoRF-ABCE,2015,7,1,4,2015-07,['calibration'],completed,,43880,14726,5009,1,0.010909090909090908,0.010909090909090908,28.63
GeoRF-ABCE_2015_07_fs2,ABCE,GeoRF-ABCE,2015,7,2,8,2015-07,['calibration'],completed,,43879,14576,5009,1,0.0736842105263158,0.0736842105263158,27.91
GeoRF-ABCE_2015_07_fs3,ABCE,GeoRF-ABCE,2015,7,3,12,2015-07,['calibration'],completed,,38869,14576,5009,1,0.0,0.0,24.67
GeoRF-ABCE_2015_10_fs1,ABCE,GeoRF-ABCE,2015,10,1,4,2015-10,['calibration'],completed,,44030,14727,5009,1,0.17974683544303796,0.17974683544303796,29.07
GeoRF-ABCE_2015_10_fs2,ABCE,GeoRF-ABCE,2015,10,2,8,2015-10,['calibration'],completed,,43880,14726,5009,6,0.019310344827586208,0.013831258644536654,42.58
GeoRF-ABCE_2015_10_fs3,ABCE,GeoRF-ABCE,2015,10,3,12,2015-10,['calibration'],completed,,38870,14576,5009,3,0.0,0.0,33.06
GeoRF-ABCE_2016_02_fs1,ABCE,GeoRF-ABCE,2016,2,1,4,2016-02,"['calibration', 'selection']",completed,,39322,14727,5163,1,0.298,0.298,26.66
GeoRF-ABCE_2016_02_fs2,ABCE,GeoRF-ABCE,2016,2,2,8,2016-02,"['calibration', 'selection']",completed,,44030,14727,5163,6,0.027809965237543456,0.023255813953488372,42.81
GeoRF-ABCE_2016_02_fs3,ABCE,GeoRF-ABCE,2016,2,3,12,2016-02,"['calibration', 'selection']",completed,,43880,14726,5163,6,0.011695906432748537,0.002350176263219741,41.84
GeoRF-ABCE_2016_06_fs1,ABCE,GeoRF-ABCE,2016,6,1,4,2016-06,"['calibration', 'selection']",completed,,39468,14726,5162,1,0.3841698841698842,0.3841698841698842,26.97
GeoRF-ABCE_2016_06_fs2,ABCE,GeoRF-ABCE,2016,6,2,8,2016-06,"['calibration', 'selection']",completed,,39319,14726,5162,5,0.15876515986769568,0.1468298109010011,39.49
GeoRF-ABCE_2016_06_fs3,ABCE,GeoRF-ABCE,2016,6,3,12,2016-06,"['calibration', 'selection']",completed,,44028,14726,5162,4,0.03076923076923077,0.014336917562724014,41.14
GeoRF-ABCE_2016_10_fs1,ABCE,GeoRF-ABCE,2016,10,1,4,2016-10,"['calibration', 'selection']",completed,,39598,14866,5359,1,0.5214521452145214,0.5214521452145214,26.75
GeoRF-ABCE_2016_10_fs2,ABCE,GeoRF-ABCE,2016,10,2,8,2016-10,"['calibration', 'selection']",completed,,39444,14717,5359,1,0.40372670807453415,0.40372670807453415,27.19
GeoRF-ABCE_2016_10_fs3,ABCE,GeoRF-ABCE,2016,10,3,12,2016-10,"['calibration', 'selection']",completed,,39295,14717,5359,4,0.06049149338374291,0.04580152671755725,38.97
