name,arm,variant,year,month,forecasting_scope,horizon_months,target_month,map_roles,status,reason,real_fitting_rows,real_validation_rows,labeled_target_rows,n_terminal_partitions,f1(1),f1_base(1),seconds
GeoRF-ABCE_2016_02_fs1,ABCE,GeoRF-ABCE,2016,2,1,4,2016-02,"['calibration', 'selection']",completed,,39322,14727,5163,1,0.298,0.298,26.66
GeoRF-ABCE_2016_02_fs2,ABCE,GeoRF-ABCE,2016,2,2,8,2016-02,"['calibration', 'selection']",completed,,44030,14727,5163,6,0.027809965237543456,0.023255813953488372,42.81
GeoRF-ABCE_2016_02_fs3,ABCE,GeoRF-ABCE,2016,2,3,12,2016-02,"['calibration', 'selection']",completed,,43880,14726,5163,6,0.011695906432748537,0.002350176263219741,41.84
GeoRF-ABCE_2016_06_fs1,ABCE,GeoRF-ABCE,2016,6,1,4,2016-06,"['calibration', 'selection']",completed,,39468,14726,5162,1,0.3841698841698842,0.3841698841698842,26.97
GeoRF-ABCE_2016_06_fs2,ABCE,GeoRF-ABCE,2016,6,2,8,2016-06,"['calibration', 'selection']",completed,,39319,14726,5162,5,0.15876515986769568,0.1468298109010011,39.49
GeoRF-ABCE_2016_06_fs3,ABCE,GeoRF-ABCE,2016,6,3,12,2016-06,"['calibration', 'selection']",completed,,44028,14726,5162,4,0.03076923076923077,0.014336917562724014,41.14
GeoRF-ABCE_2016_10_fs1,ABCE,GeoRF-ABCE,2016,10,1,4,2016-10,"['calibration', 'selection']",completed,,39598,14866,5359,1,0.5214521452145214,0.5214521452145214,26.75
GeoRF-ABCE_2016_10_fs2,ABCE,GeoRF-ABCE,2016,10,2,8,2016-10,"['calibration', 'selection']",completed,,39444,14717,5359,1,0.40372670807453415,0.40372670807453415,27.19
GeoRF-ABCE_2016_10_fs3,ABCE,GeoRF-ABCE,2016,10,3,12,2016-10,"['calibration', 'selection']",completed,,39295,14717,5359,4,0.06049149338374291,0.04580152671755725,38.97
GeoRF-ABCE_2017_02_fs1,ABCE,GeoRF-ABCE,2017,2,1,4,2017-02,['selection'],completed,,39027,9876,5216,6,0.13197969543147206,0.12040816326530614,38.71
GeoRF-ABCE_2017_02_fs2,ABCE,GeoRF-ABCE,2017,2,2,8,2017-02,['selection'],completed,,39022,14578,5216,11,0.11979695431472082,0.061052631578947365,50.9
GeoRF-ABCE_2017_02_fs3,ABCE,GeoRF-ABCE,2017,2,3,12,2017-02,['selection'],completed,,38868,14573,5216,1,0.0,0.0,26.25
GeoRF-ABCE_2017_06_fs1,ABCE,GeoRF-ABCE,2017,6,1,4,2017-06,['selection'],completed,,40249,10164,5362,1,0.35398230088495575,0.35398230088495575,28.14
GeoRF-ABCE_2017_06_fs2,ABCE,GeoRF-ABCE,2017,6,2,8,2017-06,['selection'],completed,,39747,10164,5362,7,0.33944954128440363,0.36779794790844517,43.46
GeoRF-ABCE_2017_06_fs3,ABCE,GeoRF-ABCE,2017,6,3,12,2017-06,['selection'],completed,,39598,14866,5362,1,0.136986301369863,0.136986301369863,26.49
GeoRF-ABCE_2017_10_fs1,ABCE,GeoRF-ABCE,2017,10,1,4,2017-10,['selection'],completed,,40411,10363,5364,1,0.6045340050377833,0.6045340050377833,27.93
GeoRF-ABCE_2017_10_fs2,ABCE,GeoRF-ABCE,2017,10,2,8,2017-10,['selection'],completed,,40250,10164,5364,3,0.4668192219679634,0.47683615819209035,32.59
GeoRF-ABCE_2017_10_fs3,ABCE,GeoRF-ABCE,2017,10,3,12,2017-10,['selection'],completed,,39747,10164,5364,6,0.3513513513513513,0.36341463414634145,40.76
GeoRF-ABCE_2018_02_fs1,ABCE,GeoRF-ABCE,2018,2,1,4,2018-02,['selection'],completed,,35910,10365,5364,1,0.6112956810631229,0.6112956810631229,26.06
GeoRF-ABCE_2018_02_fs2,ABCE,GeoRF-ABCE,2018,2,2,8,2018-02,['selection'],completed,,40411,10363,5364,1,0.4581328200192492,0.4581328200192492,29.6
GeoRF-ABCE_2018_02_fs3,ABCE,GeoRF-ABCE,2018,2,3,12,2018-02,['selection'],completed,,40250,10164,5364,7,0.3404710920770878,0.35143769968051114,40.02
GeoRF-ABCE_2018_06_fs1,ABCE,GeoRF-ABCE,2018,6,1,4,2018-06,['selection'],completed,,36112,10522,5364,9,0.5205930807248764,0.5910931174089069,41.74
GeoRF-ABCE_2018_06_fs2,ABCE,GeoRF-ABCE,2018,6,2,8,2018-06,['selection'],completed,,35910,10365,5364,1,0.4655984919886899,0.4655984919886899,26.64
GeoRF-ABCE_2018_06_fs3,ABCE,GeoRF-ABCE,2018,6,3,12,2018-06,['selection'],completed,,40411,10363,5364,9,0.41995841995842,0.4473953013278856,46.16
GeoRF-ABCE_2018_10_fs1,ABCE,GeoRF-ABCE,2018,10,1,4,2018-10,['selection'],completed,,36472,10524,5365,1,0.5026985350809561,0.5026985350809561,27.2
GeoRF-ABCE_2018_10_fs2,ABCE,GeoRF-ABCE,2018,10,2,8,2018-10,['selection'],completed,,36115,10523,5365,1,0.415124698310539,0.415124698310539,28.0
GeoRF-ABCE_2018_10_fs3,ABCE,GeoRF-ABCE,2018,10,3,12,2018-10,['selection'],completed,,35914,10366,5365,7,0.3785714285714286,0.40524017467248913,38.2
