name,arm,variant,year,month,forecasting_scope,horizon_months,target_month,map_roles,status,reason,real_fitting_rows,real_validation_rows,labeled_target_rows,n_terminal_partitions,f1(1),f1_base(1),seconds
GeoRF-ABDE_2014_01_fs1,ABDE,GeoRF-ABDE,2014,1,1,4,2014-01,['calibration'],completed,,43732,14576,4860,1,0.1044776119402985,0.1044776119402985,24.02
GeoRF-ABDE_2014_01_fs2,ABDE,GeoRF-ABDE,2014,1,2,8,2014-01,['calibration'],completed,,43729,14576,4860,1,0.0,0.0,22.16
GeoRF-ABDE_2014_01_fs3,ABDE,GeoRF-ABDE,2014,1,3,12,2014-01,['calibration'],completed,,38867,14572,4860,1,0.047244094488188976,0.047244094488188976,19.62
GeoRF-ABDE_2014_04_fs1,ABDE,GeoRF-ABDE,2014,4,1,4,2014-04,['calibration'],completed,,43733,14578,4860,1,0.031007751937984496,0.031007751937984496,23.36
GeoRF-ABDE_2014_04_fs2,ABDE,GeoRF-ABDE,2014,4,2,8,2014-04,['calibration'],completed,,43732,14576,4860,1,0.007782101167315175,0.007782101167315175,23.29
GeoRF-ABDE_2014_04_fs3,ABDE,GeoRF-ABDE,2014,4,3,12,2014-04,['calibration'],completed,,38869,14576,4860,1,0.0,0.0,20.61
GeoRF-ABDE_2014_07_fs1,ABDE,GeoRF-ABDE,2014,7,1,4,2014-07,['calibration'],completed,,43735,14579,4860,1,0.07894736842105263,0.07894736842105263,24.2
GeoRF-ABDE_2014_07_fs2,ABDE,GeoRF-ABDE,2014,7,2,8,2014-07,['calibration'],completed,,43733,14578,4860,1,0.0,0.0,24.35
GeoRF-ABDE_2014_07_fs3,ABDE,GeoRF-ABDE,2014,7,3,12,2014-07,['calibration'],completed,,38872,14576,4860,1,0.013422818791946308,0.013422818791946308,20.73
GeoRF-ABDE_2014_10_fs1,ABDE,GeoRF-ABDE,2014,10,1,4,2014-10,['calibration'],completed,,43727,14576,5009,1,0.031413612565445025,0.031413612565445025,24.2
GeoRF-ABDE_2014_10_fs2,ABDE,GeoRF-ABDE,2014,10,2,8,2014-10,['calibration'],completed,,43726,14576,5009,1,0.0,0.0,23.78
GeoRF-ABDE_2014_10_fs3,ABDE,GeoRF-ABDE,2014,10,3,12,2014-10,['calibration'],completed,,38867,14573,5009,1,0.0,0.0,20.43
GeoRF-ABDE_2015_01_fs1,ABDE,GeoRF-ABDE,2015,1,1,4,2015-01,['calibration'],completed,,43728,14576,5009,1,0.048,0.048,26.97
GeoRF-ABDE_2015_01_fs2,ABDE,GeoRF-ABDE,2015,1,2,8,2015-01,['calibration'],completed,,43727,14576,5009,4,0.1195219123505976,0.13438735177865613,36.4
GeoRF-ABDE_2015_01_fs3,ABDE,GeoRF-ABDE,2015,1,3,12,2015-01,['calibration'],completed,,38868,14575,5009,1,0.0,0.0,21.58
GeoRF-ABDE_2015_04_fs1,ABDE,GeoRF-ABDE,2015,4,1,4,2015-04,['calibration'],completed,,43879,14576,5009,7,0.15665796344647517,0.1794871794871795,37.64
GeoRF-ABDE_2015_04_fs2,ABDE,GeoRF-ABDE,2015,4,2,8,2015-04,['calibration'],completed,,43728,14576,5009,11,0.04931506849315069,0.0443213296398892,48.25
GeoRF-ABDE_2015_04_fs3,ABDE,GeoRF-ABDE,2015,4,3,12,2015-04,['calibration'],completed,,38868,14576,5009,1,0.005813953488372093,0.005813953488372093,22.07
GeoRF-ABDE_2015_07_fs1,ABDE,GeoRF-ABDE,2015,7,1,4,2015-07,['calibration'],completed,,43880,14726,5009,4,0.08741258741258742,0.0773286467486819,36.24
GeoRF-ABDE_2015_07_fs2,ABDE,GeoRF-ABDE,2015,7,2,8,2015-07,['calibration'],completed,,43879,14576,5009,6,0.07692307692307693,0.0632688927943761,38.42
GeoRF-ABDE_2015_07_fs3,ABDE,GeoRF-ABDE,2015,7,3,12,2015-07,['calibration'],completed,,38869,14576,5009,1,0.0,0.0,22.04
GeoRF-ABDE_2015_10_fs1,ABDE,GeoRF-ABDE,2015,10,1,4,2015-10,['calibration'],completed,,44030,14727,5009,1,0.19451371571072318,0.19451371571072318,25.24
GeoRF-ABDE_2015_10_fs2,ABDE,GeoRF-ABDE,2015,10,2,8,2015-10,['calibration'],completed,,43880,14726,5009,5,0.04092769440654843,0.03556771545827633,37.97
GeoRF-ABDE_2015_10_fs3,ABDE,GeoRF-ABDE,2015,10,3,12,2015-10,['calibration'],completed,,38870,14576,5009,1,0.0027816411682892906,0.0027816411682892906,22.66
GeoRF-ABDE_2016_02_fs1,ABDE,GeoRF-ABDE,2016,2,1,4,2016-02,"['calibration', 'selection']",completed,,39322,14727,5163,5,0.30677290836653387,0.32181638696939785,36.48
GeoRF-ABDE_2016_02_fs2,ABDE,GeoRF-ABDE,2016,2,2,8,2016-02,"['calibration', 'selection']",completed,,44030,14727,5163,6,0.07037457434733257,0.07474518686296716,39.05
