name,arm,variant,year,month,forecasting_scope,horizon_months,target_month,map_roles,status,reason,real_fitting_rows,real_validation_rows,labeled_target_rows,n_terminal_partitions,f1(1),f1_base(1),seconds
GeoRF-ABDE_2018_02_fs1,ABDE,GeoRF-ABDE,2018,2,1,4,2018-02,"['selection', 'final']",completed,,35910,10365,5364,3,0.6250999200639488,0.6459627329192548,27.33
GeoRF-ABDE_2018_02_fs2,ABDE,GeoRF-ABDE,2018,2,2,8,2018-02,"['selection', 'final']",completed,,40411,10363,5364,1,0.5177489177489177,0.5177489177489177,25.4
GeoRF-ABDE_2018_02_fs3,ABDE,GeoRF-ABDE,2018,2,3,12,2018-02,"['selection', 'final']",completed,,40250,10164,5364,6,0.3699059561128526,0.4057377049180328,37.75
GeoRF-ABDE_2018_06_fs1,ABDE,GeoRF-ABDE,2018,6,1,4,2018-06,"['selection', 'final']",completed,,36112,10522,5364,8,0.5112179487179487,0.5707831325301205,35.71
GeoRF-ABDE_2018_06_fs2,ABDE,GeoRF-ABDE,2018,6,2,8,2018-06,"['selection', 'final']",completed,,35910,10365,5364,1,0.46641791044776115,0.46641791044776115,24.54
GeoRF-ABDE_2018_06_fs3,ABDE,GeoRF-ABDE,2018,6,3,12,2018-06,"['selection', 'final']",completed,,40411,10363,5364,1,0.49592760180995477,0.49592760180995477,24.51
GeoRF-ABDE_2018_10_fs1,ABDE,GeoRF-ABDE,2018,10,1,4,2018-10,"['selection', 'final']",completed,,36472,10524,5365,1,0.5253595760787283,0.5253595760787283,24.47
GeoRF-ABDE_2018_10_fs2,ABDE,GeoRF-ABDE,2018,10,2,8,2018-10,"['selection', 'final']",completed,,36115,10523,5365,1,0.4250200481154771,0.4250200481154771,23.15
GeoRF-ABDE_2018_10_fs3,ABDE,GeoRF-ABDE,2018,10,3,12,2018-10,"['selection', 'final']",completed,,35914,10366,5365,1,0.38972542072630645,0.38972542072630645,23.02
GeoRF-ABDE_2019_02_fs1,ABDE,GeoRF-ABDE,2019,2,1,4,2019-02,['final'],completed,,31626,10722,5365,1,0.5853658536585367,0.5853658536585367,27.9
GeoRF-ABDE_2019_02_fs2,ABDE,GeoRF-ABDE,2019,2,2,8,2019-02,['final'],completed,,36472,10524,5365,4,0.4392220421393841,0.47882986913010006,34.85
GeoRF-ABDE_2019_02_fs3,ABDE,GeoRF-ABDE,2019,2,3,12,2019-02,['final'],completed,,36115,10523,5365,1,0.46237393328161364,0.46237393328161364,24.2
GeoRF-ABDE_2019_06_fs1,ABDE,GeoRF-ABDE,2019,6,1,4,2019-06,['final'],completed,,31829,10724,5365,1,0.5295214418893723,0.5295214418893723,21.78
GeoRF-ABDE_2019_06_fs2,ABDE,GeoRF-ABDE,2019,6,2,8,2019-06,['final'],completed,,31626,10722,5365,1,0.4248145650708024,0.4248145650708024,25.33
GeoRF-ABDE_2019_06_fs3,ABDE,GeoRF-ABDE,2019,6,3,12,2019-06,['final'],completed,,36472,10524,5365,6,0.3841247342310418,0.39581881533101043,40.39
GeoRF-ABDE_2019_10_fs1,ABDE,GeoRF-ABDE,2019,10,1,4,2019-10,['final'],completed,,32031,10728,5365,1,0.5415415415415415,0.5415415415415415,22.71
GeoRF-ABDE_2019_10_fs2,ABDE,GeoRF-ABDE,2019,10,2,8,2019-10,['final'],completed,,31829,10724,5365,1,0.4100761570005858,0.4100761570005858,23.26
GeoRF-ABDE_2019_10_fs3,ABDE,GeoRF-ABDE,2019,10,3,12,2019-10,['final'],completed,,31626,10722,5365,1,0.35963302752293574,0.35963302752293574,23.32
GeoRF-ABDE_2020_02_fs1,ABDE,GeoRF-ABDE,2020,2,1,4,2020-02,['final'],completed,,32036,10729,5506,1,0.5291060291060292,0.5291060291060292,46.64
GeoRF-ABDE_2020_02_fs2,ABDE,GeoRF-ABDE,2020,2,2,8,2020-02,['final'],completed,,32031,10728,5506,1,0.45303867403314924,0.45303867403314924,30.74
GeoRF-ABDE_2020_02_fs3,ABDE,GeoRF-ABDE,2020,2,3,12,2020-02,['final'],completed,,31829,10724,5506,1,0.5345957756737072,0.5345957756737072,21.93
GeoRF-ABDE_2020_06_fs1,ABDE,GeoRF-ABDE,2020,6,1,4,2020-06,['final'],completed,,32185,10729,5506,1,0.6527050610820244,0.6527050610820244,21.45
GeoRF-ABDE_2020_06_fs2,ABDE,GeoRF-ABDE,2020,6,2,8,2020-06,['final'],completed,,32036,10729,5506,1,0.49902786779001934,0.49902786779001934,22.46
GeoRF-ABDE_2020_06_fs3,ABDE,GeoRF-ABDE,2020,6,3,12,2020-06,['final'],completed,,32031,10728,5506,1,0.49733333333333335,0.49733333333333335,21.71
GeoRF-ABDE_2020_10_fs1,ABDE,GeoRF-ABDE,2020,10,1,4,2020-10,['final'],completed,,31855,10571,5427,1,0.570054945054945,0.570054945054945,21.62
GeoRF-ABDE_2020_10_fs2,ABDE,GeoRF-ABDE,2020,10,2,8,2020-10,['final'],completed,,31711,10571,5427,1,0.4532019704433498,0.4532019704433498,23.77
GeoRF-ABDE_2020_10_fs3,ABDE,GeoRF-ABDE,2020,10,3,12,2020-10,['final'],completed,,31562,10571,5427,1,0.46561723280861644,0.46561723280861644,35.58
