name,arm,variant,year,month,forecasting_scope,horizon_months,target_month,map_roles,status,reason,real_fitting_rows,real_validation_rows,labeled_target_rows,n_terminal_partitions,f1(1),f1_base(1),seconds
GeoRF-ABDE_2016_02_fs1,ABDE,GeoRF-ABDE,2016,2,1,4,2016-02,"['calibration', 'selection']",completed,,39322,14727,5163,5,0.30677290836653387,0.32181638696939785,36.48
GeoRF-ABDE_2016_02_fs2,ABDE,GeoRF-ABDE,2016,2,2,8,2016-02,"['calibration', 'selection']",completed,,44030,14727,5163,6,0.07037457434733257,0.07474518686296716,39.05
GeoRF-ABDE_2016_02_fs3,ABDE,GeoRF-ABDE,2016,2,3,12,2016-02,"['calibration', 'selection']",completed,,43880,14726,5163,5,0.002350176263219741,0.0,37.46
GeoRF-ABDE_2016_06_fs1,ABDE,GeoRF-ABDE,2016,6,1,4,2016-06,"['calibration', 'selection']",completed,,39468,14726,5162,1,0.4011194029850746,0.4011194029850746,24.29
GeoRF-ABDE_2016_06_fs2,ABDE,GeoRF-ABDE,2016,6,2,8,2016-06,"['calibration', 'selection']",completed,,39319,14726,5162,1,0.33300099700897307,0.33300099700897307,23.65
GeoRF-ABDE_2016_06_fs3,ABDE,GeoRF-ABDE,2016,6,3,12,2016-06,"['calibration', 'selection']",completed,,44028,14726,5162,1,0.09839816933638444,0.09839816933638444,25.54
GeoRF-ABDE_2016_10_fs1,ABDE,GeoRF-ABDE,2016,10,1,4,2016-10,"['calibration', 'selection']",completed,,39598,14866,5359,6,0.5727069351230425,0.544611819235226,35.84
GeoRF-ABDE_2016_10_fs2,ABDE,GeoRF-ABDE,2016,10,2,8,2016-10,"['calibration', 'selection']",completed,,39444,14717,5359,1,0.4742268041237113,0.4742268041237113,24.05
GeoRF-ABDE_2016_10_fs3,ABDE,GeoRF-ABDE,2016,10,3,12,2016-10,"['calibration', 'selection']",completed,,39295,14717,5359,4,0.21217391304347827,0.21527777777777782,35.06
GeoRF-ABDE_2017_02_fs1,ABDE,GeoRF-ABDE,2017,2,1,4,2017-02,['selection'],completed,,39027,9876,5216,5,0.2759259259259259,0.34103019538188273,36.02
GeoRF-ABDE_2017_02_fs2,ABDE,GeoRF-ABDE,2017,2,2,8,2017-02,['selection'],completed,,39022,14578,5216,8,0.18040737148399613,0.15674603174603174,44.48
GeoRF-ABDE_2017_02_fs3,ABDE,GeoRF-ABDE,2017,2,3,12,2017-02,['selection'],completed,,38868,14573,5216,2,0.044585987261146494,0.04250797024442083,35.69
GeoRF-ABDE_2017_06_fs1,ABDE,GeoRF-ABDE,2017,6,1,4,2017-06,['selection'],completed,,40249,10164,5362,1,0.4361702127659574,0.4361702127659574,25.97
GeoRF-ABDE_2017_06_fs2,ABDE,GeoRF-ABDE,2017,6,2,8,2017-06,['selection'],completed,,39747,10164,5362,6,0.35427706283118854,0.3520227111426544,36.03
GeoRF-ABDE_2017_06_fs3,ABDE,GeoRF-ABDE,2017,6,3,12,2017-06,['selection'],completed,,39598,14866,5362,1,0.21503496503496503,0.21503496503496503,25.05
GeoRF-ABDE_2017_10_fs1,ABDE,GeoRF-ABDE,2017,10,1,4,2017-10,['selection'],completed,,40411,10363,5364,1,0.5668534827862289,0.5668534827862289,25.12
GeoRF-ABDE_2017_10_fs2,ABDE,GeoRF-ABDE,2017,10,2,8,2017-10,['selection'],completed,,40250,10164,5364,1,0.4739039665970772,0.4739039665970772,25.34
GeoRF-ABDE_2017_10_fs3,ABDE,GeoRF-ABDE,2017,10,3,12,2017-10,['selection'],completed,,39747,10164,5364,4,0.4401805869074492,0.45930880713489414,34.36
GeoRF-ABDE_2018_02_fs1,ABDE,GeoRF-ABDE,2018,2,1,4,2018-02,['selection'],completed,,35910,10365,5364,3,0.6250999200639488,0.6459627329192548,27.33
GeoRF-ABDE_2018_02_fs2,ABDE,GeoRF-ABDE,2018,2,2,8,2018-02,['selection'],completed,,40411,10363,5364,1,0.5177489177489177,0.5177489177489177,25.4
GeoRF-ABDE_2018_02_fs3,ABDE,GeoRF-ABDE,2018,2,3,12,2018-02,['selection'],completed,,40250,10164,5364,6,0.3699059561128526,0.4057377049180328,37.75
GeoRF-ABDE_2018_06_fs1,ABDE,GeoRF-ABDE,2018,6,1,4,2018-06,['selection'],completed,,36112,10522,5364,8,0.5112179487179487,0.5707831325301205,35.71
GeoRF-ABDE_2018_06_fs2,ABDE,GeoRF-ABDE,2018,6,2,8,2018-06,['selection'],completed,,35910,10365,5364,1,0.46641791044776115,0.46641791044776115,24.54
GeoRF-ABDE_2018_06_fs3,ABDE,GeoRF-ABDE,2018,6,3,12,2018-06,['selection'],completed,,40411,10363,5364,1,0.49592760180995477,0.49592760180995477,24.51
GeoRF-ABDE_2018_10_fs1,ABDE,GeoRF-ABDE,2018,10,1,4,2018-10,['selection'],completed,,36472,10524,5365,1,0.5253595760787283,0.5253595760787283,24.47
GeoRF-ABDE_2018_10_fs2,ABDE,GeoRF-ABDE,2018,10,2,8,2018-10,['selection'],completed,,36115,10523,5365,1,0.4250200481154771,0.4250200481154771,23.15
GeoRF-ABDE_2018_10_fs3,ABDE,GeoRF-ABDE,2018,10,3,12,2018-10,['selection'],completed,,35914,10366,5365,1,0.38972542072630645,0.38972542072630645,23.02
