name,arm,variant,year,month,forecasting_scope,horizon_months,target_month,map_roles,status,reason,real_fitting_rows,real_validation_rows,labeled_target_rows,n_terminal_partitions,f1(1),f1_base(1),seconds
GeoRF-ACDE_2016_02_fs1,ACDE,GeoRF-ACDE,2016,2,1,4,2016-02,"['calibration', 'selection']",completed,,39322,14727,5163,4,0.3201581027667984,0.3280943025540275,30.37
GeoRF-ACDE_2016_02_fs2,ACDE,GeoRF-ACDE,2016,2,2,8,2016-02,"['calibration', 'selection']",completed,,44030,14727,5163,4,0.034682080924855495,0.027842227378190258,32.89
GeoRF-ACDE_2016_02_fs3,ACDE,GeoRF-ACDE,2016,2,3,12,2016-02,"['calibration', 'selection']",completed,,43880,14726,5163,6,0.011695906432748537,0.007033997655334115,34.69
GeoRF-ACDE_2016_06_fs1,ACDE,GeoRF-ACDE,2016,6,1,4,2016-06,"['calibration', 'selection']",completed,,39468,14726,5162,1,0.448087431693989,0.448087431693989,20.99
GeoRF-ACDE_2016_06_fs2,ACDE,GeoRF-ACDE,2016,6,2,8,2016-06,"['calibration', 'selection']",completed,,39319,14726,5162,1,0.3257650542941757,0.3257650542941757,20.88
GeoRF-ACDE_2016_06_fs3,ACDE,GeoRF-ACDE,2016,6,3,12,2016-06,"['calibration', 'selection']",completed,,44028,14726,5162,5,0.0,0.0,35.52
GeoRF-ACDE_2016_10_fs1,ACDE,GeoRF-ACDE,2016,10,1,4,2016-10,"['calibration', 'selection']",completed,,39598,14866,5359,1,0.5470085470085471,0.5470085470085471,20.89
GeoRF-ACDE_2016_10_fs2,ACDE,GeoRF-ACDE,2016,10,2,8,2016-10,"['calibration', 'selection']",completed,,39444,14717,5359,1,0.4978902953586498,0.4978902953586498,20.76
GeoRF-ACDE_2016_10_fs3,ACDE,GeoRF-ACDE,2016,10,3,12,2016-10,"['calibration', 'selection']",completed,,39295,14717,5359,1,0.3694267515923567,0.3694267515923567,21.49
GeoRF-ACDE_2017_02_fs1,ACDE,GeoRF-ACDE,2017,2,1,4,2017-02,['selection'],completed,,39027,9876,5216,5,0.20038910505836577,0.3330380868024801,32.16
GeoRF-ACDE_2017_02_fs2,ACDE,GeoRF-ACDE,2017,2,2,8,2017-02,['selection'],completed,,39022,14578,5216,9,0.13160518444666003,0.1337325349301397,35.18
GeoRF-ACDE_2017_02_fs3,ACDE,GeoRF-ACDE,2017,2,3,12,2017-02,['selection'],completed,,38868,14573,5216,2,0.0151024811218986,0.02363050483351235,24.57
GeoRF-ACDE_2017_06_fs1,ACDE,GeoRF-ACDE,2017,6,1,4,2017-06,['selection'],completed,,40249,10164,5362,1,0.3826771653543307,0.3826771653543307,22.35
GeoRF-ACDE_2017_06_fs2,ACDE,GeoRF-ACDE,2017,6,2,8,2017-06,['selection'],completed,,39747,10164,5362,6,0.3445575567736883,0.3639240506329114,32.05
GeoRF-ACDE_2017_06_fs3,ACDE,GeoRF-ACDE,2017,6,3,12,2017-06,['selection'],completed,,39598,14866,5362,1,0.26064735945485523,0.26064735945485523,21.59
GeoRF-ACDE_2017_10_fs1,ACDE,GeoRF-ACDE,2017,10,1,4,2017-10,['selection'],completed,,40411,10363,5364,1,0.6110590440487348,0.6110590440487348,21.7
GeoRF-ACDE_2017_10_fs2,ACDE,GeoRF-ACDE,2017,10,2,8,2017-10,['selection'],completed,,40250,10164,5364,1,0.47446083995459704,0.47446083995459704,22.04
GeoRF-ACDE_2017_10_fs3,ACDE,GeoRF-ACDE,2017,10,3,12,2017-10,['selection'],completed,,39747,10164,5364,1,0.42907385697538103,0.42907385697538103,21.39
GeoRF-ACDE_2018_02_fs1,ACDE,GeoRF-ACDE,2018,2,1,4,2018-02,['selection'],completed,,35910,10365,5364,1,0.6094920899250624,0.6094920899250624,20.91
GeoRF-ACDE_2018_02_fs2,ACDE,GeoRF-ACDE,2018,2,2,8,2018-02,['selection'],completed,,40411,10363,5364,7,0.45557655954631376,0.4597478176527643,34.35
GeoRF-ACDE_2018_02_fs3,ACDE,GeoRF-ACDE,2018,2,3,12,2018-02,['selection'],completed,,40250,10164,5364,1,0.4353059177532598,0.4353059177532598,21.72
GeoRF-ACDE_2018_06_fs1,ACDE,GeoRF-ACDE,2018,6,1,4,2018-06,['selection'],completed,,36112,10522,5364,1,0.5895865237366004,0.5895865237366004,20.14
GeoRF-ACDE_2018_06_fs2,ACDE,GeoRF-ACDE,2018,6,2,8,2018-06,['selection'],completed,,35910,10365,5364,1,0.4697986577181208,0.4697986577181208,20.46
GeoRF-ACDE_2018_06_fs3,ACDE,GeoRF-ACDE,2018,6,3,12,2018-06,['selection'],completed,,40411,10363,5364,11,0.4261954261954262,0.45714285714285713,37.54
GeoRF-ACDE_2018_10_fs1,ACDE,GeoRF-ACDE,2018,10,1,4,2018-10,['selection'],completed,,36472,10524,5365,1,0.5270373191165271,0.5270373191165271,21.54
GeoRF-ACDE_2018_10_fs2,ACDE,GeoRF-ACDE,2018,10,2,8,2018-10,['selection'],completed,,36115,10523,5365,1,0.45468998410174877,0.45468998410174877,20.69
GeoRF-ACDE_2018_10_fs3,ACDE,GeoRF-ACDE,2018,10,3,12,2018-10,['selection'],completed,,35914,10366,5365,1,0.38972542072630645,0.38972542072630645,20.0
