name,arm,variant,year,month,forecasting_scope,horizon_months,target_month,map_roles,status,reason,real_fitting_rows,real_validation_rows,labeled_target_rows,n_terminal_partitions,f1(1),f1_base(1),seconds
GeoRF-BASE_2014_01_fs1,BASE,GeoRF-BASE,2014,1,1,4,2014-01,['calibration'],completed,,43732,14576,4860,6,0.08130081300813008,0.08130081300813008,27.85
GeoRF-BASE_2014_01_fs2,BASE,GeoRF-BASE,2014,1,2,8,2014-01,['calibration'],completed,,43729,14576,4860,1,0.053691275167785234,0.053691275167785234,18.8
GeoRF-BASE_2014_01_fs3,BASE,GeoRF-BASE,2014,1,3,12,2014-01,['calibration'],completed,,38867,14572,4860,1,0.08178438661710037,0.08178438661710037,16.42
GeoRF-BASE_2014_04_fs1,BASE,GeoRF-BASE,2014,4,1,4,2014-04,['calibration'],completed,,43733,14578,4860,7,0.07518796992481204,0.05363984674329502,36.33
GeoRF-BASE_2014_04_fs2,BASE,GeoRF-BASE,2014,4,2,8,2014-04,['calibration'],completed,,43732,14576,4860,1,0.030534351145038167,0.030534351145038167,17.8
GeoRF-BASE_2014_04_fs3,BASE,GeoRF-BASE,2014,4,3,12,2014-04,['calibration'],completed,,38869,14576,4860,2,0.08414239482200647,0.08441558441558442,19.65
GeoRF-BASE_2014_07_fs1,BASE,GeoRF-BASE,2014,7,1,4,2014-07,['calibration'],completed,,43735,14579,4860,6,0.046822742474916385,0.02702702702702703,30.96
GeoRF-BASE_2014_07_fs2,BASE,GeoRF-BASE,2014,7,2,8,2014-07,['calibration'],completed,,43733,14578,4860,1,0.006825938566552901,0.006825938566552901,18.91
GeoRF-BASE_2014_07_fs3,BASE,GeoRF-BASE,2014,7,3,12,2014-07,['calibration'],completed,,38872,14576,4860,1,0.050314465408805034,0.050314465408805034,16.05
GeoRF-BASE_2014_10_fs1,BASE,GeoRF-BASE,2014,10,1,4,2014-10,['calibration'],completed,,43727,14576,5009,1,0.015789473684210527,0.015789473684210527,18.63
GeoRF-BASE_2014_10_fs2,BASE,GeoRF-BASE,2014,10,2,8,2014-10,['calibration'],completed,,43726,14576,5009,6,0.026385224274406333,0.0,29.37
GeoRF-BASE_2014_10_fs3,BASE,GeoRF-BASE,2014,10,3,12,2014-10,['calibration'],completed,,38867,14573,5009,1,0.02624671916010499,0.02624671916010499,16.1
GeoRF-BASE_2015_01_fs1,BASE,GeoRF-BASE,2015,1,1,4,2015-01,['calibration'],completed,,43728,14576,5009,4,0.026086956521739132,0.008771929824561403,26.7
GeoRF-BASE_2015_01_fs2,BASE,GeoRF-BASE,2015,1,2,8,2015-01,['calibration'],completed,,43727,14576,5009,6,0.008583690987124463,0.0,30.29
GeoRF-BASE_2015_01_fs3,BASE,GeoRF-BASE,2015,1,3,12,2015-01,['calibration'],completed,,38868,14575,5009,1,0.0,0.0,16.46
GeoRF-BASE_2015_04_fs1,BASE,GeoRF-BASE,2015,4,1,4,2015-04,['calibration'],completed,,43879,14576,5009,10,0.47950819672131156,0.47478991596638653,36.44
GeoRF-BASE_2015_04_fs2,BASE,GeoRF-BASE,2015,4,2,8,2015-04,['calibration'],completed,,43728,14576,5009,9,0.08923884514435697,0.028328611898016994,38.4
GeoRF-BASE_2015_04_fs3,BASE,GeoRF-BASE,2015,4,3,12,2015-04,['calibration'],completed,,38868,14576,5009,1,0.0,0.0,15.94
GeoRF-BASE_2015_07_fs1,BASE,GeoRF-BASE,2015,7,1,4,2015-07,['calibration'],completed,,43880,14726,5009,8,0.21859706362153342,0.17391304347826086,35.82
GeoRF-BASE_2015_07_fs2,BASE,GeoRF-BASE,2015,7,2,8,2015-07,['calibration'],completed,,43879,14576,5009,4,0.4050991501416431,0.4,26.5
GeoRF-BASE_2015_07_fs3,BASE,GeoRF-BASE,2015,7,3,12,2015-07,['calibration'],completed,,38869,14576,5009,1,0.007233273056057866,0.007233273056057866,16.33
GeoRF-BASE_2015_10_fs1,BASE,GeoRF-BASE,2015,10,1,4,2015-10,['calibration'],completed,,44030,14727,5009,1,0.1774397972116603,0.1774397972116603,18.46
GeoRF-BASE_2015_10_fs2,BASE,GeoRF-BASE,2015,10,2,8,2015-10,['calibration'],completed,,43880,14726,5009,6,0.181360201511335,0.1679389312977099,30.25
GeoRF-BASE_2015_10_fs3,BASE,GeoRF-BASE,2015,10,3,12,2015-10,['calibration'],completed,,38870,14576,5009,3,0.042328042328042326,0.029689608636977054,24.5
GeoRF-BASE_2016_02_fs1,BASE,GeoRF-BASE,2016,2,1,4,2016-02,"['calibration', 'selection']",completed,,39322,14727,5163,4,0.3231527093596059,0.3115079365079365,27.81
GeoRF-BASE_2016_02_fs2,BASE,GeoRF-BASE,2016,2,2,8,2016-02,"['calibration', 'selection']",completed,,44030,14727,5163,3,0.22580645161290325,0.22177009155645983,27.5
GeoRF-BASE_2016_02_fs3,BASE,GeoRF-BASE,2016,2,3,12,2016-02,"['calibration', 'selection']",completed,,43880,14726,5163,6,0.1400437636761488,0.11738648947951275,34.83
GeoRF-BASE_2016_06_fs1,BASE,GeoRF-BASE,2016,6,1,4,2016-06,"['calibration', 'selection']",completed,,39468,14726,5162,4,0.3804347826086957,0.3777372262773722,31.58
GeoRF-BASE_2016_06_fs2,BASE,GeoRF-BASE,2016,6,2,8,2016-06,"['calibration', 'selection']",completed,,39319,14726,5162,3,0.2520833333333334,0.21914893617021275,27.49
GeoRF-BASE_2016_06_fs3,BASE,GeoRF-BASE,2016,6,3,12,2016-06,"['calibration', 'selection']",completed,,44028,14726,5162,4,0.2405857740585774,0.25496342737722044,30.47
GeoRF-BASE_2016_10_fs1,BASE,GeoRF-BASE,2016,10,1,4,2016-10,"['calibration', 'selection']",completed,,39598,14866,5359,7,0.4692307692307692,0.48284625158831007,31.03
GeoRF-BASE_2016_10_fs2,BASE,GeoRF-BASE,2016,10,2,8,2016-10,"['calibration', 'selection']",completed,,39444,14717,5359,1,0.29357798165137616,0.29357798165137616,18.14
GeoRF-BASE_2016_10_fs3,BASE,GeoRF-BASE,2016,10,3,12,2016-10,"['calibration', 'selection']",completed,,39295,14717,5359,6,0.365625,0.3518225039619651,31.74
