name,arm,variant,year,month,forecasting_scope,horizon_months,target_month,map_roles,status,reason,real_fitting_rows,real_validation_rows,labeled_target_rows,n_terminal_partitions,f1(1),f1_base(1),seconds
GeoRF-BASE_2016_02_fs1,BASE,GeoRF-BASE,2016,2,1,4,2016-02,"['calibration', 'selection']",completed,,39322,14727,5163,4,0.3231527093596059,0.3115079365079365,27.81
GeoRF-BASE_2016_02_fs2,BASE,GeoRF-BASE,2016,2,2,8,2016-02,"['calibration', 'selection']",completed,,44030,14727,5163,3,0.22580645161290325,0.22177009155645983,27.5
GeoRF-BASE_2016_02_fs3,BASE,GeoRF-BASE,2016,2,3,12,2016-02,"['calibration', 'selection']",completed,,43880,14726,5163,6,0.1400437636761488,0.11738648947951275,34.83
GeoRF-BASE_2016_06_fs1,BASE,GeoRF-BASE,2016,6,1,4,2016-06,"['calibration', 'selection']",completed,,39468,14726,5162,4,0.3804347826086957,0.3777372262773722,31.58
GeoRF-BASE_2016_06_fs2,BASE,GeoRF-BASE,2016,6,2,8,2016-06,"['calibration', 'selection']",completed,,39319,14726,5162,3,0.2520833333333334,0.21914893617021275,27.49
GeoRF-BASE_2016_06_fs3,BASE,GeoRF-BASE,2016,6,3,12,2016-06,"['calibration', 'selection']",completed,,44028,14726,5162,4,0.2405857740585774,0.25496342737722044,30.47
GeoRF-BASE_2016_10_fs1,BASE,GeoRF-BASE,2016,10,1,4,2016-10,"['calibration', 'selection']",completed,,39598,14866,5359,7,0.4692307692307692,0.48284625158831007,31.03
GeoRF-BASE_2016_10_fs2,BASE,GeoRF-BASE,2016,10,2,8,2016-10,"['calibration', 'selection']",completed,,39444,14717,5359,1,0.29357798165137616,0.29357798165137616,18.14
GeoRF-BASE_2016_10_fs3,BASE,GeoRF-BASE,2016,10,3,12,2016-10,"['calibration', 'selection']",completed,,39295,14717,5359,6,0.365625,0.3518225039619651,31.74
GeoRF-BASE_2017_02_fs1,BASE,GeoRF-BASE,2017,2,1,4,2017-02,['selection'],completed,,39027,9876,5216,6,0.14697120158887786,0.14143426294820716,33.39
GeoRF-BASE_2017_02_fs2,BASE,GeoRF-BASE,2017,2,2,8,2017-02,['selection'],completed,,39022,14578,5216,7,0.174573055028463,0.1358267716535433,31.75
GeoRF-BASE_2017_02_fs3,BASE,GeoRF-BASE,2017,2,3,12,2017-02,['selection'],completed,,38868,14573,5216,1,0.019148936170212766,0.019148936170212766,18.66
GeoRF-BASE_2017_06_fs1,BASE,GeoRF-BASE,2017,6,1,4,2017-06,['selection'],completed,,40249,10164,5362,5,0.32845528455284545,0.3300813008130081,28.1
GeoRF-BASE_2017_06_fs2,BASE,GeoRF-BASE,2017,6,2,8,2017-06,['selection'],completed,,39747,10164,5362,8,0.35137138621200886,0.3525925925925926,35.83
GeoRF-BASE_2017_06_fs3,BASE,GeoRF-BASE,2017,6,3,12,2017-06,['selection'],completed,,39598,14866,5362,8,0.2700080840743735,0.26865671641791045,30.54
GeoRF-BASE_2017_10_fs1,BASE,GeoRF-BASE,2017,10,1,4,2017-10,['selection'],completed,,40411,10363,5364,7,0.44400785854616903,0.46309403437815977,35.23
GeoRF-BASE_2017_10_fs2,BASE,GeoRF-BASE,2017,10,2,8,2017-10,['selection'],completed,,40250,10164,5364,7,0.40238095238095234,0.4,29.87
GeoRF-BASE_2017_10_fs3,BASE,GeoRF-BASE,2017,10,3,12,2017-10,['selection'],completed,,39747,10164,5364,5,0.374650512581547,0.3826247689463956,28.77
GeoRF-BASE_2018_02_fs1,BASE,GeoRF-BASE,2018,2,1,4,2018-02,['selection'],completed,,35910,10365,5364,7,0.5103448275862068,0.5280414150129422,27.74
GeoRF-BASE_2018_02_fs2,BASE,GeoRF-BASE,2018,2,2,8,2018-02,['selection'],completed,,40411,10363,5364,7,0.4420677361853832,0.44858156028368795,29.78
GeoRF-BASE_2018_02_fs3,BASE,GeoRF-BASE,2018,2,3,12,2018-02,['selection'],completed,,40250,10164,5364,4,0.36763236763236756,0.35654008438818563,27.4
GeoRF-BASE_2018_06_fs1,BASE,GeoRF-BASE,2018,6,1,4,2018-06,['selection'],completed,,36112,10522,5364,7,0.5222707423580786,0.4673231871083259,28.37
GeoRF-BASE_2018_06_fs2,BASE,GeoRF-BASE,2018,6,2,8,2018-06,['selection'],completed,,35910,10365,5364,6,0.41851851851851857,0.4263494967978042,31.76
GeoRF-BASE_2018_06_fs3,BASE,GeoRF-BASE,2018,6,3,12,2018-06,['selection'],completed,,40411,10363,5364,8,0.40651801029159523,0.41977611940298504,33.69
GeoRF-BASE_2018_10_fs1,BASE,GeoRF-BASE,2018,10,1,4,2018-10,['selection'],completed,,36472,10524,5365,7,0.45012366034624895,0.4465558194774347,30.95
GeoRF-BASE_2018_10_fs2,BASE,GeoRF-BASE,2018,10,2,8,2018-10,['selection'],completed,,36115,10523,5365,1,0.3873649210307564,0.3873649210307564,18.0
GeoRF-BASE_2018_10_fs3,BASE,GeoRF-BASE,2018,10,3,12,2018-10,['selection'],completed,,35914,10366,5365,7,0.3823293172690763,0.35738831615120276,30.87
