name,arm,variant,year,month,forecasting_scope,horizon_months,target_month,map_roles,status,reason,real_fitting_rows,real_validation_rows,labeled_target_rows,n_terminal_partitions,f1(1),f1_base(1),seconds
GeoRF-BCDE_2016_02_fs1,BCDE,GeoRF-BCDE,2016,2,1,4,2016-02,"['calibration', 'selection']",completed,,39322,14727,5163,7,0.048220436280137766,0.023255813953488372,43.12
GeoRF-BCDE_2016_02_fs2,BCDE,GeoRF-BCDE,2016,2,2,8,2016-02,"['calibration', 'selection']",completed,,44030,14727,5163,5,0.05714285714285714,0.04597701149425287,43.85
GeoRF-BCDE_2016_02_fs3,BCDE,GeoRF-BCDE,2016,2,3,12,2016-02,"['calibration', 'selection']",completed,,43880,14726,5163,7,0.007033997655334115,0.0,43.71
GeoRF-BCDE_2016_06_fs1,BCDE,GeoRF-BCDE,2016,6,1,4,2016-06,"['calibration', 'selection']",completed,,39468,14726,5162,5,0.22340425531914893,0.22790202342918,41.77
GeoRF-BCDE_2016_06_fs2,BCDE,GeoRF-BCDE,2016,6,2,8,2016-06,"['calibration', 'selection']",completed,,39319,14726,5162,6,0.03541912632821723,0.0,42.43
GeoRF-BCDE_2016_06_fs3,BCDE,GeoRF-BCDE,2016,6,3,12,2016-06,"['calibration', 'selection']",completed,,44028,14726,5162,7,0.08073817762399077,0.08083140877598152,43.15
GeoRF-BCDE_2016_10_fs1,BCDE,GeoRF-BCDE,2016,10,1,4,2016-10,"['calibration', 'selection']",completed,,39598,14866,5359,6,0.39191290824261277,0.396875,41.03
GeoRF-BCDE_2016_10_fs2,BCDE,GeoRF-BCDE,2016,10,2,8,2016-10,"['calibration', 'selection']",completed,,39444,14717,5359,5,0.2630691399662732,0.14492753623188406,41.87
GeoRF-BCDE_2016_10_fs3,BCDE,GeoRF-BCDE,2016,10,3,12,2016-10,"['calibration', 'selection']",completed,,39295,14717,5359,5,0.04580152671755725,0.04580152671755725,40.41
GeoRF-BCDE_2017_02_fs1,BCDE,GeoRF-BCDE,2017,2,1,4,2017-02,['selection'],completed,,39027,9876,5216,3,0.017204301075268817,0.008658008658008658,36.94
GeoRF-BCDE_2017_02_fs2,BCDE,GeoRF-BCDE,2017,2,2,8,2017-02,['selection'],completed,,39022,14578,5216,9,0.012931034482758619,0.002171552660152009,47.15
GeoRF-BCDE_2017_02_fs3,BCDE,GeoRF-BCDE,2017,2,3,12,2017-02,['selection'],completed,,38868,14573,5216,7,0.008639308855291577,0.0,41.85
GeoRF-BCDE_2017_06_fs1,BCDE,GeoRF-BCDE,2017,6,1,4,2017-06,['selection'],completed,,40249,10164,5362,5,0.2631578947368421,0.2675698560541913,42.28
GeoRF-BCDE_2017_06_fs2,BCDE,GeoRF-BCDE,2017,6,2,8,2017-06,['selection'],completed,,39747,10164,5362,7,0.2495755517826825,0.24315068493150685,41.54
GeoRF-BCDE_2017_06_fs3,BCDE,GeoRF-BCDE,2017,6,3,12,2017-06,['selection'],completed,,39598,14866,5362,7,0.005870841487279843,0.005870841487279843,42.19
GeoRF-BCDE_2017_10_fs1,BCDE,GeoRF-BCDE,2017,10,1,4,2017-10,['selection'],completed,,40411,10363,5364,9,0.39247943595769685,0.3966745843230404,46.8
GeoRF-BCDE_2017_10_fs2,BCDE,GeoRF-BCDE,2017,10,2,8,2017-10,['selection'],completed,,40250,10164,5364,7,0.36162361623616235,0.3640836408364083,43.86
GeoRF-BCDE_2017_10_fs3,BCDE,GeoRF-BCDE,2017,10,3,12,2017-10,['selection'],completed,,39747,10164,5364,6,0.15702479338842973,0.1581137309292649,41.75
GeoRF-BCDE_2018_02_fs1,BCDE,GeoRF-BCDE,2018,2,1,4,2018-02,['selection'],completed,,35910,10365,5364,8,0.3859649122807018,0.38877338877338874,40.83
GeoRF-BCDE_2018_02_fs2,BCDE,GeoRF-BCDE,2018,2,2,8,2018-02,['selection'],completed,,40411,10363,5364,8,0.37136929460580914,0.37052631578947365,43.37
GeoRF-BCDE_2018_02_fs3,BCDE,GeoRF-BCDE,2018,2,3,12,2018-02,['selection'],completed,,40250,10164,5364,5,0.20256111757857972,0.20256111757857972,40.24
GeoRF-BCDE_2018_06_fs1,BCDE,GeoRF-BCDE,2018,6,1,4,2018-06,['selection'],completed,,36112,10522,5364,7,0.4272251308900523,0.41478439425051333,41.12
GeoRF-BCDE_2018_06_fs2,BCDE,GeoRF-BCDE,2018,6,2,8,2018-06,['selection'],completed,,35910,10365,5364,8,0.3845327604726101,0.38786565547128926,40.13
GeoRF-BCDE_2018_06_fs3,BCDE,GeoRF-BCDE,2018,6,3,12,2018-06,['selection'],completed,,40411,10363,5364,6,0.35580110497237566,0.3507214206437292,43.78
GeoRF-BCDE_2018_10_fs1,BCDE,GeoRF-BCDE,2018,10,1,4,2018-10,['selection'],completed,,36472,10524,5365,8,0.3678756476683938,0.34632819582955576,43.79
GeoRF-BCDE_2018_10_fs2,BCDE,GeoRF-BCDE,2018,10,2,8,2018-10,['selection'],completed,,36115,10523,5365,7,0.29783223374175305,0.28977272727272724,43.21
GeoRF-BCDE_2018_10_fs3,BCDE,GeoRF-BCDE,2018,10,3,12,2018-10,['selection'],completed,,35914,10366,5365,6,0.2988721804511278,0.3026315789473685,40.18
