name,arm,variant,year,month,forecasting_scope,horizon_months,target_month,map_roles,status,reason,real_fitting_rows,real_validation_rows,labeled_target_rows,n_terminal_partitions,f1(1),f1_base(1),seconds
GeoRF-C_2016_02_fs1,C,GeoRF-C,2016,2,1,4,2016-02,"['calibration', 'selection']",completed,,39322,14727,5163,7,0.15384615384615385,0.13391877058177826,33.62
GeoRF-C_2016_02_fs2,C,GeoRF-C,2016,2,2,8,2016-02,"['calibration', 'selection']",completed,,44030,14727,5163,4,0.030127462340672075,0.027842227378190258,34.26
GeoRF-C_2016_02_fs3,C,GeoRF-C,2016,2,3,12,2016-02,"['calibration', 'selection']",completed,,43880,14726,5163,6,0.004694835680751173,0.002350176263219741,37.65
GeoRF-C_2016_06_fs1,C,GeoRF-C,2016,6,1,4,2016-06,"['calibration', 'selection']",completed,,39468,14726,5162,5,0.04678362573099415,0.01907032181168057,34.03
GeoRF-C_2016_06_fs2,C,GeoRF-C,2016,6,2,8,2016-06,"['calibration', 'selection']",completed,,39319,14726,5162,6,0.011961722488038277,0.002403846153846154,34.03
GeoRF-C_2016_06_fs3,C,GeoRF-C,2016,6,3,12,2016-06,"['calibration', 'selection']",completed,,44028,14726,5162,8,0.11312217194570136,0.11564625850340136,37.32
GeoRF-C_2016_10_fs1,C,GeoRF-C,2016,10,1,4,2016-10,"['calibration', 'selection']",completed,,39598,14866,5359,7,0.07490636704119849,0.07518796992481203,35.47
GeoRF-C_2016_10_fs2,C,GeoRF-C,2016,10,2,8,2016-10,"['calibration', 'selection']",completed,,39444,14717,5359,3,0.15080789946140036,0.12110091743119265,31.87
GeoRF-C_2016_10_fs3,C,GeoRF-C,2016,10,3,12,2016-10,"['calibration', 'selection']",completed,,39295,14717,5359,9,0.04206500956022945,0.01934235976789168,38.87
GeoRF-C_2017_02_fs1,C,GeoRF-C,2017,2,1,4,2017-02,['selection'],completed,,39027,9876,5216,8,0.029723991507431,0.006493506493506494,40.22
GeoRF-C_2017_02_fs2,C,GeoRF-C,2017,2,2,8,2017-02,['selection'],completed,,39022,14578,5216,8,0.0064794816414686825,0.0,35.19
GeoRF-C_2017_02_fs3,C,GeoRF-C,2017,2,3,12,2017-02,['selection'],completed,,38868,14573,5216,4,0.004329004329004329,0.0,32.35
GeoRF-C_2017_06_fs1,C,GeoRF-C,2017,6,1,4,2017-06,['selection'],completed,,40249,10164,5362,5,0.2581196581196581,0.2581196581196581,35.4
GeoRF-C_2017_06_fs2,C,GeoRF-C,2017,6,2,8,2017-06,['selection'],completed,,39747,10164,5362,5,0.03464870067372473,0.034682080924855495,35.7
GeoRF-C_2017_06_fs3,C,GeoRF-C,2017,6,3,12,2017-06,['selection'],completed,,39598,14866,5362,11,0.021359223300970873,0.005870841487279843,44.32
GeoRF-C_2017_10_fs1,C,GeoRF-C,2017,10,1,4,2017-10,['selection'],completed,,40411,10363,5364,7,0.3453416149068323,0.33623910336239105,35.74
GeoRF-C_2017_10_fs2,C,GeoRF-C,2017,10,2,8,2017-10,['selection'],completed,,40250,10164,5364,8,0.327455919395466,0.32534678436317777,35.19
GeoRF-C_2017_10_fs3,C,GeoRF-C,2017,10,3,12,2017-10,['selection'],completed,,39747,10164,5364,9,0.19215155615696888,0.19073569482288827,39.16
GeoRF-C_2018_02_fs1,C,GeoRF-C,2018,2,1,4,2018-02,['selection'],completed,,35910,10365,5364,7,0.333692142088267,0.3344120819848975,34.42
GeoRF-C_2018_02_fs2,C,GeoRF-C,2018,2,2,8,2018-02,['selection'],completed,,40411,10363,5364,8,0.30836047774158515,0.305159165751921,38.64
GeoRF-C_2018_02_fs3,C,GeoRF-C,2018,2,3,12,2018-02,['selection'],completed,,40250,10164,5364,9,0.12848484848484848,0.12848484848484848,37.02
GeoRF-C_2018_06_fs1,C,GeoRF-C,2018,6,1,4,2018-06,['selection'],completed,,36112,10522,5364,10,0.448,0.4221585482330469,39.49
GeoRF-C_2018_06_fs2,C,GeoRF-C,2018,6,2,8,2018-06,['selection'],completed,,35910,10365,5364,8,0.36126224156692055,0.3396648044692738,34.6
GeoRF-C_2018_06_fs3,C,GeoRF-C,2018,6,3,12,2018-06,['selection'],completed,,40411,10363,5364,9,0.29228998849252014,0.2926267281105991,38.48
GeoRF-C_2018_10_fs1,C,GeoRF-C,2018,10,1,4,2018-10,['selection'],completed,,36472,10524,5365,7,0.3625,0.35968722849695917,36.81
GeoRF-C_2018_10_fs2,C,GeoRF-C,2018,10,2,8,2018-10,['selection'],completed,,36115,10523,5365,8,0.2805687203791469,0.26962142197599265,39.52
GeoRF-C_2018_10_fs3,C,GeoRF-C,2018,10,3,12,2018-10,['selection'],completed,,35914,10366,5365,7,0.29671361502347415,0.27499999999999997,36.2
