name,arm,variant,year,month,forecasting_scope,horizon_months,target_month,map_roles,status,reason,real_fitting_rows,real_validation_rows,labeled_target_rows,n_terminal_partitions,f1(1),f1_base(1),seconds
GeoRF-D_2016_02_fs1,D,GeoRF-D,2016,2,1,4,2016-02,"['calibration', 'selection']",completed,,39322,14727,5163,6,0.3058589870903674,0.30309072781655033,30.49
GeoRF-D_2016_02_fs2,D,GeoRF-D,2016,2,2,8,2016-02,"['calibration', 'selection']",completed,,44030,14727,5163,3,0.19793814432989693,0.1869158878504673,27.9
GeoRF-D_2016_02_fs3,D,GeoRF-D,2016,2,3,12,2016-02,"['calibration', 'selection']",completed,,43880,14726,5163,6,0.1088888888888889,0.06157354618015964,29.5
GeoRF-D_2016_06_fs1,D,GeoRF-D,2016,6,1,4,2016-06,"['calibration', 'selection']",completed,,39468,14726,5162,1,0.32367632367632365,0.32367632367632365,18.19
GeoRF-D_2016_06_fs2,D,GeoRF-D,2016,6,2,8,2016-06,"['calibration', 'selection']",completed,,39319,14726,5162,3,0.2229299363057325,0.2198505869797225,27.44
GeoRF-D_2016_06_fs3,D,GeoRF-D,2016,6,3,12,2016-06,"['calibration', 'selection']",completed,,44028,14726,5162,3,0.2162740899357602,0.18360655737704915,25.99
GeoRF-D_2016_10_fs1,D,GeoRF-D,2016,10,1,4,2016-10,"['calibration', 'selection']",completed,,39598,14866,5359,7,0.46524064171123,0.4368131868131868,29.39
GeoRF-D_2016_10_fs2,D,GeoRF-D,2016,10,2,8,2016-10,"['calibration', 'selection']",completed,,39444,14717,5359,1,0.36175710594315247,0.36175710594315247,17.69
GeoRF-D_2016_10_fs3,D,GeoRF-D,2016,10,3,12,2016-10,"['calibration', 'selection']",completed,,39295,14717,5359,1,0.32131147540983607,0.32131147540983607,17.82
GeoRF-D_2017_02_fs1,D,GeoRF-D,2017,2,1,4,2017-02,['selection'],completed,,39027,9876,5216,7,0.13704071499503476,0.11561866125760648,31.91
GeoRF-D_2017_02_fs2,D,GeoRF-D,2017,2,2,8,2017-02,['selection'],completed,,39022,14578,5216,6,0.18234165067178504,0.10183299389002036,30.21
GeoRF-D_2017_02_fs3,D,GeoRF-D,2017,2,3,12,2017-02,['selection'],completed,,38868,14573,5216,1,0.0021551724137931034,0.0021551724137931034,17.97
GeoRF-D_2017_06_fs1,D,GeoRF-D,2017,6,1,4,2017-06,['selection'],completed,,40249,10164,5362,8,0.34114793856103476,0.3333333333333333,31.88
GeoRF-D_2017_06_fs2,D,GeoRF-D,2017,6,2,8,2017-06,['selection'],completed,,39747,10164,5362,1,0.32985074626865674,0.32985074626865674,19.03
GeoRF-D_2017_06_fs3,D,GeoRF-D,2017,6,3,12,2017-06,['selection'],completed,,39598,14866,5362,3,0.24406779661016947,0.2315608919382504,22.0
GeoRF-D_2017_10_fs1,D,GeoRF-D,2017,10,1,4,2017-10,['selection'],completed,,40411,10363,5364,8,0.46529080675422135,0.46439628482972134,32.87
GeoRF-D_2017_10_fs2,D,GeoRF-D,2017,10,2,8,2017-10,['selection'],completed,,40250,10164,5364,10,0.3953216374269006,0.38545454545454544,36.44
GeoRF-D_2017_10_fs3,D,GeoRF-D,2017,10,3,12,2017-10,['selection'],completed,,39747,10164,5364,6,0.3514056224899598,0.36055776892430275,32.02
GeoRF-D_2018_02_fs1,D,GeoRF-D,2018,2,1,4,2018-02,['selection'],completed,,35910,10365,5364,1,0.47037037037037044,0.47037037037037044,18.18
GeoRF-D_2018_02_fs2,D,GeoRF-D,2018,2,2,8,2018-02,['selection'],completed,,40411,10363,5364,8,0.43727598566308246,0.4549509366636931,31.35
GeoRF-D_2018_02_fs3,D,GeoRF-D,2018,2,3,12,2018-02,['selection'],completed,,40250,10164,5364,4,0.35817805383022777,0.3630640083945436,25.13
GeoRF-D_2018_06_fs1,D,GeoRF-D,2018,6,1,4,2018-06,['selection'],completed,,36112,10522,5364,7,0.4869402985074627,0.449955713020372,29.3
GeoRF-D_2018_06_fs2,D,GeoRF-D,2018,6,2,8,2018-06,['selection'],completed,,35910,10365,5364,7,0.431924882629108,0.4297832233741754,28.64
GeoRF-D_2018_06_fs3,D,GeoRF-D,2018,6,3,12,2018-06,['selection'],completed,,40411,10363,5364,1,0.428842504743833,0.428842504743833,18.84
GeoRF-D_2018_10_fs1,D,GeoRF-D,2018,10,1,4,2018-10,['selection'],completed,,36472,10524,5365,7,0.4528925619834711,0.42914979757085026,29.89
GeoRF-D_2018_10_fs2,D,GeoRF-D,2018,10,2,8,2018-10,['selection'],completed,,36115,10523,5365,1,0.37375415282392027,0.37375415282392027,18.04
GeoRF-D_2018_10_fs3,D,GeoRF-D,2018,10,3,12,2018-10,['selection'],completed,,35914,10366,5365,11,0.374203821656051,0.36888111888111885,32.59
