name,arm,variant,year,month,forecasting_scope,horizon_months,target_month,map_roles,status,reason,real_fitting_rows,real_validation_rows,labeled_target_rows,n_terminal_partitions,f1(1),f1_base(1),seconds
GeoRF-E_2014_01_fs1,E,GeoRF-E,2014,1,1,4,2014-01,['calibration'],completed,,43732,14576,4860,1,0.08130081300813008,0.08130081300813008,16.17
GeoRF-E_2014_01_fs2,E,GeoRF-E,2014,1,2,8,2014-01,['calibration'],completed,,43729,14576,4860,13,0.11940298507462686,0.0,37.69
GeoRF-E_2014_01_fs3,E,GeoRF-E,2014,1,3,12,2014-01,['calibration'],completed,,38867,14572,4860,9,0.07936507936507936,0.05785123966942149,27.24
GeoRF-E_2014_04_fs1,E,GeoRF-E,2014,4,1,4,2014-04,['calibration'],completed,,43733,14578,4860,14,0.1299638989169675,0.023346303501945526,41.5
GeoRF-E_2014_04_fs2,E,GeoRF-E,2014,4,2,8,2014-04,['calibration'],completed,,43732,14576,4860,1,0.015444015444015444,0.015444015444015444,16.92
GeoRF-E_2014_04_fs3,E,GeoRF-E,2014,4,3,12,2014-04,['calibration'],completed,,38869,14576,4860,7,0.08843537414965986,0.06228373702422145,26.32
GeoRF-E_2014_07_fs1,E,GeoRF-E,2014,7,1,4,2014-07,['calibration'],completed,,43735,14579,4860,5,0.02702702702702703,0.020338983050847456,26.55
GeoRF-E_2014_07_fs2,E,GeoRF-E,2014,7,2,8,2014-07,['calibration'],completed,,43733,14578,4860,8,0.03973509933774834,0.0,29.95
GeoRF-E_2014_07_fs3,E,GeoRF-E,2014,7,3,12,2014-07,['calibration'],completed,,38872,14576,4860,5,0.08227848101265822,0.032786885245901634,25.53
GeoRF-E_2014_10_fs1,E,GeoRF-E,2014,10,1,4,2014-10,['calibration'],completed,,43727,14576,5009,7,0.03125,0.0053475935828877,29.16
GeoRF-E_2014_10_fs2,E,GeoRF-E,2014,10,2,8,2014-10,['calibration'],completed,,43726,14576,5009,6,0.026385224274406333,0.0,27.08
GeoRF-E_2014_10_fs3,E,GeoRF-E,2014,10,3,12,2014-10,['calibration'],completed,,38867,14573,5009,6,0.026178010471204192,0.02624671916010499,25.74
GeoRF-E_2015_01_fs1,E,GeoRF-E,2015,1,1,4,2015-01,['calibration'],completed,,43728,14576,5009,7,0.008695652173913044,0.0,34.23
GeoRF-E_2015_01_fs2,E,GeoRF-E,2015,1,2,8,2015-01,['calibration'],completed,,43727,14576,5009,9,0.05785123966942149,0.0,32.88
GeoRF-E_2015_01_fs3,E,GeoRF-E,2015,1,3,12,2015-01,['calibration'],completed,,38868,14575,5009,1,0.0,0.0,15.47
GeoRF-E_2015_04_fs1,E,GeoRF-E,2015,4,1,4,2015-04,['calibration'],completed,,43879,14576,5009,7,0.47881355932203384,0.47780126849894294,27.97
GeoRF-E_2015_04_fs2,E,GeoRF-E,2015,4,2,8,2015-04,['calibration'],completed,,43728,14576,5009,1,0.0,0.0,17.2
GeoRF-E_2015_04_fs3,E,GeoRF-E,2015,4,3,12,2015-04,['calibration'],completed,,38868,14576,5009,8,0.028571428571428567,0.0,26.44
GeoRF-E_2015_07_fs1,E,GeoRF-E,2015,7,1,4,2015-07,['calibration'],completed,,43880,14726,5009,6,0.26666666666666666,0.2830188679245283,28.04
GeoRF-E_2015_07_fs2,E,GeoRF-E,2015,7,2,8,2015-07,['calibration'],completed,,43879,14576,5009,10,0.3885714285714286,0.3799705449189985,31.34
GeoRF-E_2015_07_fs3,E,GeoRF-E,2015,7,3,12,2015-07,['calibration'],completed,,38869,14576,5009,4,0.0108499095840868,0.0,23.6
GeoRF-E_2015_10_fs1,E,GeoRF-E,2015,10,1,4,2015-10,['calibration'],completed,,44030,14727,5009,4,0.2843488649940263,0.2822966507177033,26.11
GeoRF-E_2015_10_fs2,E,GeoRF-E,2015,10,2,8,2015-10,['calibration'],completed,,43880,14726,5009,5,0.26170468187274915,0.27824019024970276,50.16
GeoRF-E_2015_10_fs3,E,GeoRF-E,2015,10,3,12,2015-10,['calibration'],completed,,38870,14576,5009,4,0.02976995940460081,0.02976995940460081,24.09
GeoRF-E_2016_02_fs1,E,GeoRF-E,2016,2,1,4,2016-02,"['calibration', 'selection']",completed,,39322,14727,5163,6,0.2828282828282828,0.27586206896551724,25.98
GeoRF-E_2016_02_fs2,E,GeoRF-E,2016,2,2,8,2016-02,"['calibration', 'selection']",completed,,44030,14727,5163,5,0.24871531346351494,0.24173553719008262,27.58
GeoRF-E_2016_02_fs3,E,GeoRF-E,2016,2,3,12,2016-02,"['calibration', 'selection']",completed,,43880,14726,5163,6,0.17185821697099893,0.17400644468313642,26.86
GeoRF-E_2016_06_fs1,E,GeoRF-E,2016,6,1,4,2016-06,"['calibration', 'selection']",completed,,39468,14726,5162,4,0.33921568627450976,0.32936507936507936,25.01
GeoRF-E_2016_06_fs2,E,GeoRF-E,2016,6,2,8,2016-06,"['calibration', 'selection']",completed,,39319,14726,5162,6,0.2950152594099695,0.29098360655737704,27.04
GeoRF-E_2016_06_fs3,E,GeoRF-E,2016,6,3,12,2016-06,"['calibration', 'selection']",completed,,44028,14726,5162,3,0.2489539748953975,0.264859228362878,24.04
GeoRF-E_2016_10_fs1,E,GeoRF-E,2016,10,1,4,2016-10,"['calibration', 'selection']",completed,,39598,14866,5359,5,0.4833110814419226,0.4873949579831932,29.41
GeoRF-E_2016_10_fs2,E,GeoRF-E,2016,10,2,8,2016-10,"['calibration', 'selection']",completed,,39444,14717,5359,7,0.45849802371541504,0.4245810055865922,27.13
GeoRF-E_2016_10_fs3,E,GeoRF-E,2016,10,3,12,2016-10,"['calibration', 'selection']",completed,,39295,14717,5359,5,0.41294298921417566,0.41358024691358025,25.51
