name,arm,variant,year,month,forecasting_scope,horizon_months,target_month,map_roles,status,reason,real_fitting_rows,real_validation_rows,labeled_target_rows,n_terminal_partitions,f1(1),f1_base(1),seconds
GeoRF-E_2016_02_fs1,E,GeoRF-E,2016,2,1,4,2016-02,"['calibration', 'selection']",completed,,39322,14727,5163,6,0.2828282828282828,0.27586206896551724,25.98
GeoRF-E_2016_02_fs2,E,GeoRF-E,2016,2,2,8,2016-02,"['calibration', 'selection']",completed,,44030,14727,5163,5,0.24871531346351494,0.24173553719008262,27.58
GeoRF-E_2016_02_fs3,E,GeoRF-E,2016,2,3,12,2016-02,"['calibration', 'selection']",completed,,43880,14726,5163,6,0.17185821697099893,0.17400644468313642,26.86
GeoRF-E_2016_06_fs1,E,GeoRF-E,2016,6,1,4,2016-06,"['calibration', 'selection']",completed,,39468,14726,5162,4,0.33921568627450976,0.32936507936507936,25.01
GeoRF-E_2016_06_fs2,E,GeoRF-E,2016,6,2,8,2016-06,"['calibration', 'selection']",completed,,39319,14726,5162,6,0.2950152594099695,0.29098360655737704,27.04
GeoRF-E_2016_06_fs3,E,GeoRF-E,2016,6,3,12,2016-06,"['calibration', 'selection']",completed,,44028,14726,5162,3,0.2489539748953975,0.264859228362878,24.04
GeoRF-E_2016_10_fs1,E,GeoRF-E,2016,10,1,4,2016-10,"['calibration', 'selection']",completed,,39598,14866,5359,5,0.4833110814419226,0.4873949579831932,29.41
GeoRF-E_2016_10_fs2,E,GeoRF-E,2016,10,2,8,2016-10,"['calibration', 'selection']",completed,,39444,14717,5359,7,0.45849802371541504,0.4245810055865922,27.13
GeoRF-E_2016_10_fs3,E,GeoRF-E,2016,10,3,12,2016-10,"['calibration', 'selection']",completed,,39295,14717,5359,5,0.41294298921417566,0.41358024691358025,25.51
GeoRF-E_2017_02_fs1,E,GeoRF-E,2017,2,1,4,2017-02,['selection'],completed,,39027,9876,5216,5,0.11800610376398778,0.09465020576131687,26.66
GeoRF-E_2017_02_fs2,E,GeoRF-E,2017,2,2,8,2017-02,['selection'],completed,,39022,14578,5216,6,0.18564593301435406,0.06639004149377593,26.56
GeoRF-E_2017_02_fs3,E,GeoRF-E,2017,2,3,12,2017-02,['selection'],completed,,38868,14573,5216,4,0.012738853503184714,0.004329004329004329,24.11
GeoRF-E_2017_06_fs1,E,GeoRF-E,2017,6,1,4,2017-06,['selection'],completed,,40249,10164,5362,8,0.3078189300411523,0.30016583747927034,31.1
GeoRF-E_2017_06_fs2,E,GeoRF-E,2017,6,2,8,2017-06,['selection'],completed,,39747,10164,5362,9,0.3193403298350824,0.3214013709063214,31.31
GeoRF-E_2017_06_fs3,E,GeoRF-E,2017,6,3,12,2017-06,['selection'],completed,,39598,14866,5362,7,0.2579034941763727,0.25645295587010825,26.99
GeoRF-E_2017_10_fs1,E,GeoRF-E,2017,10,1,4,2017-10,['selection'],completed,,40411,10363,5364,5,0.45708154506437765,0.4642082429501085,25.62
GeoRF-E_2017_10_fs2,E,GeoRF-E,2017,10,2,8,2017-10,['selection'],completed,,40250,10164,5364,5,0.3693803159173755,0.37073170731707317,26.5
GeoRF-E_2017_10_fs3,E,GeoRF-E,2017,10,3,12,2017-10,['selection'],completed,,39747,10164,5364,4,0.3924191750278707,0.399108138238573,26.36
GeoRF-E_2018_02_fs1,E,GeoRF-E,2018,2,1,4,2018-02,['selection'],completed,,35910,10365,5364,9,0.43243243243243246,0.42156862745098034,28.44
GeoRF-E_2018_02_fs2,E,GeoRF-E,2018,2,2,8,2018-02,['selection'],completed,,40411,10363,5364,6,0.46227164416203337,0.4344703770197487,28.7
GeoRF-E_2018_02_fs3,E,GeoRF-E,2018,2,3,12,2018-02,['selection'],completed,,40250,10164,5364,8,0.3386243386243386,0.3351235230934479,29.12
GeoRF-E_2018_06_fs1,E,GeoRF-E,2018,6,1,4,2018-06,['selection'],completed,,36112,10522,5364,7,0.4709193245778612,0.4456424079065588,27.71
GeoRF-E_2018_06_fs2,E,GeoRF-E,2018,6,2,8,2018-06,['selection'],completed,,35910,10365,5364,10,0.4258555133079848,0.4267942583732057,29.9
GeoRF-E_2018_06_fs3,E,GeoRF-E,2018,6,3,12,2018-06,['selection'],completed,,40411,10363,5364,10,0.39147286821705424,0.40891472868217055,32.18
GeoRF-E_2018_10_fs1,E,GeoRF-E,2018,10,1,4,2018-10,['selection'],completed,,36472,10524,5365,9,0.43307757885763004,0.4176570458404074,28.95
GeoRF-E_2018_10_fs2,E,GeoRF-E,2018,10,2,8,2018-10,['selection'],completed,,36115,10523,5365,7,0.3968804159445408,0.38765008576329335,27.45
GeoRF-E_2018_10_fs3,E,GeoRF-E,2018,10,3,12,2018-10,['selection'],completed,,35914,10366,5365,10,0.34883720930232553,0.35759209344115006,27.83
