name,arm,variant,year,month,forecasting_scope,horizon_months,target_month,map_roles,status,reason,real_fitting_rows,real_validation_rows,labeled_target_rows,n_terminal_partitions,f1(1),f1_base(1),seconds
GeoRF-reference_2014_01_fs1,reference,GeoRF-reference,2014,1,1,4,2014-01,['calibration'],completed,,43732,14576,4860,1,0.08264462809917354,0.08264462809917354,21.16
GeoRF-reference_2014_01_fs2,reference,GeoRF-reference,2014,1,2,8,2014-01,['calibration'],completed,,43729,14576,4860,10,0.06808510638297872,0.052863436123348026,42.65
GeoRF-reference_2014_01_fs3,reference,GeoRF-reference,2014,1,3,12,2014-01,['calibration'],completed,,38867,14572,4860,1,0.0625,0.0625,17.32
GeoRF-reference_2014_04_fs1,reference,GeoRF-reference,2014,4,1,4,2014-04,['calibration'],completed,,43733,14578,4860,6,0.21148036253776434,0.20121951219512196,33.85
GeoRF-reference_2014_04_fs2,reference,GeoRF-reference,2014,4,2,8,2014-04,['calibration'],completed,,43732,14576,4860,1,0.01532567049808429,0.01532567049808429,21.08
GeoRF-reference_2014_04_fs3,reference,GeoRF-reference,2014,4,3,12,2014-04,['calibration'],completed,,38869,14576,4860,7,0.07326007326007326,0.058394160583941604,32.12
GeoRF-reference_2014_07_fs1,reference,GeoRF-reference,2014,7,1,4,2014-07,['calibration'],completed,,43735,14579,4860,1,0.040268456375838924,0.040268456375838924,22.89
GeoRF-reference_2014_07_fs2,reference,GeoRF-reference,2014,7,2,8,2014-07,['calibration'],completed,,43733,14578,4860,6,0.03322259136212624,0.0,34.28
GeoRF-reference_2014_07_fs3,reference,GeoRF-reference,2014,7,3,12,2014-07,['calibration'],completed,,38872,14576,4860,6,0.019607843137254898,0.013333333333333334,31.56
GeoRF-reference_2014_10_fs1,reference,GeoRF-reference,2014,10,1,4,2014-10,['calibration'],completed,,43727,14576,5009,5,0.021052631578947368,0.021052631578947368,35.23
GeoRF-reference_2014_10_fs2,reference,GeoRF-reference,2014,10,2,8,2014-10,['calibration'],completed,,43726,14576,5009,1,0.010610079575596816,0.010610079575596816,20.9
GeoRF-reference_2014_10_fs3,reference,GeoRF-reference,2014,10,3,12,2014-10,['calibration'],completed,,38867,14573,5009,7,0.005277044854881266,0.005291005291005291,30.64
GeoRF-reference_2015_01_fs1,reference,GeoRF-reference,2015,1,1,4,2015-01,['calibration'],completed,,43728,14576,5009,1,0.09923664122137404,0.09923664122137404,21.88
GeoRF-reference_2015_01_fs2,reference,GeoRF-reference,2015,1,2,8,2015-01,['calibration'],completed,,43727,14576,5009,1,0.026200873362445417,0.026200873362445417,21.25
GeoRF-reference_2015_01_fs3,reference,GeoRF-reference,2015,1,3,12,2015-01,['calibration'],completed,,38868,14575,5009,4,0.008888888888888889,0.0,29.96
GeoRF-reference_2015_04_fs1,reference,GeoRF-reference,2015,4,1,4,2015-04,['calibration'],completed,,43879,14576,5009,1,0.5530434782608695,0.5530434782608695,22.4
GeoRF-reference_2015_04_fs2,reference,GeoRF-reference,2015,4,2,8,2015-04,['calibration'],completed,,43728,14576,5009,4,0.22171945701357468,0.22471910112359555,34.41
GeoRF-reference_2015_04_fs3,reference,GeoRF-reference,2015,4,3,12,2015-04,['calibration'],completed,,38868,14576,5009,10,0.0056657223796034,0.005714285714285714,39.71
GeoRF-reference_2015_07_fs1,reference,GeoRF-reference,2015,7,1,4,2015-07,['calibration'],completed,,43880,14726,5009,1,0.42176870748299317,0.42176870748299317,22.53
