FEWSNET_admin_code,target_month,target_label,partition_id
0,2017-06,0,4
0,2017-10,0,4
0,2018-02,1,4
0,2018-06,1,4
0,2018-10,1,4
0,2019-02,1,4
0,2019-06,1,4
0,2019-10,1,4
1,2017-06,0,4
1,2017-10,0,4
1,2018-02,0,4
1,2018-06,1,4
1,2018-10,0,4
1,2019-02,0,4
1,2019-06,1,4
1,2019-10,1,4
2,2017-06,1,1
2,2017-10,1,1
2,2018-02,1,1
2,2018-06,1,1
2,2018-10,1,1
2,2019-02,1,1
2,2019-06,1,1
2,2019-10,1,1
3,2017-06,1,4
3,2017-10,1,4
3,2018-02,1,4
3,2018-06,1,4
3,2018-10,0,4
3,2019-02,1,4
3,2019-06,1,4
3,2019-10,1,4
4,2017-06,1,4
4,2017-10,1,4
4,2018-02,1,4
4,2018-06,1,4
4,2018-10,1,4
4,2019-02,1,4
4,2019-06,1,4
4,2019-10,1,4
5,2017-06,1,4
5,2017-10,1,4
5,2018-02,1,4
5,2018-06,1,4
5,2018-10,1,4
5,2019-02,1,4
5,2019-06,1,4
5,2019-10,1,4
6,2017-06,1,4
6,2017-10,1,4
6,2018-02,1,4
6,2018-06,1,4
6,2018-10,0,4
6,2019-02,1,4
6,2019-06,1,4
6,2019-10,1,4
7,2017-06,1,4
7,2017-10,1,4
7,2018-02,1,4
7,2018-06,1,4
7,2018-10,1,4
7,2019-02,1,4
7,2019-06,1,4
7,2019-10,1,4
8,2017-06,0,6
8,2017-10,1,6
8,2018-02,1,6
8,2018-06,1,6
8,2018-10,1,6
8,2019-02,1,6
8,2019-06,1,6
8,2019-10,1,6
9,2017-06,1,4
9,2017-10,1,4
9,2018-02,1,4
9,2018-06,1,4
9,2018-10,1,4
9,2019-02,1,4
9,2019-06,1,4
9,2019-10,1,4
10,2017-06,1,4
10,2017-10,1,4
10,2018-02,1,4
10,2018-06,1,4
10,2018-10,1,4
10,2019-02,1,4
10,2019-06,1,4
10,2019-10,1,4
11,2017-06,1,6
11,2017-10,0,6
11,2018-02,1,6
11,2018-06,1,6
11,2018-10,1,6
11,2019-02,1,6
11,2019-06,1,6
11,2019-10,1,6
12,2017-06,1,10
12,2017-10,0,10
12,2018-02,1,10
12,2018-06,0,10
12,2018-10,1,10
12,2019-02,1,10
12,2019-06,1,10
12,2019-10,1,10
13,2017-06,1,4
13,2017-10,1,4
13,2018-02,1,4
13,2018-06,1,4
13,2018-10,1,4
13,2019-02,1,4
13,2019-06,1,4
13,2019-10,1,4
14,2017-06,1,6
14,2017-10,1,6
14,2018-02,1,6
14,2018-06,1,6
14,2018-10,1,6
14,2019-02,1,6
14,2019-06,1,6
14,2019-10,1,6
15,2017-06,1,6
15,2017-10,1,6
15,2018-02,1,6
15,2018-06,1,6
15,2018-10,1,6
15,2019-02,1,6
15,2019-06,1,6
15,2019-10,1,6
16,2017-06,1,6
16,2017-10,0,6
16,2018-02,1,6
16,2018-06,1,6
16,2018-10,0,6
16,2019-02,1,6
16,2019-06,1,6
16,2019-10,0,6
17,2017-06,1,4
17,2017-10,1,4
17,2018-02,1,4
17,2018-06,1,4
17,2018-10,1,4
17,2019-02,1,4
17,2019-06,1,4
17,2019-10,1,4
18,2017-06,1,4
18,2017-10,1,4
18,2018-02,1,4
18,2018-06,1,4
18,2018-10,1,4
18,2019-02,1,4
18,2019-06,1,4
18,2019-10,1,4
19,2017-06,1,4
19,2017-10,1,4
19,2018-02,1,4
19,2018-06,1,4
19,2018-10,0,4
19,2019-02,1,4
19,2019-06,1,4
19,2019-10,0,4
20,2017-06,1,4
20,2017-10,1,4
20,2018-02,1,4
20,2018-06,1,4
20,2018-10,0,4
20,2019-02,1,4
20,2019-06,1,4
20,2019-10,1,4
21,2017-06,1,4
21,2017-10,1,4
21,2018-02,1,4
21,2018-06,1,4
21,2018-10,1,4
21,2019-02,1,4
21,2019-06,1,4
21,2019-10,1,4
22,2017-06,0,6
22,2017-10,0,6
22,2018-02,0,6
22,2018-06,0,6
22,2018-10,0,6
22,2019-02,0,6
22,2019-06,0,6
22,2019-10,0,6
23,2017-06,1,6
23,2017-10,1,6
23,2018-02,1,6
23,2018-06,0,6
23,2018-10,1,6
23,2019-02,1,6
23,2019-06,1,6
23,2019-10,0,6
24,2017-06,1,6
24,2017-10,1,6
24,2018-02,1,6
24,2018-06,1,6
24,2018-10,1,6
24,2019-02,1,6
24,2019-06,1,6
24,2019-10,1,6
25,2017-06,1,4
25,2017-10,1,4
25,2018-02,0,4
25,2018-06,1,4
25,2018-10,0,4
25,2019-02,1,4
25,2019-06,1,4
25,2019-10,1,4
26,2017-06,1,6
26,2017-10,1,6
26,2018-02,1,6
26,2018-06,1,6
26,2018-10,1,6
26,2019-02,1,6
26,2019-06,1,6
26,2019-10,0,6
27,2017-06,1,1
27,2017-10,1,1
27,2018-02,1,1
27,2018-06,1,1
27,2018-10,1,1
27,2019-02,1,1
27,2019-06,1,1
27,2019-10,1,1
28,2017-06,1,1
28,2017-10,1,1
28,2018-02,1,1
28,2018-06,1,1
28,2018-10,1,1
28,2019-02,1,1
28,2019-06,1,1
28,2019-10,1,1
29,2017-06,1,10
29,2017-10,1,10
29,2018-02,1,10
29,2018-06,1,10
29,2018-10,1,10
29,2019-02,1,10
29,2019-06,1,10
29,2019-10,1,10
30,2017-06,1,4
30,2017-10,1,4
30,2018-02,1,4
30,2018-06,1,4
30,2018-10,1,4
30,2019-02,1,4
30,2019-06,1,4
30,2019-10,1,4
31,2017-06,1,6
