FEWSNET_admin_code,target_month,target_label,partition_id
0,2015-07,1,4
0,2015-10,0,4
0,2016-02,0,4
0,2016-06,1,4
0,2016-10,0,4
0,2017-02,1,4
0,2017-06,0,4
0,2017-10,0,4
0,2018-02,1,4
1,2015-07,0,4
1,2015-10,0,4
1,2016-02,0,4
1,2016-06,0,4
1,2016-10,0,4
1,2017-02,0,4
1,2017-06,0,4
1,2017-10,0,4
1,2018-02,0,4
2,2015-07,0,10
2,2015-10,0,10
2,2016-02,0,10
2,2016-06,0,10
2,2016-10,0,10
2,2017-02,0,10
2,2017-06,1,10
2,2017-10,1,10
2,2018-02,1,10
3,2015-07,0,4
3,2015-10,0,4
3,2016-02,0,4
3,2016-06,1,4
3,2016-10,1,4
3,2017-02,1,4
3,2017-06,1,4
3,2017-10,1,4
3,2018-02,1,4
4,2015-07,0,4
4,2015-10,0,4
4,2016-02,0,4
4,2016-06,1,4
4,2016-10,1,4
4,2017-02,1,4
4,2017-06,1,4
4,2017-10,1,4
4,2018-02,1,4
5,2015-07,0,4
5,2015-10,0,4
5,2016-02,0,4
5,2016-06,1,4
5,2016-10,1,4
5,2017-02,1,4
5,2017-06,1,4
5,2017-10,1,4
5,2018-02,1,4
6,2015-07,1,4
6,2015-10,0,4
6,2016-02,0,4
6,2016-06,1,4
6,2016-10,1,4
6,2017-02,1,4
6,2017-06,1,4
6,2017-10,1,4
6,2018-02,1,4
7,2015-07,1,4
7,2015-10,0,4
7,2016-02,0,4
7,2016-06,1,4
7,2016-10,1,4
7,2017-02,1,4
7,2017-06,1,4
7,2017-10,1,4
7,2018-02,1,4
8,2015-07,0,10
8,2015-10,0,10
8,2016-02,0,10
8,2016-06,0,10
8,2016-10,0,10
8,2017-02,0,10
8,2017-06,0,10
8,2017-10,1,10
8,2018-02,1,10
9,2015-07,1,10
9,2015-10,1,10
9,2016-02,1,10
9,2016-06,1,10
9,2016-10,1,10
9,2017-02,1,10
9,2017-06,1,10
9,2017-10,1,10
9,2018-02,1,10
10,2015-07,1,10
10,2015-10,1,10
10,2016-02,1,10
10,2016-06,1,10
10,2016-10,1,10
10,2017-02,1,10
10,2017-06,1,10
10,2017-10,1,10
10,2018-02,1,10
11,2015-07,0,10
11,2015-10,0,10
11,2016-02,0,10
11,2016-06,0,10
11,2016-10,1,10
