FEWSNET_admin_code,target_month,target_label,partition_id
0,2016-06,1,7
0,2016-10,0,7
0,2017-02,1,7
0,2017-06,0,7
0,2017-10,0,7
0,2018-02,1,7
0,2018-06,1,7
0,2018-10,1,7
1,2016-06,0,7
1,2016-10,0,7
1,2017-02,0,7
1,2017-06,0,7
1,2017-10,0,7
1,2018-02,0,7
1,2018-06,1,7
1,2018-10,0,7
2,2016-06,0,5
2,2016-10,0,5
2,2017-02,0,5
2,2017-06,1,5
2,2017-10,1,5
2,2018-02,1,5
2,2018-06,1,5
2,2018-10,1,5
3,2016-06,1,7
3,2016-10,1,7
3,2017-02,1,7
3,2017-06,1,7
3,2017-10,1,7
3,2018-02,1,7
3,2018-06,1,7
3,2018-10,0,7
4,2016-06,1,7
4,2016-10,1,7
4,2017-02,1,7
4,2017-06,1,7
4,2017-10,1,7
4,2018-02,1,7
4,2018-06,1,7
4,2018-10,1,7
5,2016-06,1,5
5,2016-10,1,5
5,2017-02,1,5
5,2017-06,1,5
5,2017-10,1,5
5,2018-02,1,5
5,2018-06,1,5
5,2018-10,1,5
6,2016-06,1,7
6,2016-10,1,7
6,2017-02,1,7
6,2017-06,1,7
6,2017-10,1,7
6,2018-02,1,7
6,2018-06,1,7
6,2018-10,0,7
7,2016-06,1,7
7,2016-10,1,7
7,2017-02,1,7
7,2017-06,1,7
7,2017-10,1,7
7,2018-02,1,7
7,2018-06,1,7
7,2018-10,1,7
8,2016-06,0,5
8,2016-10,0,5
8,2017-02,0,5
8,2017-06,0,5
8,2017-10,1,5
8,2018-02,1,5
8,2018-06,1,5
8,2018-10,1,5
9,2016-06,1,7
9,2016-10,1,7
9,2017-02,1,7
9,2017-06,1,7
9,2017-10,1,7
9,2018-02,1,7
9,2018-06,1,7
9,2018-10,1,7
10,2016-06,1,0
10,2016-10,1,0
10,2017-02,1,0
10,2017-06,1,0
10,2017-10,1,0
10,2018-02,1,0
10,2018-06,1,0
10,2018-10,1,0
11,2016-06,0,5
11,2016-10,1,5
11,2017-02,0,5
11,2017-06,1,5
11,2017-10,0,5
11,2018-02,1,5
11,2018-06,1,5
11,2018-10,1,5
12,2016-06,1,4
12,2016-10,0,4
12,2017-02,1,4
12,2017-06,1,4
12,2017-10,0,4
12,2018-02,1,4
12,2018-06,0,4
12,2018-10,1,4
13,2016-06,1,7
13,2016-10,1,7
13,2017-02,1,7
13,2017-06,1,7
13,2017-10,1,7
13,2018-02,1,7
13,2018-06,1,7
13,2018-10,1,7
14,2016-06,1,5
14,2016-10,0,5
14,2017-02,1,5
14,2017-06,1,5
14,2017-10,1,5
14,2018-02,1,5
14,2018-06,1,5
14,2018-10,1,5
15,2016-06,1,5
15,2016-10,1,5
15,2017-02,1,5
15,2017-06,1,5
15,2017-10,1,5
15,2018-02,1,5
15,2018-06,1,5
15,2018-10,1,5
16,2016-06,0,5
16,2016-10,0,5
16,2017-02,0,5
16,2017-06,1,5
16,2017-10,0,5
16,2018-02,1,5
16,2018-06,1,5
16,2018-10,0,5
17,2016-06,1,7
17,2016-10,1,7
17,2017-02,1,7
17,2017-06,1,7
17,2017-10,1,7
17,2018-02,1,7
17,2018-06,1,7
17,2018-10,1,7
18,2016-06,1,5
18,2016-10,1,5
18,2017-02,1,5
18,2017-06,1,5
18,2017-10,1,5
18,2018-02,1,5
18,2018-06,1,5
18,2018-10,1,5
19,2016-06,1,5
19,2016-10,0,5
19,2017-02,1,5
19,2017-06,1,5
19,2017-10,1,5
19,2018-02,1,5
19,2018-06,1,5
19,2018-10,0,5
20,2016-06,1,5
20,2016-10,0,5
20,2017-02,0,5
