FEWSNET_admin_code,target_month,target_label,partition_id
0,2016-10,0,12
0,2017-02,1,12
0,2017-06,0,12
0,2017-10,0,12
0,2018-02,1,12
0,2018-06,1,12
0,2018-10,1,12
0,2019-02,1,12
1,2016-10,0,12
1,2017-02,0,12
1,2017-06,0,12
1,2017-10,0,12
1,2018-02,0,12
1,2018-06,1,12
1,2018-10,0,12
1,2019-02,0,12
2,2016-10,0,1
2,2017-02,0,1
2,2017-06,1,1
2,2017-10,1,1
2,2018-02,1,1
2,2018-06,1,1
2,2018-10,1,1
2,2019-02,1,1
3,2016-10,1,12
3,2017-02,1,12
3,2017-06,1,12
3,2017-10,1,12
3,2018-02,1,12
3,2018-06,1,12
3,2018-10,0,12
3,2019-02,1,12
4,2016-10,1,12
4,2017-02,1,12
4,2017-06,1,12
4,2017-10,1,12
4,2018-02,1,12
4,2018-06,1,12
4,2018-10,1,12
4,2019-02,1,12
5,2016-10,1,12
5,2017-02,1,12
5,2017-06,1,12
5,2017-10,1,12
5,2018-02,1,12
5,2018-06,1,12
5,2018-10,1,12
5,2019-02,1,12
6,2016-10,1,12
6,2017-02,1,12
6,2017-06,1,12
6,2017-10,1,12
6,2018-02,1,12
6,2018-06,1,12
6,2018-10,0,12
6,2019-02,1,12
7,2016-10,1,12
7,2017-02,1,12
7,2017-06,1,12
7,2017-10,1,12
7,2018-02,1,12
7,2018-06,1,12
7,2018-10,1,12
7,2019-02,1,12
8,2016-10,0,5
8,2017-02,0,5
8,2017-06,0,5
8,2017-10,1,5
8,2018-02,1,5
8,2018-06,1,5
8,2018-10,1,5
8,2019-02,1,5
9,2016-10,1,12
9,2017-02,1,12
9,2017-06,1,12
9,2017-10,1,12
9,2018-02,1,12
9,2018-06,1,12
9,2018-10,1,12
9,2019-02,1,12
10,2016-10,1,1
10,2017-02,1,1
10,2017-06,1,1
10,2017-10,1,1
10,2018-02,1,1
10,2018-06,1,1
10,2018-10,1,1
10,2019-02,1,1
11,2016-10,1,5
11,2017-02,0,5
11,2017-06,1,5
11,2017-10,0,5
11,2018-02,1,5
11,2018-06,1,5
11,2018-10,1,5
11,2019-02,1,5
12,2016-10,0,16
12,2017-02,1,16
12,2017-06,1,16
12,2017-10,0,16
12,2018-02,1,16
12,2018-06,0,16
12,2018-10,1,16
12,2019-02,1,16
13,2016-10,1,12
13,2017-02,1,12
13,2017-06,1,12
13,2017-10,1,12
13,2018-02,1,12
13,2018-06,1,12
13,2018-10,1,12
13,2019-02,1,12
14,2016-10,0,5
14,2017-02,1,5
14,2017-06,1,5
14,2017-10,1,5
14,2018-02,1,5
14,2018-06,1,5
14,2018-10,1,5
14,2019-02,1,5
15,2016-10,1,1
15,2017-02,1,1
15,2017-06,1,1
15,2017-10,1,1
15,2018-02,1,1
15,2018-06,1,1
15,2018-10,1,1
15,2019-02,1,1
16,2016-10,0,5
16,2017-02,0,5
16,2017-06,1,5
16,2017-10,0,5
16,2018-02,1,5
16,2018-06,1,5
16,2018-10,0,5
16,2019-02,1,5
17,2016-10,1,12
17,2017-02,1,12
17,2017-06,1,12
17,2017-10,1,12
17,2018-02,1,12
17,2018-06,1,12
17,2018-10,1,12
17,2019-02,1,12
18,2016-10,1,12
18,2017-02,1,12
18,2017-06,1,12
18,2017-10,1,12
18,2018-02,1,12
18,2018-06,1,12
18,2018-10,1,12
18,2019-02,1,12
19,2016-10,0,12
19,2017-02,1,12
19,2017-06,1,12
19,2017-10,1,12
19,2018-02,1,12
19,2018-06,1,12
19,2018-10,0,12
19,2019-02,1,12
20,2016-10,0,12
20,2017-02,0,12
20,2017-06,1,12
20,2017-10,1,12
20,2018-02,1,12
20,2018-06,1,12
20,2018-10,0,12
20,2019-02,1,12
21,2016-10,1,12
21,2017-02,1,12
21,2017-06,1,12
21,2017-10,1,12
21,2018-02,1,12
21,2018-06,1,12
21,2018-10,1,12
21,2019-02,1,12
22,2016-10,0,5
22,2017-02,0,5
22,2017-06,0,5
22,2017-10,0,5
22,2018-02,0,5
22,2018-06,0,5
22,2018-10,0,5
22,2019-02,0,5
23,2016-10,0,16
23,2017-02,1,16
23,2017-06,1,16
23,2017-10,1,16
23,2018-02,1,16
23,2018-06,0,16
23,2018-10,1,16
23,2019-02,1,16
24,2016-10,1,5
24,2017-02,1,5
24,2017-06,1,5
24,2017-10,1,5
24,2018-02,1,5
24,2018-06,1,5
24,2018-10,1,5
24,2019-02,1,5
25,2016-10,1,12
25,2017-02,1,12
25,2017-06,1,12
25,2017-10,1,12
25,2018-02,0,12
25,2018-06,1,12
25,2018-10,0,12
25,2019-02,1,12
26,2016-10,0,16
26,2017-02,1,16
26,2017-06,1,16
26,2017-10,1,16
26,2018-02,1,16
26,2018-06,1,16
26,2018-10,1,16
26,2019-02,1,16
27,2016-10,0,1
27,2017-02,1,1
27,2017-06,1,1
27,2017-10,1,1
27,2018-02,1,1
27,2018-06,1,1
27,2018-10,1,1
27,2019-02,1,1
28,2016-10,1,16
28,2017-02,1,16
28,2017-06,1,16
28,2017-10,1,16
28,2018-02,1,16
28,2018-06,1,16
28,2018-10,1,16
28,2019-02,1,16
29,2016-10,0,16
29,2017-02,1,16
29,2017-06,1,16
29,2017-10,1,16
29,2018-02,1,16
29,2018-06,1,16
29,2018-10,1,16
29,2019-02,1,16
30,2016-10,1,12
30,2017-02,1,12
30,2017-06,1,12
30,2017-10,1,12
30,2018-02,1,12
30,2018-06,1,12
30,2018-10,1,12
30,2019-02,1,12
31,2016-10,1,5
31,2017-02,1,5
31,2017-06,1,5
31,2017-10,1,5
31,2018-02,1,5
31,2018-06,1,5
31,2018-10,1,5
31,2019-02,1,5
