FEWSNET_admin_code,target_month,target_label,partition_id
0,2017-06,0,15
0,2017-10,0,15
0,2018-02,1,15
0,2018-06,1,15
0,2018-10,1,15
0,2019-02,1,15
0,2019-06,1,15
0,2019-10,1,15
1,2017-06,0,15
1,2017-10,0,15
1,2018-02,0,15
1,2018-06,1,15
1,2018-10,0,15
1,2019-02,0,15
1,2019-06,1,15
1,2019-10,1,15
2,2017-06,1,0
2,2017-10,1,0
2,2018-02,1,0
2,2018-06,1,0
2,2018-10,1,0
2,2019-02,1,0
2,2019-06,1,0
2,2019-10,1,0
3,2017-06,1,15
3,2017-10,1,15
3,2018-02,1,15
3,2018-06,1,15
3,2018-10,0,15
3,2019-02,1,15
3,2019-06,1,15
3,2019-10,1,15
4,2017-06,1,15
4,2017-10,1,15
4,2018-02,1,15
4,2018-06,1,15
4,2018-10,1,15
4,2019-02,1,15
4,2019-06,1,15
4,2019-10,1,15
5,2017-06,1,15
5,2017-10,1,15
5,2018-02,1,15
5,2018-06,1,15
5,2018-10,1,15
5,2019-02,1,15
5,2019-06,1,15
5,2019-10,1,15
6,2017-06,1,15
6,2017-10,1,15
6,2018-02,1,15
6,2018-06,1,15
6,2018-10,0,15
6,2019-02,1,15
6,2019-06,1,15
6,2019-10,1,15
7,2017-06,1,15
7,2017-10,1,15
7,2018-02,1,15
7,2018-06,1,15
7,2018-10,1,15
7,2019-02,1,15
7,2019-06,1,15
7,2019-10,1,15
8,2017-06,0,7
8,2017-10,1,7
8,2018-02,1,7
8,2018-06,1,7
8,2018-10,1,7
8,2019-02,1,7
8,2019-06,1,7
8,2019-10,1,7
9,2017-06,1,2
9,2017-10,1,2
9,2018-02,1,2
9,2018-06,1,2
9,2018-10,1,2
9,2019-02,1,2
9,2019-06,1,2
9,2019-10,1,2
10,2017-06,1,0
10,2017-10,1,0
10,2018-02,1,0
10,2018-06,1,0
10,2018-10,1,0
10,2019-02,1,0
10,2019-06,1,0
10,2019-10,1,0
11,2017-06,1,7
11,2017-10,0,7
11,2018-02,1,7
11,2018-06,1,7
11,2018-10,1,7
11,2019-02,1,7
11,2019-06,1,7
11,2019-10,1,7
12,2017-06,1,11
12,2017-10,0,11
12,2018-02,1,11
12,2018-06,0,11
12,2018-10,1,11
12,2019-02,1,11
12,2019-06,1,11
12,2019-10,1,11
13,2017-06,1,2
13,2017-10,1,2
13,2018-02,1,2
13,2018-06,1,2
13,2018-10,1,2
13,2019-02,1,2
13,2019-06,1,2
13,2019-10,1,2
14,2017-06,1,7
14,2017-10,1,7
14,2018-02,1,7
14,2018-06,1,7
14,2018-10,1,7
14,2019-02,1,7
14,2019-06,1,7
14,2019-10,1,7
15,2017-06,1,0
15,2017-10,1,0
15,2018-02,1,0
15,2018-06,1,0
15,2018-10,1,0
15,2019-02,1,0
15,2019-06,1,0
15,2019-10,1,0
16,2017-06,1,7
16,2017-10,0,7
16,2018-02,1,7
16,2018-06,1,7
16,2018-10,0,7
16,2019-02,1,7
16,2019-06,1,7
16,2019-10,0,7
17,2017-06,1,2
17,2017-10,1,2
17,2018-02,1,2
17,2018-06,1,2
17,2018-10,1,2
17,2019-02,1,2
17,2019-06,1,2
17,2019-10,1,2
18,2017-06,1,2
18,2017-10,1,2
18,2018-02,1,2
18,2018-06,1,2
18,2018-10,1,2
18,2019-02,1,2
18,2019-06,1,2
18,2019-10,1,2
19,2017-06,1,15
19,2017-10,1,15
19,2018-02,1,15
19,2018-06,1,15
19,2018-10,0,15
19,2019-02,1,15
19,2019-06,1,15
19,2019-10,0,15
20,2017-06,1,15
20,2017-10,1,15
20,2018-02,1,15
20,2018-06,1,15
20,2018-10,0,15
20,2019-02,1,15
20,2019-06,1,15
20,2019-10,1,15
21,2017-06,1,15
21,2017-10,1,15
21,2018-02,1,15
21,2018-06,1,15
21,2018-10,1,15
21,2019-02,1,15
21,2019-06,1,15
21,2019-10,1,15
22,2017-06,0,7
22,2017-10,0,7
22,2018-02,0,7
22,2018-06,0,7
22,2018-10,0,7
22,2019-02,0,7
22,2019-06,0,7
22,2019-10,0,7
23,2017-06,1,11
23,2017-10,1,11
23,2018-02,1,11
23,2018-06,0,11
23,2018-10,1,11
23,2019-02,1,11
23,2019-06,1,11
23,2019-10,0,11
24,2017-06,1,7
24,2017-10,1,7
24,2018-02,1,7
24,2018-06,1,7
24,2018-10,1,7
24,2019-02,1,7
24,2019-06,1,7
24,2019-10,1,7
25,2017-06,1,15
25,2017-10,1,15
25,2018-02,0,15
25,2018-06,1,15
25,2018-10,0,15
25,2019-02,1,15
25,2019-06,1,15
25,2019-10,1,15
26,2017-06,1,11
26,2017-10,1,11
26,2018-02,1,11
26,2018-06,1,11
26,2018-10,1,11
26,2019-02,1,11
26,2019-06,1,11
26,2019-10,0,11
27,2017-06,1,0
27,2017-10,1,0
27,2018-02,1,0
27,2018-06,1,0
27,2018-10,1,0
27,2019-02,1,0
27,2019-06,1,0
27,2019-10,1,0
28,2017-06,1,0
28,2017-10,1,0
28,2018-02,1,0
28,2018-06,1,0
28,2018-10,1,0
28,2019-02,1,0
28,2019-06,1,0
28,2019-10,1,0
29,2017-06,1,11
29,2017-10,1,11
29,2018-02,1,11
29,2018-06,1,11
29,2018-10,1,11
29,2019-02,1,11
29,2019-06,1,11
29,2019-10,1,11
30,2017-06,1,15
30,2017-10,1,15
30,2018-02,1,15
30,2018-06,1,15
30,2018-10,1,15
30,2019-02,1,15
30,2019-06,1,15
30,2019-10,1,15
31,2017-06,1,7
31,2017-10,1,7
31,2018-02,1,7
31,2018-06,1,7
31,2018-10,1,7
31,2019-02,1,7
31,2019-06,1,7
31,2019-10,1,7
32,2017-06,1,15
32,2017-10,1,15
32,2018-02,1,15
32,2018-06,1,15
32,2018-10,1,15
32,2019-02,1,15
32,2019-06,1,15
32,2019-10,1,15
33,2017-06,1,7
33,2017-10,1,7
33,2018-02,1,7
33,2018-06,1,7
33,2018-10,1,7
33,2019-02,1,7
33,2019-06,1,7
33,2019-10,1,7
34,2017-06,1,11
34,2017-10,1,11
34,2018-02,1,11
34,2018-06,1,11
34,2018-10,1,11
34,2019-02,1,11
34,2019-06,1,11
34,2019-10,1,11
35,2017-06,1,0
35,2017-10,1,0
35,2018-02,1,0
35,2018-06,1,0
35,2018-10,1,0
35,2019-02,1,0
35,2019-06,1,0
35,2019-10,1,0
36,2017-06,0,7
36,2017-10,0,7
36,2018-02,1,7
36,2018-06,1,7
36,2018-10,1,7
36,2019-02,1,7
36,2019-06,1,7
36,2019-10,1,7
37,2017-06,1,11
37,2017-10,1,11
37,2018-02,0,11
37,2018-06,0,11
37,2018-10,0,11
37,2019-02,1,11
37,2019-06,1,11
37,2019-10,0,11
38,2017-06,0,7
38,2017-10,1,7
38,2018-02,1,7
38,2018-06,1,7
38,2018-10,1,7
38,2019-02,1,7
38,2019-06,1,7
38,2019-10,1,7
39,2017-06,1,2
39,2017-10,1,2
39,2018-02,1,2
39,2018-06,1,2
39,2018-10,1,2
39,2019-02,1,2
39,2019-06,1,2
39,2019-10,1,2
40,2017-06,1,2
40,2017-10,1,2
40,2018-02,1,2
40,2018-06,1,2
40,2018-10,1,2
40,2019-02,1,2
40,2019-06,1,2
40,2019-10,1,2
41,2017-06,0,7
41,2017-10,0,7
41,2018-02,0,7
41,2018-06,0,7
41,2018-10,0,7
41,2019-02,1,7
41,2019-06,1,7
41,2019-10,0,7
42,2017-06,1,15
42,2017-10,1,15
42,2018-02,1,15
42,2018-06,1,15
42,2018-10,1,15
42,2019-02,1,15
42,2019-06,1,15
42,2019-10,1,15
43,2017-06,1,15
43,2017-10,1,15
43,2018-02,1,15
43,2018-06,1,15
43,2018-10,1,15
43,2019-02,1,15
43,2019-06,1,15
43,2019-10,1,15
44,2017-06,0,7
44,2017-10,0,7
44,2018-02,1,7
44,2018-06,1,7
44,2018-10,0,7
44,2019-02,1,7
44,2019-06,1,7
44,2019-10,1,7
45,2017-06,1,7
45,2017-10,1,7
45,2018-02,1,7
45,2018-06,1,7
45,2018-10,1,7
45,2019-02,1,7
45,2019-06,1,7
45,2019-10,0,7
46,2017-06,0,7
46,2017-10,0,7
46,2018-02,1,7
46,2018-06,1,7
46,2018-10,1,7
46,2019-02,1,7
46,2019-06,1,7
