FEWSNET_admin_code,target_month,target_label,partition_id
0,2014-04,1,8
0,2014-07,1,8
0,2014-10,0,8
0,2015-01,0,8
0,2015-04,0,8
0,2015-07,1,8
0,2015-10,0,8
0,2016-02,0,8
0,2016-06,1,8
0,2016-10,0,8
1,2014-04,1,2
1,2014-07,1,2
1,2014-10,1,2
1,2015-01,1,2
1,2015-04,0,2
1,2015-07,0,2
1,2015-10,0,2
1,2016-02,0,2
1,2016-06,0,2
1,2016-10,0,2
2,2014-04,1,2
2,2014-07,1,2
2,2014-10,0,2
2,2015-01,0,2
2,2015-04,0,2
2,2015-07,0,2
2,2015-10,0,2
2,2016-02,0,2
2,2016-06,0,2
2,2016-10,0,2
3,2014-04,0,2
3,2014-07,0,2
3,2014-10,0,2
3,2015-01,0,2
3,2015-04,0,2
3,2015-07,0,2
3,2015-10,0,2
3,2016-02,0,2
3,2016-06,1,2
3,2016-10,1,2
4,2014-04,0,2
4,2014-07,0,2
4,2014-10,0,2
4,2015-01,0,2
4,2015-04,0,2
4,2015-07,0,2
4,2015-10,0,2
4,2016-02,0,2
4,2016-06,1,2
4,2016-10,1,2
5,2014-04,0,2
5,2014-07,0,2
5,2014-10,0,2
5,2015-01,0,2
5,2015-04,0,2
5,2015-07,0,2
5,2015-10,0,2
5,2016-02,0,2
5,2016-06,1,2
5,2016-10,1,2
6,2014-04,0,2
6,2014-07,0,2
6,2014-10,0,2
6,2015-01,0,2
6,2015-04,0,2
6,2015-07,1,2
6,2015-10,0,2
6,2016-02,0,2
6,2016-06,1,2
6,2016-10,1,2
7,2014-04,0,2
7,2014-07,0,2
7,2014-10,0,2
7,2015-01,0,2
7,2015-04,0,2
7,2015-07,1,2
7,2015-10,0,2
7,2016-02,0,2
7,2016-06,1,2
7,2016-10,1,2
8,2014-04,0,2
8,2014-07,1,2
8,2014-10,0,2
8,2015-01,0,2
8,2015-04,0,2
8,2015-07,0,2
8,2015-10,0,2
8,2016-02,0,2
8,2016-06,0,2
8,2016-10,0,2
9,2014-04,1,2
9,2014-07,1,2
9,2014-10,1,2
9,2015-01,1,2
9,2015-04,1,2
9,2015-07,1,2
9,2015-10,1,2
9,2016-02,1,2
9,2016-06,1,2
9,2016-10,1,2
10,2014-04,1,2
10,2014-07,1,2
10,2014-10,1,2
10,2015-01,1,2
10,2015-04,1,2
10,2015-07,1,2
10,2015-10,1,2
10,2016-02,1,2
10,2016-06,1,2
10,2016-10,1,2
11,2014-04,0,2
11,2014-07,1,2
11,2014-10,0,2
11,2015-01,0,2
