tau,class1_f1
0.0,0.31061697102367647
0.01,0.3330643659611446
0.02,0.3525835866261398
0.03,0.36829217099279365
0.04,0.386351861446229
0.05,0.4062598301352627
0.06,0.4206953642384106
0.07,0.43102253032928944
0.08,0.4419710977470604
0.09,0.45318004821064345
0.1,0.46139161973847476
0.11,0.4716277243275083
0.12,0.4819034176832342
0.13,0.4891270741007936
0.14,0.49726661059714045
0.15,0.5052066559312937
0.16,0.512601358755205
0.17,0.517628739850962
0.18,0.5221418888386805
0.19,0.5275355667737495
0.2,0.5314864392969386
0.21,0.5345295714791642
0.22,0.5368421052631579
0.23,0.538647928277199
0.24,0.5420652440519991
0.25,0.5451384577176208
0.26,0.5465525918470056
0.27,0.5478824876001526
0.28,0.5509862060074772
0.29,0.5526418786692759
0.3,0.5524540283106231
0.31,0.5529522024367385
0.32,0.5534506089309879
0.33,0.5544608648056923
0.34,0.5548494059132357
0.35,0.5549519431675721
0.36,0.5540711573618338
0.37,0.5537588652482269
0.38,0.5543509272467902
0.39,0.5538947973555619
0.4,0.5538015930485156
0.41,0.5538865393029021
0.42,0.5544292639929485
0.43,0.5544232757347511
0.44,0.5540701128936423
0.45,0.5549738219895288
0.46,0.5553047404063205
0.47,0.5562632696390658
0.48,0.556672760511883
0.49,0.5593869731800766
0.5,0.5605664152685855
0.51,0.562722351121423
0.52,0.5637041640770665
0.53,0.5644631973745898
0.54,0.5652378709373528
0.55,0.5672864796722344
0.56,0.5692551505546751
0.57,0.5716568141875699
0.58,0.5736284889316651
0.59,0.5753026634382566
0.6,0.5770917952883834
0.61,0.5790849673202615
0.62,0.5804862023653088
0.63,0.5831404958677686
0.64,0.5847021735523478
0.65,0.5862931465732867
0.66,0.5871129707112971
0.67,0.5895020188425303
0.68,0.590379746835443
0.69,0.5917019475021168
0.7,0.5927686301137328
0.71,0.5930964121748002
0.72,0.5938298960286348
0.73,0.5950469684030743
0.74,0.595177013853258
0.75,0.5960945529290853
0.76,0.5969125214408233
0.77,0.5964610891599381
0.78,0.5966660938305551
0.79,0.5967686490202819
0.8,0.5968712394705175
0.81,0.5969738651994498
0.82,0.5967325881341359
0.83,0.5967325881341359
0.84,0.5964912280701754
0.85,0.5964912280701754
0.86,0.5964912280701754
0.87,0.5964912280701754
0.88,0.5964912280701754
0.89,0.5964912280701754
0.9,0.5964912280701754
0.91,0.5965938413899879
0.92,0.596696490020647
0.93,0.596696490020647
0.94,0.596696490020647
0.95,0.5970046479600619
0.96,0.5970046479600619
0.97,0.5970046479600619
0.98,0.5970046479600619
0.99,0.5970046479600619
1.0,0.5970046479600619
