tau,class1_f1
0.0,0.2915081004675438
0.01,0.3016847917957965
0.02,0.3124376942473465
0.03,0.32331239709738396
0.04,0.33341746592629984
0.05,0.34235409194652755
0.06,0.34866338967072924
0.07,0.3560448691316992
0.08,0.36221257207944757
0.09,0.36934563021519545
0.1,0.375347613679068
0.11,0.3824369164287368
0.12,0.39055418621292837
0.13,0.3979708721976763
0.14,0.40515064803905065
0.15,0.4144206603691828
0.16,0.422846943328871
0.17,0.4307098907154009
0.18,0.4371944339977435
0.19,0.44418761436964266
0.2,0.4517656342473861
0.21,0.45732754267245734
0.22,0.4643744821872411
0.23,0.4694438570522309
0.24,0.4767593397046047
0.25,0.4837849844513549
0.26,0.49147920927062033
0.27,0.4961690271650801
0.28,0.5024946543121882
0.29,0.5086227835802769
0.3,0.5141298958849777
0.31,0.5191187642441124
0.32,0.5220987335228742
0.33,0.5263297168563112
0.34,0.5296025952960259
0.35,0.5310344827586206
0.36,0.5353932584269663
0.37,0.5370661334095129
0.38,0.5405327156919514
0.39,0.5433441081398765
0.4,0.5438075438075438
0.41,0.5428270359777209
0.42,0.5433859223300971
0.43,0.5404164115125536
0.44,0.5384377894411856
0.45,0.5369419816456681
0.46,0.5350258580159849
0.47,0.534975525027633
0.48,0.5326553313205149
0.49,0.5311800447713464
0.5,0.5284109149277688
0.51,0.5272990819777742
0.52,0.5256865912762521
0.53,0.5242340735937753
0.54,0.5243981782693559
0.55,0.5243763248002609
0.56,0.5244400850089913
0.57,0.5245740498034076
0.58,0.5243101182654402
0.59,0.5238408418283459
0.6,0.5238879736408567
0.61,0.5237937871777925
0.62,0.5230922032776031
0.63,0.5223880597014925
0.64,0.5223310642536941
0.65,0.521103356596876
0.66,0.5210307564422277
0.67,0.5208853386586787
0.68,0.520233139050791
0.69,0.5197401299350325
0.7,0.5190126751167445
0.71,0.5178631051752921
0.72,0.5171204275931184
0.73,0.5158809762621197
0.74,0.5156328373181742
0.75,0.5148879223820676
0.76,0.5146394512297139
0.77,0.5146394512297139
0.78,0.5144769874476988
0.79,0.5144769874476988
0.8,0.5144769874476988
0.81,0.5139795747530554
0.82,0.5140656396517079
0.83,0.513816781108692
0.84,0.513816781108692
0.85,0.5135678391959799
0.86,0.5135678391959799
0.87,0.5133188138716703
0.88,0.5130697050938338
0.89,0.5128205128205128
0.9,0.5129064699966477
0.91,0.5129064699966477
0.92,0.5129924559932942
0.93,0.5129924559932942
0.94,0.5130784708249497
0.95,0.5130784708249497
0.96,0.5130784708249497
0.97,0.5131645145061211
0.98,0.5131645145061211
0.99,0.5131645145061211
1.0,0.5132505870513251
