tau,class1_f1
0.0,0.28808000430130654
0.01,0.2957723127935894
0.02,0.30119054336173334
0.03,0.30688441341104505
0.04,0.3121060382916053
0.05,0.3168304890550564
0.06,0.3224570510443703
0.07,0.3295642230974463
0.08,0.3366271840848112
0.09,0.3452091767881242
0.1,0.3525154825690627
0.11,0.3606392890417831
0.12,0.3671995874161939
0.13,0.3732868933141516
0.14,0.38061906983978844
0.15,0.3882578787394017
0.16,0.3966258683427059
0.17,0.4053383522970314
0.18,0.4160099176481006
0.19,0.4273394495412844
0.2,0.43889894275645297
0.21,0.45091481408616957
0.22,0.46169519152404237
0.23,0.47250079172384674
0.24,0.48278116826503925
0.25,0.4895949876929962
0.26,0.4953624184129165
0.27,0.49982367462090044
0.28,0.5063169293707135
0.29,0.5111766150822894
0.3,0.5158789697424356
0.31,0.5197351667939903
0.32,0.5219195849546044
0.33,0.5245512143611405
0.34,0.5252688172043011
0.35,0.5292752831991265
0.36,0.5300569207274747
0.37,0.5308310991957105
0.38,0.5315405521384637
0.39,0.5329080893012468
0.4,0.5349178403755869
0.41,0.5351359381964047
0.42,0.5355850422195416
0.43,0.5361987501905198
0.44,0.5355712965814599
0.45,0.5327320789923806
0.46,0.5330188679245284
0.47,0.5300476947535772
0.48,0.5287614164396731
0.49,0.5283018867924528
0.5,0.5266060999351071
0.51,0.525338113084569
0.52,0.5243702976774616
0.53,0.523410547067521
0.54,0.5233860342555995
0.55,0.5228023793787178
0.56,0.5211920529801325
0.57,0.5204707442400133
0.58,0.5194158645867906
0.59,0.5185308293169354
0.6,0.5179640718562875
0.61,0.5177293157982354
0.62,0.5174941686104632
0.63,0.5172586293146574
0.64,0.5174311926605505
0.65,0.5171838505171839
0.66,0.5171838505171839
0.67,0.5171838505171839
0.68,0.517270148506591
0.69,0.5171089968285763
0.7,0.5168614357262103
0.71,0.5166137919519118
0.72,0.5164523133455821
0.73,0.5159565580618212
0.74,0.5159565580618212
0.75,0.5159565580618212
0.76,0.5155466399197592
0.77,0.5156328373181742
0.78,0.5146394512297139
0.79,0.514142259414226
0.8,0.5139795747530554
0.81,0.5137307434695244
0.82,0.5137307434695244
0.83,0.5134818288393904
0.84,0.5135678391959799
0.85,0.5137399463806971
0.86,0.5137399463806971
0.87,0.5135769359704995
0.88,0.513327745180218
0.89,0.5134138162307177
0.9,0.5134138162307177
0.91,0.5134138162307177
0.92,0.5134138162307177
0.93,0.5134138162307177
0.94,0.5132505870513251
0.95,0.5132505870513251
0.96,0.5132505870513251
0.97,0.5132505870513251
0.98,0.5132505870513251
0.99,0.5132505870513251
1.0,0.5132505870513251
