tau,class1_f1
0.0,0.2939798420049033
0.01,0.29935068538764636
0.02,0.3042545988037468
0.03,0.31137309292649096
0.04,0.3203906622201048
0.05,0.3318491032776747
0.06,0.34478322398044514
0.07,0.3604454944313196
0.08,0.37412809131261887
0.09,0.3852145796590241
0.1,0.3966018674422164
0.11,0.40774996013394993
0.12,0.4198289462758449
0.13,0.43231591653733403
0.14,0.4436663973426699
0.15,0.45369252206223876
0.16,0.46455331412103745
0.17,0.4756992660186471
0.18,0.4859564906546829
0.19,0.49668804542109135
0.2,0.5050134770889488
0.21,0.5136479168968947
0.22,0.5210216998191681
0.23,0.5272874120226145
0.24,0.5342142520056631
0.25,0.5396176505951665
0.26,0.5441826215022091
0.27,0.5492851768246803
0.28,0.5531422696311528
0.29,0.5584278554471116
0.3,0.5621970920840065
0.31,0.5684326710816777
0.32,0.5719520789288232
0.33,0.5735946216564154
0.34,0.5774484161580936
0.35,0.5797527957622131
0.36,0.5805588585017836
0.37,0.5820201110610836
0.38,0.5816696914700544
0.39,0.5825834985511666
0.4,0.5833717534962348
0.41,0.5846867749419954
0.42,0.5851528384279476
0.43,0.5868131868131868
0.44,0.5859892710634269
0.45,0.5856984303155225
0.46,0.5858876117496807
0.47,0.5855379188712522
0.48,0.5857605177993528
0.49,0.5875467403674199
0.5,0.5896218693730562
0.51,0.5893385982230998
0.52,0.5901422428051605
0.53,0.5913621262458472
0.54,0.592703648175912
0.55,0.5930504510524557
0.56,0.5940959409594095
0.57,0.5947492426792326
0.58,0.5947403910991234
0.59,0.5950972104818258
0.6,0.5955284552845529
0.61,0.5956219243169862
0.62,0.5958892474944794
0.63,0.5961211296359306
0.64,0.596078431372549
0.65,0.5957301451750641
0.66,0.5958974358974359
0.67,0.5965092402464066
0.68,0.5967134542964738
0.69,0.5965032567706547
0.7,0.5965694682675815
0.71,0.5966357706831446
0.72,0.5964972527472527
0.73,0.5968046727366432
0.74,0.5969072164948453
0.75,0.5969072164948453
0.76,0.5966660938305551
0.77,0.5967686490202819
0.78,0.5967686490202819
0.79,0.5965274196321128
0.8,0.5966299862448419
0.81,0.5966299862448419
0.82,0.5964912280701754
0.83,0.5964912280701754
0.84,0.5964912280701754
0.85,0.5964912280701754
0.86,0.5965938413899879
0.87,0.596696490020647
0.88,0.5969018932874355
0.89,0.5969018932874355
0.9,0.5969018932874355
0.91,0.5970046479600619
0.92,0.5970046479600619
0.93,0.5970046479600619
0.94,0.5970046479600619
0.95,0.5970046479600619
0.96,0.5970046479600619
0.97,0.5970046479600619
0.98,0.5970046479600619
0.99,0.5970046479600619
1.0,0.5970046479600619
