tau,class1_f1
0.0,0.2934043825784351
0.01,0.29961089494163423
0.02,0.3088328256996724
0.03,0.31942618051404664
0.04,0.3317678001127184
0.05,0.34506810554714745
0.06,0.3558307533539732
0.07,0.3667242371905584
0.08,0.37961150429152235
0.09,0.3939704837818641
0.1,0.40559670781893004
0.11,0.4167022457518572
0.12,0.42884921336397386
0.13,0.4414083990463965
0.14,0.4545022344775126
0.15,0.466869539609306
0.16,0.4779047426433411
0.17,0.48881024253148747
0.18,0.4983452546172734
0.19,0.5078219013237064
0.2,0.5171563130746805
0.21,0.5248568155784651
0.22,0.5326633165829145
0.23,0.5353354784888571
0.24,0.5422287033661441
0.25,0.5470741061487072
0.26,0.5514548431792418
0.27,0.5554701511657699
0.28,0.5597713097713097
0.29,0.5630761127205689
0.3,0.5677194860813705
0.31,0.5705778860468264
0.32,0.572524311738118
0.33,0.575353871773522
0.34,0.5778027220429354
0.35,0.5796648679352456
0.36,0.5815827338129497
0.37,0.5830301266191239
0.38,0.5829279080053074
0.39,0.5835694050991501
0.4,0.5841509433962264
0.41,0.5860493451111788
0.42,0.5866050808314087
0.43,0.5872129112352577
0.44,0.5874980416731944
0.45,0.5868640730823752
0.46,0.5862779274282998
0.47,0.5856618234073128
0.48,0.5878009630818619
0.49,0.587380990802001
0.5,0.586709886547812
0.51,0.5868010403120937
0.52,0.5877937336814621
0.53,0.5890455887176124
0.54,0.5894736842105263
0.55,0.5907214792801717
0.56,0.5924697296400729
0.57,0.5933333333333334
0.58,0.5950385517934965
0.59,0.5955226392863154
0.6,0.596823251098344
0.61,0.5988796469190291
0.62,0.5997618642626297
0.63,0.5998294970161978
0.64,0.5998292058070026
0.65,0.5997263085870681
0.66,0.5991098938719617
0.67,0.5988700564971752
0.68,0.5985951687510708
0.69,0.5986977381768335
0.7,0.5986977381768335
0.71,0.5986977381768335
0.72,0.5982847341337907
0.73,0.5983522142121525
0.74,0.5984197870147716
0.75,0.5979381443298969
0.76,0.5980409004983674
0.77,0.5977999312478515
0.78,0.5975588791473267
0.79,0.5973177441540578
0.8,0.597420464316423
0.81,0.597420464316423
0.82,0.5972819542404955
0.83,0.5972819542404955
0.84,0.5973847212663455
0.85,0.5973847212663455
0.86,0.5973847212663455
0.87,0.5973847212663455
0.88,0.5971433488212011
0.89,0.5969018932874355
0.9,0.5970046479600619
0.91,0.5970046479600619
0.92,0.5970046479600619
0.93,0.5970046479600619
0.94,0.5970046479600619
0.95,0.5970046479600619
0.96,0.5970046479600619
0.97,0.5970046479600619
0.98,0.5970046479600619
0.99,0.5970046479600619
1.0,0.5970046479600619
