tau,class1_f1
0.0,0.2947484190266703
0.01,0.29749402678224146
0.02,0.30061832490163015
0.03,0.30329595263846987
0.04,0.3072564324949407
0.05,0.3106533254855798
0.06,0.31610649319359113
0.07,0.32036020477394683
0.08,0.32641137994538644
0.09,0.3335731571718229
0.1,0.3402040954247483
0.11,0.34709469404920446
0.12,0.3574127906976744
0.13,0.36568509615384615
0.14,0.3752810731177793
0.15,0.3842269776388555
0.16,0.3942985000414353
0.17,0.40355829270378923
0.18,0.41370738636363635
0.19,0.4253786479497599
0.2,0.43667369227821423
0.21,0.4458560794044665
0.22,0.457560774618871
0.23,0.4676595744680851
0.24,0.47630566245189665
0.25,0.48284424379232505
0.26,0.4876292252294111
0.27,0.4929611071343355
0.28,0.4962037717364683
0.29,0.5013829519738496
0.3,0.5063160608404228
0.31,0.5110201926883992
0.32,0.5121852699609533
0.33,0.5152346966785616
0.34,0.5183012014529198
0.35,0.52061415979528
0.36,0.522076801380699
0.37,0.522093023255814
0.38,0.5229411764705882
0.39,0.5227205227205227
0.4,0.5233532934131736
0.41,0.5244270205066345
0.42,0.5258673158855751
0.43,0.5267514947110226
0.44,0.5259259259259259
0.45,0.5245698341342427
0.46,0.5245952677459527
0.47,0.5234521575984991
0.48,0.5221211170379667
0.49,0.5218897637795276
0.5,0.5214917825537294
0.51,0.5196825396825396
0.52,0.5179282868525896
0.53,0.51744
0.54,0.5165648118366034
0.55,0.516410670978173
0.56,0.516631510627941
0.57,0.5159079784630446
0.58,0.5169533169533169
0.59,0.5183358000328894
0.6,0.5193862398944069
0.61,0.5196824346675488
0.62,0.5190713101160862
0.63,0.5194416749750748
0.64,0.5189620758483033
0.65,0.5184815184815185
0.66,0.518
0.67,0.5175921293980323
0.68,0.517270148506591
0.69,0.5169477375187844
0.7,0.5165385900434347
0.71,0.5165385900434347
0.72,0.5165385900434347
0.73,0.5167112299465241
0.74,0.5165496489468405
0.75,0.5165496489468405
0.76,0.5163016218023742
0.77,0.515805318615153
0.78,0.5150602409638554
0.79,0.5148117154811716
0.8,0.5148117154811716
0.81,0.5148117154811716
0.82,0.5148117154811716
0.83,0.5148117154811716
0.84,0.5145631067961165
0.85,0.5140656396517079
0.86,0.5135678391959799
0.87,0.5133188138716703
0.88,0.5130697050938338
0.89,0.5130697050938338
0.9,0.5128205128205128
0.91,0.5128205128205128
0.92,0.5128205128205128
0.93,0.5128205128205128
0.94,0.5128205128205128
0.95,0.5128205128205128
0.96,0.5128205128205128
0.97,0.5129064699966477
0.98,0.5129064699966477
0.99,0.5131645145061211
1.0,0.5132505870513251
