tau,class1_f1
0.0,0.30703918306465494
0.01,0.3185512789863734
0.02,0.32904468891789423
0.03,0.34057689820204373
0.04,0.35141318977119784
0.05,0.36059401798786866
0.06,0.36952764976958524
0.07,0.37688255805326804
0.08,0.3831761484636447
0.09,0.38852510134081697
0.1,0.39447196037705706
0.11,0.39902160619649407
0.12,0.4037308461025983
0.13,0.40896692806000684
0.14,0.4167539267015707
0.15,0.42399784772666127
0.16,0.4297459584295612
0.17,0.43788672060923367
0.18,0.4464741701041053
0.19,0.4559732495693586
0.2,0.4641218189403421
0.21,0.47267260818211104
0.22,0.4810852542185949
0.23,0.48820861678004535
0.24,0.4962634283045306
0.25,0.5040163049994005
0.26,0.5113133300541073
0.27,0.5172716995352342
0.28,0.521404768008203
0.29,0.5252867570385819
0.3,0.5283669141039237
0.31,0.5310400429991937
0.32,0.5320451762144509
0.33,0.5327089932516182
0.34,0.5326102072034488
0.35,0.5329206527855938
0.36,0.5341862117981521
0.37,0.5347271946154948
0.38,0.5340253748558247
0.39,0.5348027842227379
0.4,0.5350672121566336
0.41,0.5330979699911739
0.42,0.5325846017437564
0.43,0.5314913844325609
0.44,0.529034184206598
0.45,0.5272945410917816
0.46,0.5268703898840885
0.47,0.5257263922518159
0.48,0.525820170109356
0.49,0.52557856272838
0.5,0.5240347932244773
0.51,0.5238022348078983
0.52,0.5234878722750997
0.53,0.5233846153846153
0.54,0.5225975628567021
0.55,0.5224918843716185
0.56,0.5229244114002478
0.57,0.5225225225225225
0.58,0.5224159402241594
0.59,0.5233265720081136
0.6,0.5229615745079662
0.61,0.5231010180109632
0.62,0.5227486664574835
0.63,0.5225593460147776
0.64,0.5238095238095238
0.65,0.5240354206198609
0.66,0.523296354992076
0.67,0.5232040686586141
0.68,0.5229299363057325
0.69,0.5219333226989951
0.7,0.5207800511508951
0.71,0.5194555644515613
0.72,0.5192431045542014
0.73,0.5180780973806846
0.74,0.5161186331399097
0.75,0.5154206362021637
0.76,0.5156376600226867
0.77,0.5161920260374288
0.78,0.5154538021259198
0.79,0.516245487364621
0.8,0.5159591971043106
0.81,0.515702479338843
0.82,0.5162574651625746
0.83,0.5161397670549085
0.84,0.5157526254375729
0.85,0.5154398264062761
0.86,0.5142857142857142
0.87,0.5142952683497742
0.88,0.5139702191734984
0.89,0.5138075313807532
0.9,0.5133098945253641
0.91,0.5134818288393904
0.92,0.5132328308207705
0.93,0.5132328308207705
0.94,0.5128205128205128
0.95,0.5128205128205128
0.96,0.5128205128205128
0.97,0.5128205128205128
0.98,0.5128205128205128
0.99,0.5130784708249497
1.0,0.5132505870513251
