tau,class1_f1
0.0,0.2925392670157068
0.01,0.2953168044077135
0.02,0.29726581997670676
0.03,0.30001679825298166
0.04,0.30349134260573374
0.05,0.3079504686957528
0.06,0.31449456231057227
0.07,0.32132591278820866
0.08,0.3271174734727193
0.09,0.3323442136498516
0.1,0.3385430463576159
0.11,0.3446116141330247
0.12,0.35076450464288206
0.13,0.3575290131910906
0.14,0.365625
0.15,0.37426810477657935
0.16,0.38378851819412374
0.17,0.3949739604860709
0.18,0.4049700085689803
0.19,0.41419068736141906
0.2,0.4246436781609195
0.21,0.43302299068972067
0.22,0.44446630595179537
0.23,0.4533197139938713
0.24,0.46379875277454813
0.25,0.4740983606557377
0.26,0.48116072432797213
0.27,0.48758988633727673
0.28,0.4939484721390054
0.29,0.5
0.3,0.502723932598505
0.31,0.5040291135950091
0.32,0.5065176908752328
0.33,0.5093133922501699
0.34,0.5116987401356777
0.35,0.5141330333286458
0.36,0.5156049593843522
0.37,0.5170872386445566
0.38,0.5190594420914268
0.39,0.5210183540556542
0.4,0.5232662864004803
0.41,0.5245157384987893
0.42,0.5239694656488549
0.43,0.5247113163972287
0.44,0.5247985120892746
0.45,0.5262993600749181
0.46,0.5281535073922617
0.47,0.5298578199052133
0.48,0.5310268211395016
0.49,0.5312699425654116
0.5,0.5311748677672704
0.51,0.5315518351577592
0.52,0.5322763306908267
0.53,0.532229257996428
0.54,0.5325077399380805
0.55,0.5315005727376861
0.56,0.5311216948595828
0.57,0.5308540398222807
0.58,0.5292662819455894
0.59,0.5288001320349893
0.6,0.5283330579877746
0.61,0.5281957995700347
0.62,0.5275525401290749
0.63,0.5274834437086092
0.64,0.5265251989389921
0.65,0.5248132780082988
0.66,0.5228671212373192
0.67,0.5223035952063915
0.68,0.5203333333333333
0.69,0.519839946648883
0.7,0.5192724845653263
0.71,0.5180360721442886
0.72,0.5177885418406547
0.73,0.5170454545454546
0.74,0.5165496489468405
0.75,0.515805318615153
0.76,0.5155570424891268
0.77,0.5153086832859294
0.78,0.5150602409638554
0.79,0.5150602409638554
0.8,0.5148117154811716
0.81,0.5145631067961165
0.82,0.5145631067961165
0.83,0.5140656396517079
0.84,0.5140656396517079
0.85,0.5140656396517079
0.86,0.513816781108692
0.87,0.5135678391959799
0.88,0.5133188138716703
0.89,0.5133188138716703
0.9,0.5133188138716703
0.91,0.5134048257372654
0.92,0.5129064699966477
0.93,0.5129064699966477
0.94,0.5129064699966477
0.95,0.5129924559932942
0.96,0.5129924559932942
0.97,0.5129924559932942
0.98,0.5129924559932942
0.99,0.5132505870513251
1.0,0.5132505870513251
