tau,class1_f1
0.0,0.29456094364351243
0.01,0.300691501226857
0.02,0.3068861422794327
0.03,0.3136294741751195
0.04,0.3231740306582507
0.05,0.33285723157175684
0.06,0.3431914620033432
0.07,0.35392809587217045
0.08,0.36550534667126594
0.09,0.37795614160814106
0.1,0.39118785352783564
0.11,0.4024051803885291
0.12,0.41566554541086015
0.13,0.42505184570717547
0.14,0.433939601921757
0.15,0.4415929203539823
0.16,0.4499181966915106
0.17,0.4552876043914798
0.18,0.46029609690444145
0.19,0.4687036487689113
0.2,0.47727503812913064
0.21,0.4847662771285476
0.22,0.4901185770750988
0.23,0.49764744501586605
0.24,0.5027457133251149
0.25,0.507609566311935
0.26,0.5132163742690058
0.27,0.5191733365189344
0.28,0.525378233284529
0.29,0.531176104542626
0.3,0.5384615384615384
0.31,0.5443710325171655
0.32,0.5488801054018445
0.33,0.5509464357631897
0.34,0.5532379004771643
0.35,0.5563409563409564
0.36,0.5595825694542378
0.37,0.5600228931177564
0.38,0.5642068564787914
0.39,0.5686938595199529
0.4,0.5733492680011951
0.41,0.5762098597919494
0.42,0.5779200975907289
0.43,0.5792954930010767
0.44,0.5825062034739454
0.45,0.5847880299251871
0.46,0.5859473023839398
0.47,0.585750315258512
0.48,0.5866328793158061
0.49,0.5872611464968153
0.5,0.5880845611787315
0.51,0.5878378378378378
0.52,0.5884254768832848
0.53,0.5891346779440468
0.54,0.5903673469387755
0.55,0.5907007203667322
0.56,0.5914473684210526
0.57,0.5935590421139554
0.58,0.5948361469712016
0.59,0.5961825726141079
0.6,0.5967715094025628
0.61,0.5969600801737097
0.62,0.597489539748954
0.63,0.5978516280631084
0.64,0.599528460761199
0.65,0.6000337666722945
0.66,0.6002710027100271
0.67,0.6004415011037527
0.68,0.599965969031819
0.69,0.599727241732015
0.7,0.598497780812564
0.71,0.5980861244019139
0.72,0.597948717948718
0.73,0.5972293483837866
0.74,0.5972959096354612
0.75,0.5978074683110655
0.76,0.5969483970512601
0.77,0.5969125214408233
0.78,0.5967741935483871
0.79,0.5967381974248928
0.8,0.5967021642047406
0.81,0.5964248882777586
0.82,0.5964248882777586
0.83,0.5964248882777586
0.84,0.5964248882777586
0.85,0.596183599793708
0.86,0.596183599793708
0.87,0.5962861072902338
0.88,0.5962861072902338
0.89,0.5962861072902338
0.9,0.5962861072902338
0.91,0.5962861072902338
0.92,0.5962861072902338
0.93,0.5963886500429922
0.94,0.5963886500429922
0.95,0.5964912280701754
0.96,0.5965938413899879
0.97,0.5967991739803821
0.98,0.5969018932874355
0.99,0.5969018932874355
1.0,0.5970046479600619
