tau,class1_f1
0.0,0.30818915801614766
0.01,0.3246816846229187
0.02,0.33899176954732513
0.03,0.3529174237835655
0.04,0.36466717995380415
0.05,0.37630966239813735
0.06,0.38700926832944016
0.07,0.39548989113530325
0.08,0.40412337923814123
0.09,0.41305796135909395
0.1,0.4211881868131868
0.11,0.427220503756076
0.12,0.43306085376930065
0.13,0.4382923191648024
0.14,0.44501965295753043
0.15,0.4506598384872956
0.16,0.458400974025974
0.17,0.4664716941717151
0.18,0.4744196044711952
0.19,0.4815059445178336
0.2,0.48868778280542985
0.21,0.49640621377231625
0.22,0.5036176017079824
0.23,0.5102411828869228
0.24,0.5164086687306502
0.25,0.5245694022289767
0.26,0.5317829457364341
0.27,0.5375379337643489
0.28,0.545038988975531
0.29,0.5520164046479836
0.3,0.556372209124948
0.31,0.5602256699576869
0.32,0.5664325641393149
0.33,0.5707232065059541
0.34,0.5743649977976802
0.35,0.5752815649081209
0.36,0.5765145848915483
0.37,0.579399788870457
0.38,0.5807727411013082
0.39,0.582158185162477
0.4,0.5833204871281024
0.41,0.5840570719602978
0.42,0.5845433255269321
0.43,0.5830061253337522
0.44,0.5832282471626734
0.45,0.5839670468948035
0.46,0.5847133757961783
0.47,0.5857165681418757
0.48,0.5849815082810741
0.49,0.5852556864010324
0.5,0.585610347615198
0.51,0.5867272432257018
0.52,0.5863022612656581
0.53,0.586662318604272
0.54,0.5864661654135338
0.55,0.5868675290650074
0.56,0.5869422572178478
0.57,0.5868243798258583
0.58,0.5868026987000164
0.59,0.5866842452208306
0.6,0.5864289252105003
0.61,0.5862524785194977
0.62,0.5865034733708236
0.63,0.5866578381062738
0.64,0.5866180854587612
0.65,0.5871042599038621
0.66,0.5875912408759124
0.67,0.5874149095135315
0.68,0.5868084399401894
0.69,0.5863387069968423
0.7,0.5865336658354114
0.71,0.5866311938809444
0.72,0.5867287543655413
0.73,0.5868263473053892
0.74,0.5868263473053892
0.75,0.5865912493761437
0.76,0.5867864869362622
0.77,0.5867864869362622
0.78,0.5867864869362622
0.79,0.5867864869362622
0.8,0.5867864869362622
0.81,0.5867864869362622
0.82,0.5867864869362622
0.83,0.5867864869362622
0.84,0.5868841544607191
0.85,0.5867465867465868
0.86,0.5867465867465868
0.87,0.5868442964196503
0.88,0.5868442964196503
0.89,0.5868442964196503
0.9,0.5868442964196503
0.91,0.5869420386409061
0.92,0.5869420386409061
0.93,0.5869420386409061
0.94,0.5867066466766616
0.95,0.5867066466766616
0.96,0.5867066466766616
0.97,0.5867066466766616
0.98,0.5864711762745751
0.99,0.5857642940490082
1.0,0.5857642940490082
