tau,class1_f1
0.0,0.3061026431466575
0.01,0.3160508424475318
0.02,0.325717776420281
0.03,0.33518916867012527
0.04,0.3448772504091653
0.05,0.3566662127195969
0.06,0.36885362051863396
0.07,0.37929011440305077
0.08,0.3888509151667046
0.09,0.39692380130267596
0.1,0.4073499387505104
0.11,0.41677966101694913
0.12,0.4259699129057799
0.13,0.4355118038465044
0.14,0.444674444862627
0.15,0.4534034472684779
0.16,0.45923694779116464
0.17,0.4684460997310159
0.18,0.4751193633952255
0.19,0.4810071630128066
0.2,0.4878048780487805
0.21,0.4930105693828844
0.22,0.49912861624259325
0.23,0.5039687240848241
0.24,0.5088972279385062
0.25,0.5122582234815819
0.26,0.5163316582914573
0.27,0.5217502232427605
0.28,0.5244836991817119
0.29,0.5276203032300594
0.3,0.5290892069011636
0.31,0.5305679815643215
0.32,0.5308421486467921
0.33,0.5317935160706831
0.34,0.5332581736189402
0.35,0.5332384341637011
0.36,0.5325868504163078
0.37,0.5321340490352532
0.38,0.5307377049180327
0.39,0.5310934276451518
0.4,0.5306243511790004
0.41,0.5286396181384249
0.42,0.5282566331884275
0.43,0.527915726109857
0.44,0.5277020890099909
0.45,0.5278200060808756
0.46,0.5280538144014677
0.47,0.5272531859358207
0.48,0.5279704114655571
0.49,0.5287925696594428
0.5,0.5286713286713287
0.51,0.5281196448044867
0.52,0.526875
0.53,0.5255382681125256
0.54,0.5260006303183108
0.55,0.5248653785239151
0.56,0.5256634355633243
0.57,0.5260474749083958
0.58,0.5280358859339955
0.59,0.5298567519716723
0.6,0.5306584695033166
0.61,0.5301008786202408
0.62,0.5296803652968036
0.63,0.5304120340091563
0.64,0.5294214063268317
0.65,0.5286676523739117
0.66,0.5288603848051308
0.67,0.5278920519993417
0.68,0.5271828665568369
0.69,0.5262116716122651
0.7,0.5256558323708959
0.71,0.5253425788344065
0.72,0.5248719219963642
0.73,0.5238961468496776
0.74,0.5233366434955313
0.75,0.5217967843527267
0.76,0.5216382026197978
0.77,0.5209888833582214
0.78,0.5196876557567702
0.79,0.519774011299435
0.8,0.5185431564942624
0.81,0.5176548967355097
0.82,0.5171723907969323
0.83,0.5162689804772235
0.84,0.515525876460768
0.85,0.5151160848505094
0.86,0.5147058823529411
0.87,0.51438127090301
0.88,0.5142188022750084
0.89,0.5129837493717541
0.9,0.5130697050938338
0.91,0.5130697050938338
0.92,0.5130697050938338
0.93,0.5130697050938338
0.94,0.5128205128205128
0.95,0.5128205128205128
0.96,0.5128205128205128
0.97,0.5129064699966477
0.98,0.5129064699966477
0.99,0.5131645145061211
1.0,0.5132505870513251
