tau,class1_f1
0.0,0.3206573896353167
0.01,0.33920450906296035
0.02,0.3562033898305085
0.03,0.3705122747268341
0.04,0.38302583025830256
0.05,0.39360073484384567
0.06,0.40527025954440826
0.07,0.41733388361535284
0.08,0.42839993140113186
0.09,0.4388425350612462
0.1,0.44609053497942386
0.11,0.4566676117569228
0.12,0.46389751552795033
0.13,0.47206453540484017
0.14,0.4785801713586291
0.15,0.48529718456725757
0.16,0.48874256584536957
0.17,0.49415837299870186
0.18,0.499284534947716
0.19,0.5031825795644891
0.2,0.5062832559719235
0.21,0.5104525614518722
0.22,0.5131670939175017
0.23,0.5169441492502066
0.24,0.5196605712919804
0.25,0.5229468599033816
0.26,0.5260970541498594
0.27,0.5296374211112486
0.28,0.5310198477093996
0.29,0.533366973634414
0.3,0.5358827278521351
0.31,0.5387292176826911
0.32,0.5402104716123165
0.33,0.5412688031393067
0.34,0.5427969449565446
0.35,0.5435272293626606
0.36,0.5445808862786973
0.37,0.5439420367637193
0.38,0.544743935309973
0.39,0.5447902571041948
0.4,0.5461214508898248
0.41,0.5455787891212246
0.42,0.5461792193512919
0.43,0.5471385125794858
0.44,0.5478575403450194
0.45,0.5481709019826864
0.46,0.5497404237407043
0.47,0.5498872604284104
0.48,0.5499575431644494
0.49,0.5503986332574032
0.5,0.5495134516313681
0.51,0.5480478317245354
0.52,0.5480838756326826
0.53,0.546591074284053
0.54,0.5458528037383178
0.55,0.545774647887324
0.56,0.5455081870482372
0.57,0.5449155054847317
0.58,0.5436690968605862
0.59,0.5434977578475336
0.6,0.5429986492570914
0.61,0.5419996983863671
0.62,0.5420390849871232
0.63,0.5412802189448077
0.64,0.5401772074549344
0.65,0.5370199692780337
0.66,0.5368339768339768
0.67,0.5358197358197359
0.68,0.5339168490153173
0.69,0.5326206571293822
0.7,0.531965272296764
0.71,0.533015873015873
0.72,0.5317789843500479
0.73,0.5317065339540857
0.74,0.5306847545219638
0.75,0.5301752109020117
0.76,0.5306188925081433
0.77,0.5297580117724002
0.78,0.52869793374877
0.79,0.5280105142106127
0.8,0.5266798418972332
0.81,0.5254125412541254
0.82,0.523305785123967
0.83,0.522113632598973
0.84,0.5204843257588323
0.85,0.5196745807737008
0.86,0.5191828599900349
0.87,0.5190230935371324
0.88,0.5178779311491768
0.89,0.5172241637543684
0.9,0.516
0.91,0.5150100066711141
0.92,0.5142761729838037
0.93,0.5135406218655968
0.94,0.5133009871172829
0.95,0.5131468765700887
0.96,0.5133188138716703
0.97,0.5128205128205128
0.98,0.5129064699966477
0.99,0.5129924559932942
1.0,0.5132505870513251
