period,horizon_months,cohort,dimension,target_month,arm,n_observations,n_areas,n_countries,n_positive_truth,prevalence,predicted_positives,tp,fp,fn,tn,f1,precision,recall,f1_reason,precision_reason,recall_reason
main,1,E_all,target_month,2023-02,partitioned_rf,27,27,4,15,0.5555555555555556,15,13,2,2,10,0.8666666666666667,0.8666666666666667,0.8666666666666667,,,
main,1,E_all,target_month,2023-02,pooled_rf,27,27,4,15,0.5555555555555556,15,13,2,2,10,0.8666666666666667,0.8666666666666667,0.8666666666666667,,,
main,1,E_all,target_month,2023-02,xgb,27,27,4,15,0.5555555555555556,15,13,2,2,10,0.8666666666666667,0.8666666666666667,0.8666666666666667,,,
main,1,E_all,target_month,2023-03,partitioned_rf,376,376,4,245,0.651595744680851,318,228,90,17,41,0.8099467140319716,0.7169811320754716,0.9306122448979591,,,
main,1,E_all,target_month,2023-03,pooled_rf,376,376,4,245,0.651595744680851,322,228,94,17,37,0.8042328042328042,0.7080745341614907,0.9306122448979591,,,
main,1,E_all,target_month,2023-03,xgb,376,376,4,245,0.651595744680851,299,222,77,23,54,0.8161764705882353,0.7424749163879598,0.9061224489795918,,,
main,1,E_all,target_month,2023-04,partitioned_rf,182,182,6,147,0.8076923076923077,170,147,23,0,12,0.9274447949526814,0.8647058823529412,1.0,,,
main,1,E_all,target_month,2023-04,pooled_rf,182,182,6,147,0.8076923076923077,169,146,23,1,12,0.9240506329113924,0.863905325443787,0.9931972789115646,,,
main,1,E_all,target_month,2023-04,xgb,182,182,6,147,0.8076923076923077,169,146,23,1,12,0.9240506329113924,0.863905325443787,0.9931972789115646,,,
main,1,E_all,target_month,2023-05,partitioned_rf,126,126,2,72,0.5714285714285714,57,42,15,30,39,0.6511627906976745,0.7368421052631579,0.5833333333333334,,,
main,1,E_all,target_month,2023-05,pooled_rf,126,126,2,72,0.5714285714285714,53,39,14,33,40,0.624,0.7358490566037735,0.5416666666666666,,,
