period,horizon_months,cohort,reference_arm,baseline_arm,n_observations,f1_reference,f1_baseline,delta_f1,delta_f1_reason,precision_reference,precision_baseline,delta_precision,delta_precision_reason,recall_reference,recall_baseline,delta_recall,delta_recall_reason
partial_2026,1,E_all,partitioned_rf,pooled_rf,4092,0.6568627450980392,0.6581858407079646,-0.0013230956099253843,,0.6895368782161235,0.7028942705256941,-0.01335739230957056,,0.6271450858034321,0.6188247529901196,0.008320332813312459,
partial_2026,1,E_all,partitioned_rf,xgb,4092,0.6568627450980392,0.7045330420535226,-0.047670296955483416,,0.6895368782161235,0.7418056354226567,-0.05226875720653312,,0.6271450858034321,0.6708268330733229,-0.043681747269890825,
partial_2026,1,E_persist,partitioned_rf,pooled_rf,4089,0.6573998364677024,0.6583610188261351,-0.0009611823584326773,,0.6895368782161235,0.7027186761229315,-0.013181797906807957,,0.628125,0.6192708333333333,0.008854166666666718,
partial_2026,1,E_persist,partitioned_rf,xgb,4089,0.6573998364677024,0.7040481400437637,-0.04664830357606131,,0.6895368782161235,0.7413594470046083,-0.05182256878848479,,0.628125,0.6703125,-0.04218749999999993,
partial_2026,1,E_persist,partitioned_rf,persistence,4089,0.6573998364677024,0.5952575633687653,0.06214227309893705,,0.6895368782161235,0.6243567753001715,0.065180102915952,,0.628125,0.56875,0.05937500000000007,
partial_2026,3,E_all,partitioned_rf,pooled_rf,4092,0.5808779314491882,0.6029973552747576,-0.022119423825569418,,0.6885245901639344,0.6932432432432433,-0.004718653079308854,,0.5023400936037441,0.5335413416536662,-0.03120124804992208,
partial_2026,3,E_all,partitioned_rf,xgb,4092,0.5808779314491882,0.6864064602960969,-0.10552852884690866,,0.6885245901639344,0.7114955357142857,-0.022970945550351285,,0.5023400936037441,0.6630265210608425,-0.16068642745709838,
partial_2026,3,E_persist,partitioned_rf,pooled_rf,4089,0.5809753160746538,0.6027074749852854,-0.021732158910631627,,0.68830242510699,0.6928281461434371,-0.004525721036447106,,0.5026041666666666,0.5333333333333333,-0.030729166666666696,
partial_2026,3,E_persist,partitioned_rf,xgb,4089,0.5809753160746538,0.6858991641952009,-0.10492384812054711,,0.68830242510699,0.7110117384013416,-0.022709313294351552,,0.5026041666666666,0.6625,-0.15989583333333335,
partial_2026,3,E_persist,partitioned_rf,persistence,4089,0.5809753160746538,0.6007028926736956,-0.019727576599041785,,0.68830242510699,0.6245081506464306,0.06379427446055941,,0.5026041666666666,0.5786458333333333,-0.07604166666666667,
partial_2026,6,E_all,partitioned_rf,pooled_rf,4092,0.6229421136484333,0.7013289811144789,-0.07838686746604562,,0.636462289744981,0.6356720202874049,0.0007902694575760982,,0.609984399375975,0.782111284451378,-0.17212688507540297,
partial_2026,6,E_all,partitioned_rf,xgb,4092,0.6229421136484333,0.7336827060505002,-0.1107405924020669,,0.636462289744981,0.676923076923077,-0.04046078717809598,,0.609984399375975,0.8008320332813312,-0.1908476339053562,
partial_2026,6,E_persist,partitioned_rf,pooled_rf,4089,0.6230728335991493,0.7012138188608776,-0.0781409852617283,,0.6362649294245385,0.6353637901861252,0.0009011392384132844,,0.6104166666666667,0.7822916666666667,-0.171875,
partial_2026,6,E_persist,partitioned_rf,xgb,4089,0.6230728335991493,0.7333015267175572,-0.11022869311840788,,0.6362649294245385,0.6764964788732394,-0.04023154944870089,,0.6104166666666667,0.8005208333333333,-0.19010416666666663,
partial_2026,6,E_persist,partitioned_rf,persistence,4089,0.6230728335991493,0.6403554626241506,-0.017282629025001217,,0.6362649294245385,0.642707240293809,-0.0064423108692704956,,0.6104166666666667,0.6380208333333334,-0.027604166666666652,
partial_2026,12,E_all,partitioned_rf,pooled_rf,4092,0.6804764370792336,0.6923076923076923,-0.011831255228458737,,0.6776689014956163,0.7116968698517299,-0.03402796835611355,,0.6833073322932918,0.6739469578783152,0.009360374414976613,
partial_2026,12,E_all,partitioned_rf,xgb,4092,0.6804764370792336,0.6817947395564724,-0.001318302477238853,,0.6776689014956163,0.6762148337595908,0.0014540677360255216,,0.6833073322932918,0.6874674986999479,-0.004160166406656174,
partial_2026,12,E_persist,partitioned_rf,pooled_rf,4040,0.6806853582554517,0.692390139335477,-0.011704781080025262,,0.6775193798449612,0.7118457300275483,-0.03432635018258701,,0.6838810641627543,0.6739697443922796,0.009911319770474658,
partial_2026,12,E_persist,partitioned_rf,xgb,4040,0.6806853582554517,0.6837606837606838,-0.0030753255052320405,,0.6775193798449612,0.6790123456790124,-0.0014929658340511187,,0.6838810641627543,0.6885758998435054,-0.0046948356807511304,
partial_2026,12,E_persist,partitioned_rf,persistence,4040,0.6806853582554517,0.7098958333333333,-0.029210475077881548,,0.6775193798449612,0.7087883515340614,-0.031268971689100145,,0.6838810641627543,0.7110067814293166,-0.02712571726656232,
