period,horizon_months,cohort,dimension,assignment_source,arm,n_observations,n_areas,n_countries,n_positive_truth,prevalence,predicted_positives,tp,fp,fn,tn,f1,precision,recall,f1_reason,precision_reason,recall_reason
main,1,E_all,assignment_provenance,learned,partitioned_rf,9943,3191,45,3566,0.35864427235240876,3775,2468,1307,1098,5070,0.6723879580438632,0.6537748344370861,0.6920919798093101,,,
main,1,E_all,assignment_provenance,learned,pooled_rf,9943,3191,45,3566,0.35864427235240876,3663,2501,1162,1065,5215,0.6919352607552912,0.6827736827736828,0.7013460459899047,,,
main,1,E_all,assignment_provenance,learned,xgb,9943,3191,45,3566,0.35864427235240876,3838,2605,1233,961,5144,0.7036736898973528,0.6787389265242314,0.7305103757711722,,,
main,1,E_all,assignment_provenance,nearest_donor,partitioned_rf,6327,2292,33,2770,0.4378062272799115,3487,2070,1417,700,2140,0.6616589419849769,0.5936334958416978,0.7472924187725631,,,
main,1,E_all,assignment_provenance,nearest_donor,pooled_rf,6327,2292,33,2770,0.4378062272799115,3542,2100,1442,670,2115,0.6653992395437263,0.5928853754940712,0.7581227436823105,,,
main,1,E_all,assignment_provenance,nearest_donor,xgb,6327,2292,33,2770,0.4378062272799115,3465,2096,1369,674,2188,0.6723336006415397,0.604906204906205,0.7566787003610108,,,
main,1,E_all,assignment_provenance,unresolved,partitioned_rf,1052,516,21,456,0.43346007604562736,520,332,188,124,408,0.680327868852459,0.6384615384615384,0.7280701754385965,,,
main,1,E_all,assignment_provenance,unresolved,pooled_rf,1052,516,21,456,0.43346007604562736,520,332,188,124,408,0.680327868852459,0.6384615384615384,0.7280701754385965,,,
main,1,E_all,assignment_provenance,unresolved,xgb,1052,516,21,456,0.43346007604562736,524,339,185,117,411,0.6918367346938775,0.6469465648854962,0.743421052631579,,,
main,1,E_persist,assignment_provenance,learned,partitioned_rf,9943,3191,45,3566,0.35864427235240876,3775,2468,1307,1098,5070,0.6723879580438632,0.6537748344370861,0.6920919798093101,,,
main,1,E_persist,assignment_provenance,learned,pooled_rf,9943,3191,45,3566,0.35864427235240876,3663,2501,1162,1065,5215,0.6919352607552912,0.6827736827736828,0.7013460459899047,,,
main,1,E_persist,assignment_provenance,learned,xgb,9943,3191,45,3566,0.35864427235240876,3838,2605,1233,961,5144,0.7036736898973528,0.6787389265242314,0.7305103757711722,,,
main,1,E_persist,assignment_provenance,learned,persistence,9943,3191,45,3566,0.35864427235240876,3683,2562,1121,1004,5256,0.7068561180852532,0.6956285636709204,0.7184520471116096,,,
main,1,E_persist,assignment_provenance,nearest_donor,partitioned_rf,5210,2108,33,2038,0.39117082533589254,2620,1455,1165,583,2007,0.6247316444826105,0.5553435114503816,0.7139352306182531,,,
main,1,E_persist,assignment_provenance,nearest_donor,pooled_rf,5210,2108,33,2038,0.39117082533589254,2662,1471,1191,567,1981,0.6259574468085106,0.5525920360631105,0.7217860647693818,,,
main,1,E_persist,assignment_provenance,nearest_donor,xgb,5210,2108,33,2038,0.39117082533589254,2614,1483,1131,555,2041,0.6375752364574376,0.5673297628156083,0.7276741903827282,,,
main,1,E_persist,assignment_provenance,nearest_donor,persistence,5210,2108,33,2038,0.39117082533589254,2282,1375,907,663,2265,0.6365740740740741,0.6025416301489921,0.6746810598626104,,,
main,1,E_persist,assignment_provenance,unresolved,partitioned_rf,849,474,20,341,0.4016489988221437,369,239,130,102,378,0.6732394366197183,0.6476964769647696,0.7008797653958945,,,
main,1,E_persist,assignment_provenance,unresolved,pooled_rf,849,474,20,341,0.4016489988221437,369,239,130,102,378,0.6732394366197183,0.6476964769647696,0.7008797653958945,,,
main,1,E_persist,assignment_provenance,unresolved,xgb,849,474,20,341,0.4016489988221437,379,249,130,92,378,0.6916666666666667,0.6569920844327177,0.7302052785923754,,,
main,1,E_persist,assignment_provenance,unresolved,persistence,849,474,20,341,0.4016489988221437,359,243,116,98,392,0.6942857142857143,0.6768802228412256,0.7126099706744868,,,
main,3,E_all,assignment_provenance,learned,partitioned_rf,9866,3191,45,3521,0.35688222177174134,3365,2162,1203,1359,5142,0.6279407493465001,0.6424962852897474,0.614030105083783,,,
main,3,E_all,assignment_provenance,learned,pooled_rf,9866,3191,45,3521,0.35688222177174134,3690,2240,1450,1281,4895,0.6212730550547775,0.6070460704607046,0.6361829025844931,,,
main,3,E_all,assignment_provenance,learned,xgb,9866,3191,45,3521,0.35688222177174134,3879,2594,1285,927,5060,0.701081081081081,0.6687290538798659,0.7367225220107924,,,
main,3,E_all,assignment_provenance,nearest_donor,partitioned_rf,6018,2292,33,2571,0.4272183449651047,3064,1750,1314,821,2133,0.6211180124223602,0.5711488250652742,0.6806690003889537,,,
main,3,E_all,assignment_provenance,nearest_donor,pooled_rf,6018,2292,33,2571,0.4272183449651047,3380,1885,1495,686,1952,0.6335069736178793,0.5576923076923077,0.7331777518475301,,,
main,3,E_all,assignment_provenance,nearest_donor,xgb,6018,2292,33,2571,0.4272183449651047,3518,2050,1468,521,1979,0.6733453769091805,0.5827174530983513,0.7973551147413458,,,
main,3,E_all,assignment_provenance,unresolved,partitioned_rf,1035,516,21,440,0.4251207729468599,588,351,237,89,358,0.6828793774319066,0.5969387755102041,0.7977272727272727,,,
main,3,E_all,assignment_provenance,unresolved,pooled_rf,1035,516,21,440,0.4251207729468599,588,351,237,89,358,0.6828793774319066,0.5969387755102041,0.7977272727272727,,,
main,3,E_all,assignment_provenance,unresolved,xgb,1035,516,21,440,0.4251207729468599,577,366,211,74,384,0.7197640117994101,0.634315424610052,0.8318181818181818,,,
main,3,E_persist,assignment_provenance,learned,partitioned_rf,9866,3191,45,3521,0.35688222177174134,3365,2162,1203,1359,5142,0.6279407493465001,0.6424962852897474,0.614030105083783,,,
main,3,E_persist,assignment_provenance,learned,pooled_rf,9866,3191,45,3521,0.35688222177174134,3690,2240,1450,1281,4895,0.6212730550547775,0.6070460704607046,0.6361829025844931,,,
main,3,E_persist,assignment_provenance,learned,xgb,9866,3191,45,3521,0.35688222177174134,3879,2594,1285,927,5060,0.701081081081081,0.6687290538798659,0.7367225220107924,,,
main,3,E_persist,assignment_provenance,learned,persistence,9866,3191,45,3521,0.35688222177174134,3654,2521,1133,1000,5212,0.7027177700348433,0.6899288451012588,0.7159897756319228,,,
main,3,E_persist,assignment_provenance,nearest_donor,partitioned_rf,5193,2104,33,2026,0.3901405738494127,2463,1314,1149,712,2018,0.5854310536867899,0.5334957369062119,0.648568608094768,,,
main,3,E_persist,assignment_provenance,nearest_donor,pooled_rf,5193,2104,33,2026,0.3901405738494127,2734,1417,1317,609,1850,0.5953781512605042,0.5182882223847842,0.6994076999012833,,,
main,3,E_persist,assignment_provenance,nearest_donor,xgb,5193,2104,33,2026,0.3901405738494127,2830,1565,1265,461,1902,0.6445634266886326,0.5530035335689046,0.7724580454096742,,,
main,3,E_persist,assignment_provenance,nearest_donor,persistence,5193,2104,33,2026,0.3901405738494127,2313,1369,944,657,2223,0.6310209725743259,0.591872027669693,0.675715695952616,,,
main,3,E_persist,assignment_provenance,unresolved,partitioned_rf,848,473,20,340,0.4009433962264151,452,263,189,77,319,0.6641414141414141,0.581858407079646,0.7735294117647059,,,
main,3,E_persist,assignment_provenance,unresolved,pooled_rf,848,473,20,340,0.4009433962264151,452,263,189,77,319,0.6641414141414141,0.581858407079646,0.7735294117647059,,,
