period,horizon_months,cohort,dimension,target_year_label,arm,n_observations,n_areas,n_countries,n_positive_truth,prevalence,predicted_positives,tp,fp,fn,tn,f1,precision,recall,f1_reason,precision_reason,recall_reason
main,1,E_all,target_year,2023,partitioned_rf,3235,2737,46,1373,0.4244204018547141,1379,1002,377,371,1485,0.7281976744186046,0.7266134880348079,0.7297887836853605,,,
main,1,E_all,target_year,2023,pooled_rf,3235,2737,46,1373,0.4244204018547141,1398,1021,377,352,1485,0.7369180801154818,0.7303290414878397,0.7436270939548434,,,
main,1,E_all,target_year,2023,xgb,3235,2737,46,1373,0.4244204018547141,1430,1057,373,316,1489,0.754191937210132,0.7391608391608392,0.7698470502549163,,,
main,1,E_all,target_year,2024,partitioned_rf,4295,2960,45,1555,0.3620488940628638,1518,1073,445,482,2295,0.6983403839895868,0.7068511198945981,0.690032154340836,,,
main,1,E_all,target_year,2024,pooled_rf,4295,2960,45,1555,0.3620488940628638,1548,1080,468,475,2272,0.6961005478569127,0.6976744186046512,0.6945337620578779,,,
main,1,E_all,target_year,2024,xgb,4295,2960,45,1555,0.3620488940628638,1616,1120,496,435,2244,0.7064017660044151,0.693069306930693,0.7202572347266881,,,
main,1,E_all,target_year,2025,partitioned_rf,9792,5740,50,3864,0.3946078431372549,4885,2795,2090,1069,3838,0.6389301634472511,0.5721596724667349,0.723343685300207,,,
main,1,E_all,target_year,2025,pooled_rf,9792,5740,50,3864,0.3946078431372549,4779,2832,1947,1032,3981,0.6553280111072545,0.5925925925925926,0.7329192546583851,,,
main,1,E_all,target_year,2025,xgb,9792,5740,50,3864,0.3946078431372549,4781,2863,1918,1001,4010,0.6623481781376518,0.5988286969253295,0.7409420289855072,,,
main,1,E_persist,target_year,2023,partitioned_rf,2688,2501,41,1034,0.38467261904761907,931,709,222,325,1432,0.7216284987277354,0.761546723952739,0.6856866537717602,,,
main,1,E_persist,target_year,2023,pooled_rf,2688,2501,41,1034,0.38467261904761907,941,718,223,316,1431,0.7270886075949367,0.7630180658873539,0.6943907156673114,,,
main,1,E_persist,target_year,2023,xgb,2688,2501,41,1034,0.38467261904761907,998,765,233,269,1421,0.7529527559055118,0.7665330661322646,0.7398452611218569,,,
main,1,E_persist,target_year,2023,persistence,2688,2501,41,1034,0.38467261904761907,972,747,225,287,1429,0.744765702891326,0.7685185185185185,0.7224371373307543,,,
main,1,E_persist,target_year,2024,partitioned_rf,3726,2412,42,1119,0.3003220611916264,1065,715,350,404,2257,0.6547619047619048,0.6713615023474179,0.6389633601429848,,,
main,1,E_persist,target_year,2024,pooled_rf,3726,2412,42,1119,0.3003220611916264,1093,719,374,400,2233,0.6500904159132007,0.6578225068618482,0.6425379803395889,,,
main,1,E_persist,target_year,2024,xgb,3726,2412,42,1119,0.3003220611916264,1175,771,404,348,2203,0.6721883173496077,0.6561702127659574,0.6890080428954424,,,
main,1,E_persist,target_year,2024,persistence,3726,2412,42,1119,0.3003220611916264,1079,788,291,331,2316,0.7170154686078253,0.7303058387395737,0.7042001787310098,,,
main,1,E_persist,target_year,2025,partitioned_rf,9588,5601,50,3792,0.3954943679599499,4768,2738,2030,1054,3766,0.6397196261682243,0.574244966442953,0.7220464135021097,,,
main,1,E_persist,target_year,2025,pooled_rf,9588,5601,50,3792,0.3954943679599499,4660,2774,1886,1018,3910,0.6564126833885471,0.5952789699570815,0.7315400843881856,,,
main,1,E_persist,target_year,2025,xgb,9588,5601,50,3792,0.3954943679599499,4658,2801,1857,991,3939,0.6629585798816569,0.6013310433662516,0.7386603375527426,,,
main,1,E_persist,target_year,2025,persistence,9588,5601,50,3792,0.3954943679599499,4273,2645,1628,1147,4168,0.6559206447613143,0.6190030423589984,0.6975210970464135,,,
main,3,E_all,target_year,2023,partitioned_rf,2832,2633,42,1113,0.3930084745762712,1049,775,274,338,1445,0.7169287696577243,0.7387988560533841,0.6963162623539982,,,
main,3,E_all,target_year,2023,pooled_rf,2832,2633,42,1113,0.3930084745762712,1058,783,275,330,1444,0.7213265776140028,0.7400756143667296,0.7035040431266847,,,
main,3,E_all,target_year,2023,xgb,2832,2633,42,1113,0.3930084745762712,1127,828,299,285,1420,0.7392857142857143,0.7346938775510204,0.7439353099730458,,,
main,3,E_all,target_year,2024,partitioned_rf,4295,2960,45,1555,0.3620488940628638,1546,1107,439,448,2301,0.7139632376652693,0.7160413971539457,0.7118971061093248,,,
main,3,E_all,target_year,2024,pooled_rf,4295,2960,45,1555,0.3620488940628638,1460,1063,397,492,2343,0.7051409618573797,0.7280821917808219,0.6836012861736335,,,
main,3,E_all,target_year,2024,xgb,4295,2960,45,1555,0.3620488940628638,1846,1259,587,296,2153,0.7403704792708027,0.6820151679306609,0.8096463022508038,,,
main,3,E_all,target_year,2025,partitioned_rf,9792,5740,50,3864,0.3946078431372549,4422,2381,2041,1483,3887,0.574704320540671,0.5384441429217549,0.6162008281573499,,,
