period,horizon_months,cohort,reference_arm,baseline_arm,n_observations,f1_reference,f1_baseline,delta_f1,delta_f1_reason,precision_reference,precision_baseline,delta_precision,delta_precision_reason,recall_reference,recall_baseline,delta_recall,delta_recall_reason
main,1,E_all,partitioned_rf,pooled_rf,17322,0.66831343488404,0.6796170007577323,-0.0113035658736923,,0.6258031354407607,0.6385760517799353,-0.012772916339174545,,0.717020023557126,0.7262956419316844,-0.00927561837455837,
main,1,E_all,partitioned_rf,xgb,17322,0.66831343488404,0.6895136466242561,-0.021200211740216024,,0.6258031354407607,0.6439248754311997,-0.01812173999043898,,0.717020023557126,0.7420494699646644,-0.025029446407538347,
main,1,E_persist,partitioned_rf,pooled_rf,16002,0.6549689196632308,0.6663501859324313,-0.011381266269200552,,0.6153163808397398,0.6290708096803107,-0.013754428840570876,,0.7000841042893188,0.7083263246425567,-0.008242220353237961,
main,1,E_persist,partitioned_rf,xgb,16002,0.6549689196632308,0.6789292423293676,-0.02396032266613679,,0.6153163808397398,0.6348997218562435,-0.01958334101650372,,0.7000841042893188,0.729520605550883,-0.029436501261564274,
main,1,E_persist,partitioned_rf,persistence,16002,0.6549689196632308,0.6813921264976771,-0.026423206834446322,,0.6153163808397398,0.6609740670461733,-0.04565768620643351,,0.7000841042893188,0.703111858704794,-0.0030277544154752034,
main,3,E_all,partitioned_rf,pooled_rf,16919,0.6292715329544616,0.6308668076109937,-0.0015952746565320863,,0.6075245831551945,0.5844868111778532,0.02303777197734136,,0.65263319044703,0.6852418860992039,-0.032608695652173836,
main,3,E_all,partitioned_rf,xgb,16919,0.6292715329544616,0.690748655728664,-0.061477122774202364,,0.6075245831551945,0.6282919488337095,-0.020767365678515004,,0.65263319044703,0.7669932639314145,-0.11436007348438448,
main,3,E_persist,partitioned_rf,pooled_rf,15907,0.6146132982658009,0.6142756405233879,0.00033765774241301116,,0.5953821656050955,0.5700988947062245,0.025283270898870946,,0.63512824868354,0.6658739595719382,-0.03074571088839817,
main,3,E_persist,partitioned_rf,xgb,15907,0.6146132982658009,0.6807400015352729,-0.06612670326947201,,0.5953821656050955,0.6210084033613446,-0.02562623775624906,,0.63512824868354,0.7531849838627485,-0.11805673517920845,
main,3,E_persist,partitioned_rf,persistence,15907,0.6146132982658009,0.6768172888015717,-0.06220399053577075,,0.5953821656050955,0.6531837573076316,-0.05780159170253607,,0.63512824868354,0.7022252420587736,-0.06709699337523356,
main,6,E_all,partitioned_rf,pooled_rf,16413,0.6646669743116443,0.6615491974877878,0.0031177768238564996,,0.6324648711943794,0.6341608443585551,-0.0016959731641756903,,0.70032414910859,0.6914100486223663,0.008914100486223653,
main,6,E_all,partitioned_rf,xgb,16413,0.6646669743116443,0.6700859640251391,-0.0054189897134947485,,0.6324648711943794,0.6044571875407272,0.02800768365365225,,0.70032414910859,0.7517017828200973,-0.051377633711507276,
main,6,E_persist,partitioned_rf,pooled_rf,14960,0.6592259225922592,0.6597247374139804,-0.0004988148217212052,,0.6384239888423989,0.6425044091710759,-0.004080420328676948,,0.6814291030889468,0.6778935615928545,0.0035355414960922538,
main,6,E_persist,partitioned_rf,xgb,14960,0.6592259225922592,0.6670583298363407,-0.007832407244081518,,0.6384239888423989,0.6075523620241553,0.030871626818243625,,0.6814291030889468,0.7394864160774097,-0.05805731298846295,
main,6,E_persist,partitioned_rf,persistence,14960,0.6592259225922592,0.6718610066272613,-0.012635084035002131,,0.6384239888423989,0.6476174033149171,-0.009193414472518202,,0.6814291030889468,0.6979903237811685,-0.016561220692221768,
main,12,E_all,partitioned_rf,pooled_rf,14087,0.659696290764252,0.6512164948453608,0.008479795918891142,,0.5993667068757539,0.5887265135699373,0.010640193305816559,,0.7335301716183797,0.7285477025281417,0.004982469090238029,
main,12,E_all,partitioned_rf,xgb,14087,0.659696290764252,0.669901368119631,-0.01020507735537901,,0.5993667068757539,0.5887040402628267,0.01066266661292714,,0.7335301716183797,0.7770806421849049,-0.04355047056652517,
main,12,E_persist,partitioned_rf,pooled_rf,12404,0.6657370517928287,0.6579940417080437,0.0077430100847850625,,0.6120879120879121,0.6034608378870674,0.008627074200844742,,0.7296943231441048,0.7233624454148472,0.0063318777292575845,
main,12,E_persist,partitioned_rf,xgb,12404,0.6657370517928287,0.6787044998566925,-0.01296744806386374,,0.6120879120879121,0.6033633429590624,0.00872456912884978,,0.7296943231441048,0.7755458515283843,-0.04585152838427953,
main,12,E_persist,partitioned_rf,persistence,12404,0.6657370517928287,0.6759173604687018,-0.010180308675873051,,0.6120879120879121,0.6385705962322781,-0.026482684144365942,,0.7296943231441048,0.7179039301310044,0.011790393013100364,
