period,horizon_months,cohort,arm,n_observations,n_areas,n_countries,n_positive_truth,prevalence,predicted_positives,tp,fp,fn,tn,f1,precision,recall,f1_reason,precision_reason,recall_reason
main,1,E_all,partitioned_rf,17322,5999,53,6792,0.39210252857637684,7782,4870,2912,1922,7618,0.66831343488404,0.6258031354407607,0.717020023557126,,,
main,1,E_all,pooled_rf,17322,5999,53,6792,0.39210252857637684,7725,4933,2792,1859,7738,0.6796170007577323,0.6385760517799353,0.7262956419316844,,,
main,1,E_all,xgb,17322,5999,53,6792,0.39210252857637684,7827,5040,2787,1752,7743,0.6895136466242561,0.6439248754311997,0.7420494699646644,,,
main,1,E_persist,partitioned_rf,16002,5773,52,5945,0.37151606049243846,6764,4162,2602,1783,7455,0.6549689196632308,0.6153163808397398,0.7000841042893188,,,
main,1,E_persist,pooled_rf,16002,5773,52,5945,0.37151606049243846,6694,4211,2483,1734,7574,0.6663501859324313,0.6290708096803107,0.7083263246425567,,,
main,1,E_persist,xgb,16002,5773,52,5945,0.37151606049243846,6831,4337,2494,1608,7563,0.6789292423293676,0.6348997218562435,0.729520605550883,,,
main,1,E_persist,persistence,16002,5773,52,5945,0.37151606049243846,6324,4180,2144,1765,7913,0.6813921264976771,0.6609740670461733,0.703111858704794,,,
main,3,E_all,partitioned_rf,16919,5999,53,6532,0.38607482711744195,7017,4263,2754,2269,7633,0.6292715329544616,0.6075245831551945,0.65263319044703,,,
main,3,E_all,pooled_rf,16919,5999,53,6532,0.38607482711744195,7658,4476,3182,2056,7205,0.6308668076109937,0.5844868111778532,0.6852418860992039,,,
main,3,E_all,xgb,16919,5999,53,6532,0.38607482711744195,7974,5010,2964,1522,7423,0.690748655728664,0.6282919488337095,0.7669932639314145,,,
main,3,E_persist,partitioned_rf,15907,5768,52,5887,0.37008864022128624,6280,3739,2541,2148,7479,0.6146132982658009,0.5953821656050955,0.63512824868354,,,
main,3,E_persist,pooled_rf,15907,5768,52,5887,0.37008864022128624,6876,3920,2956,1967,7064,0.6142756405233879,0.5700988947062245,0.6658739595719382,,,
main,3,E_persist,xgb,15907,5768,52,5887,0.37008864022128624,7140,4434,2706,1453,7314,0.6807400015352729,0.6210084033613446,0.7531849838627485,,,
main,3,E_persist,persistence,15907,5768,52,5887,0.37008864022128624,6329,4134,2195,1753,7825,0.6768172888015717,0.6531837573076316,0.7022252420587736,,,
main,6,E_all,partitioned_rf,16413,5939,53,6170,0.3759215256199354,6832,4321,2511,1849,7732,0.6646669743116443,0.6324648711943794,0.70032414910859,,,
main,6,E_all,pooled_rf,16413,5939,53,6170,0.3759215256199354,6727,4266,2461,1904,7782,0.6615491974877878,0.6341608443585551,0.6914100486223663,,,
main,6,E_all,xgb,16413,5939,53,6170,0.3759215256199354,7673,4638,3035,1532,7208,0.6700859640251391,0.6044571875407272,0.7517017828200973,,,
main,6,E_persist,partitioned_rf,14960,5674,52,5374,0.3592245989304813,5736,3662,2074,1712,7512,0.6592259225922592,0.6384239888423989,0.6814291030889468,,,
main,6,E_persist,pooled_rf,14960,5674,52,5374,0.3592245989304813,5670,3643,2027,1731,7559,0.6597247374139804,0.6425044091710759,0.6778935615928545,,,
main,6,E_persist,xgb,14960,5674,52,5374,0.3592245989304813,6541,3974,2567,1400,7019,0.6670583298363407,0.6075523620241553,0.7394864160774097,,,
main,6,E_persist,persistence,14960,5674,52,5374,0.3592245989304813,5792,3751,2041,1623,7545,0.6718610066272613,0.6476174033149171,0.6979903237811685,,,
main,12,E_all,partitioned_rf,14087,5921,52,5419,0.3846809114786683,6632,3975,2657,1444,6011,0.659696290764252,0.5993667068757539,0.7335301716183797,,,
main,12,E_all,pooled_rf,14087,5921,52,5419,0.3846809114786683,6706,3948,2758,1471,5910,0.6512164948453608,0.5887265135699373,0.7285477025281417,,,
main,12,E_all,xgb,14087,5921,52,5419,0.3846809114786683,7153,4211,2942,1208,5726,0.669901368119631,0.5887040402628267,0.7770806421849049,,,
main,12,E_persist,partitioned_rf,12404,5524,51,4580,0.3692357304095453,5460,3342,2118,1238,5706,0.6657370517928287,0.6120879120879121,0.7296943231441048,,,
main,12,E_persist,pooled_rf,12404,5524,51,4580,0.3692357304095453,5490,3313,2177,1267,5647,0.6579940417080437,0.6034608378870674,0.7233624454148472,,,
main,12,E_persist,xgb,12404,5524,51,4580,0.3692357304095453,5887,3552,2335,1028,5489,0.6787044998566925,0.6033633429590624,0.7755458515283843,,,
main,12,E_persist,persistence,12404,5524,51,4580,0.3692357304095453,5149,3288,1861,1292,5963,0.6759173604687018,0.6385705962322781,0.7179039301310044,,,
