period,horizon_months,cohort,arm,n_observations,n_areas,n_countries,n_positive_truth,prevalence,predicted_positives,tp,fp,fn,tn,f1,precision,recall,f1_reason,precision_reason,recall_reason
partial_2026,1,E_all,partitioned_rf,4092,3710,32,1923,0.46994134897360706,2074,1343,731,580,1438,0.6720040030022517,0.6475409836065574,0.6983879355174207,,,
partial_2026,1,E_all,pooled_rf,4092,3710,32,1923,0.46994134897360706,1693,1190,503,733,1666,0.6581858407079646,0.7028942705256941,0.6188247529901196,,,
partial_2026,1,E_all,xgb,4092,3710,32,1923,0.46994134897360706,1739,1290,449,633,1720,0.7045330420535226,0.7418056354226567,0.6708268330733229,,,
partial_2026,1,E_persist,partitioned_rf,4089,3707,32,1920,0.46955245781364635,2071,1340,731,580,1438,0.6715108995239288,0.6470304200869146,0.6979166666666666,,,
partial_2026,1,E_persist,pooled_rf,4089,3707,32,1920,0.46955245781364635,1692,1189,503,731,1666,0.6583610188261351,0.7027186761229315,0.6192708333333333,,,
partial_2026,1,E_persist,xgb,4089,3707,32,1920,0.46955245781364635,1736,1287,449,633,1720,0.7040481400437637,0.7413594470046083,0.6703125,,,
partial_2026,1,E_persist,persistence,4089,3707,32,1920,0.46955245781364635,1749,1092,657,828,1512,0.5952575633687653,0.6243567753001715,0.56875,,,
partial_2026,3,E_all,partitioned_rf,4092,3710,32,1923,0.46994134897360706,1601,1043,558,880,1611,0.5919409761634506,0.6514678326046222,0.5423816952678107,,,
partial_2026,3,E_all,pooled_rf,4092,3710,32,1923,0.46994134897360706,1480,1026,454,897,1715,0.6029973552747576,0.6932432432432433,0.5335413416536662,,,
partial_2026,3,E_all,xgb,4092,3710,32,1923,0.46994134897360706,1792,1275,517,648,1652,0.6864064602960969,0.7114955357142857,0.6630265210608425,,,
partial_2026,3,E_persist,partitioned_rf,4089,3707,32,1920,0.46955245781364635,1599,1041,558,879,1611,0.5916453537936914,0.651031894934334,0.5421875,,,
partial_2026,3,E_persist,pooled_rf,4089,3707,32,1920,0.46955245781364635,1478,1024,454,896,1715,0.6027074749852854,0.6928281461434371,0.5333333333333333,,,
partial_2026,3,E_persist,xgb,4089,3707,32,1920,0.46955245781364635,1789,1272,517,648,1652,0.6858991641952009,0.7110117384013416,0.6625,,,
partial_2026,3,E_persist,persistence,4089,3707,32,1920,0.46955245781364635,1779,1111,668,809,1501,0.6007028926736956,0.6245081506464306,0.5786458333333333,,,
partial_2026,6,E_all,partitioned_rf,4092,3710,32,1923,0.46994134897360706,1857,1183,674,740,1495,0.6259259259259259,0.6370490037695208,0.6151846073842954,,,
partial_2026,6,E_all,pooled_rf,4092,3710,32,1923,0.46994134897360706,2366,1504,862,419,1307,0.7013289811144789,0.6356720202874049,0.782111284451378,,,
partial_2026,6,E_all,xgb,4092,3710,32,1923,0.46994134897360706,2275,1540,735,383,1434,0.7336827060505002,0.676923076923077,0.8008320332813312,,,
partial_2026,6,E_persist,partitioned_rf,4089,3707,32,1920,0.46955245781364635,1857,1183,674,737,1495,0.6264230871061689,0.6370490037695208,0.6161458333333333,,,
partial_2026,6,E_persist,pooled_rf,4089,3707,32,1920,0.46955245781364635,2364,1502,862,418,1307,0.7012138188608776,0.6353637901861252,0.7822916666666667,,,
partial_2026,6,E_persist,xgb,4089,3707,32,1920,0.46955245781364635,2272,1537,735,383,1434,0.7333015267175572,0.6764964788732394,0.8005208333333333,,,
partial_2026,6,E_persist,persistence,4089,3707,32,1920,0.46955245781364635,1906,1225,681,695,1488,0.6403554626241506,0.642707240293809,0.6380208333333334,,,
partial_2026,12,E_all,partitioned_rf,4092,3710,32,1923,0.46994134897360706,1946,1292,654,631,1515,0.6678728353579736,0.6639260020554985,0.671866874674987,,,
partial_2026,12,E_all,pooled_rf,4092,3710,32,1923,0.46994134897360706,1821,1296,525,627,1644,0.6923076923076923,0.7116968698517299,0.6739469578783152,,,
partial_2026,12,E_all,xgb,4092,3710,32,1923,0.46994134897360706,1955,1322,633,601,1536,0.6817947395564724,0.6762148337595908,0.6874674986999479,,,
partial_2026,12,E_persist,partitioned_rf,4040,3660,31,1917,0.4745049504950495,1938,1289,649,628,1474,0.6687418936446173,0.6651186790505675,0.6724047991653626,,,
partial_2026,12,E_persist,pooled_rf,4040,3660,31,1917,0.4745049504950495,1815,1292,523,625,1600,0.692390139335477,0.7118457300275483,0.6739697443922796,,,
partial_2026,12,E_persist,xgb,4040,3660,31,1917,0.4745049504950495,1944,1320,624,597,1499,0.6837606837606838,0.6790123456790124,0.6885758998435054,,,
partial_2026,12,E_persist,persistence,4040,3660,31,1917,0.4745049504950495,1923,1363,560,554,1563,0.7098958333333333,0.7087883515340614,0.7110067814293166,,,
